Duration,Start,Automated,Manual
4.36,3.25,hi my name is gizelle I come from,hi my name is gizelle I come from
3.66,5.84,Kazakhstan and I have been living in New,Kazakhstan and I have been living in New
4.29,7.61,York for a little bit more than a year,York for a little bit more than a year
4.32,9.5,I'm a program associated Newman New,I'm a program associated Newman New
3.479,11.9,Yorkers in an organization that is,Yorkers in an organization that is
3.33,13.82,helping immigrant women to find their,helping immigrant women to find their
4.861,15.379,first fulfilling job in New York and,first fulfilling job in New York and
4.68,17.15,today I am with a news and Deepika and,today I am with a news and Deepika and
4.05,20.24,we're recording the podcast at the end,we're recording the podcast at the end
3.75,21.83,of the day thank you so much gizelle for,of the day thank you so much gizelle for
4.14,24.29,this wonderful introduction and,this wonderful introduction and
5.1,25.58,interesting you are an immigrant,interesting you are an immigrant
4.169,28.43,yourself and now you are helping,yourself and now you are helping
4.769,30.68,immigrants in this country how did that,immigrants in this country how did that
4.8,32.599,happen tell us how did you manage to,happen tell us how did you manage to
3.75,35.449,find a job with New York women,find a job with New York women
4.651,37.399,immigrants within the first year of you,immigrants within the first year of you
6.721,39.199,being in the US I found Nemo New Yorkers,being in the US I found Nemo New Yorkers
5.91,42.05,very shortly after I came here and I,very shortly after I came here and I
5.069,45.92,really wanted to be a part of this,really wanted to be a part of this
6.809,47.96,organization because I really believe in,organization because I really believe in
6.811,50.989,the power of collective of a group,the power of collective of a group
4.741,54.769,sharing and I also knew that I have to,sharing and I also knew that I have to
5.429,57.8,learn a lot of things about how to get a,learn a lot of things about how to get a
6.45,59.51,job here in New York so and when I,job here in New York so and when I
6.771,63.229,started the program I just really loved,started the program I just really loved
7.2,65.96,the way the organization is the way,the way the organization is the way
5.92,70.0,people people are kind to each other and,people people are kind to each other and
5.82,73.16,really are supporting each other so when,really are supporting each other so when
5.88,75.92,Ariel said that there was this opening I,Ariel said that there was this opening I
6.24,78.98,knew that I really Ariel is the founder,knew that I really Ariel is the founder
6.81,81.8,of New Roman New Yorkers and she has,of New Roman New Yorkers and she has
6.6,85.22,been working on their organization for I,been working on their organization for I
6.24,88.61,think five years now our flagship,think five years now our flagship
6.39,91.82,program is lead it is a eight week,program is lead it is a eight week
5.28,94.85,program where we have one workshop per,program where we have one workshop per
4.59,98.21,week three hours or three hours and a,week three hours or three hours and a
4.17,100.13,half it is completely free and we focus,half it is completely free and we focus
3.24,102.8,on different topics throughout the eight,on different topics throughout the eight
4.7,104.3,weeks we talk about the resume writing,weeks we talk about the resume writing
5.97,106.04,networking skills interview preparation,networking skills interview preparation
5.44,109.0,us working culture so basically we're,us working culture so basically we're
5.43,112.01,trying to help in this immigrant women,trying to help in this immigrant women
5.76,114.44,to understand what is the job search,to understand what is the job search
6.0,117.44,process and how do they how can they,process and how do they how can they
5.97,120.2,manage to go through you being an,manage to go through you being an
4.92,123.44,immigrant and then now being associated,immigrant and then now being associated
4.11,126.17,with this organization in the position,with this organization in the position
4.42,128.36,of a program associate you are helping,of a program associate you are helping
4.84,130.28,young immigrants of your is and my,young immigrants of your is and my
4.95,132.78,tell us what are the major challenges of,tell us what are the major challenges of
5.22,135.12,young women immigrants like you and me,young women immigrants like you and me
5.52,137.73,in the u.s. there is kind of like,in the u.s. there is kind of like
5.43,140.34,self-limiting belief when there think,self-limiting belief when there think
3.72,143.25,about their level of English they what,about their level of English they what
3.36,145.77,do you mean can you can you tell more,do you mean can you can you tell more
3.81,146.97,about this I mean I think we should get,about this I mean I think we should get
5.7,149.13,deeper into this topic self limiting,deeper into this topic self limiting
5.94,150.78,belief being an immigrant you in many,belief being an immigrant you in many
3.69,154.83,times you don't necessarily English is,times you don't necessarily English is
3.71,156.72,not your first language so you know that,not your first language so you know that
4.11,158.52,you are able to speak in a very,you are able to speak in a very
4.03,160.43,different way in your mother tongue and,different way in your mother tongue and
3.96,162.63,when then then you switch to English and,when then then you switch to English and
3.09,164.46,you make simple words sometimes you,you make simple words sometimes you
3.39,166.59,forget something,forget something
4.68,167.55,sometimes you remember even you,sometimes you remember even you
4.08,169.98,understand that the structure of your,understand that the structure of your
5.28,172.23,sentence is not completely correct so,sentence is not completely correct so
5.67,174.06,you know it and you feel bad about it,you know it and you feel bad about it
6.33,177.51,and you have the feeling that everyone,and you have the feeling that everyone
6.03,179.73,else is just thinking that you're not so,else is just thinking that you're not so
4.83,183.84,smart which is completely not true,smart which is completely not true
5.13,185.76,because let's face it most of Americans,because let's face it most of Americans
5.43,188.67,don't speak another language so this is,don't speak another language so this is
7.86,190.89,big added value that even couldn't have,big added value that even couldn't have
7.95,194.1,but so it is a matter of switching,but so it is a matter of switching
6.09,198.75,perceptions and maybe thinking not about,perceptions and maybe thinking not about
5.85,202.05,it not necessarily as a drawback but,it not necessarily as a drawback but
5.04,204.84,also as an advantage you have and what,also as an advantage you have and what
3.3,207.9,other than language barriers based on,other than language barriers based on
3.329,209.88,the interaction that you have with your,the interaction that you have with your
4.44,211.2,participants what are the other,participants what are the other
4.051,213.209,challenges that they face let me share,challenges that they face let me share
6.48,215.64,with you obviously you have the legal,with you obviously you have the legal
7.59,217.26,part where many many participants say,part where many many participants say
5.49,222.12,that it is more it is easier to get a,that it is more it is easier to get a
8.609,224.85,job when you have permanent status or,job when you have permanent status or
7.59,227.61,green card but it is easier but it like,green card but it is easier but it like
5.101,233.459,more complicated doesn't necessarily,more complicated doesn't necessarily
6.509,235.2,mean impossible and we as an,mean impossible and we as an
5.97,238.56,organization are not able to provide,organization are not able to provide
5.371,241.709,legal services but we do refer our,legal services but we do refer our
5.489,244.53,participants to other organizations who,participants to other organizations who
6.18,247.08,are focused in providing this help for,are focused in providing this help for
6.421,250.019,immigrant women and also kind of related,immigrant women and also kind of related
5.33,253.26,to it is the part where you in many,to it is the part where you in many
5.07,256.44,professions you have to have local,professions you have to have local
5.68,258.59,certification and authorization to work,certification and authorization to work
4.55,261.51,in this field so these are also,in this field so these are also
4.34,264.27,challenges where you,challenges where you
5.28,266.06,you have to translate your experience or,you have to translate your experience or
4.98,268.61,you are also having your first job,you are also having your first job
3.39,271.34,experience here this is very very very,experience here this is very very very
3.54,273.59,complicated,complicated
5.67,274.73,and it is I think one of the most,and it is I think one of the most
5.55,277.13,important things because it is work it,important things because it is work it
5.58,280.4,works like signaling to an employer that,works like signaling to an employer that
5.73,282.68,you know English well enough to be able,you know English well enough to be able
4.68,285.98,to work you probably have the,to work you probably have the
6.21,288.41,possibility to work authorization and,possibility to work authorization and
6.42,290.66,you have your papers and also you know,you have your papers and also you know
5.28,294.62,about the working culture in u.s. so,about the working culture in u.s. so
7.46,297.08,once you have this first job it is much,once you have this first job it is much
10.2,299.9,easier to to find the second one and to,easier to to find the second one and to
8.47,304.54,like to climb up the ladder so and it,like to climb up the ladder so and it
5.28,310.1,also works with the education but when,also works with the education but when
5.61,313.01,you don't have your education here in,you don't have your education here in
5.13,315.38,your in us well first of all the,your in us well first of all the
5.1,318.62,recruiters they don't necessarily know,recruiters they don't necessarily know
6.75,320.51,how to translate your your degree from,how to translate your your degree from
7.62,323.72,your home country to the US equivalent,your home country to the US equivalent
5.64,327.26,and so they don't have time to to think,and so they don't have time to to think
5.13,331.34,about it so they go to the most,about it so they go to the most
6.69,332.9,straightforward candidate and on the,straightforward candidate and on the
4.14,336.47,other hand well and for this we were,other hand well and for this we were
3.3,339.59,working with a partner organization,working with a partner organization
6.17,340.61,which is called world education services,which is called world education services
7.529,342.89,that is helping also to translate your,that is helping also to translate your
6.43,346.78,academic certifications to u.s.,academic certifications to u.s.
4.821,350.419,equivalent I just wanted to know what do,equivalent I just wanted to know what do
4.019,353.21,you guys do in those eight weeks program,you guys do in those eight weeks program
4.36,355.24,specific we are talking about the lead,specific we are talking about the lead
4.981,357.229,program getting back to my last point in,program getting back to my last point in
6.18,359.6,the education I think the second part of,the education I think the second part of
5.34,362.21,the why is the having an indication here,the why is the having an indication here
3.72,365.78,from hearing us is very important is,from hearing us is very important is
4.74,367.55,that it gives you not not necessarily,that it gives you not not necessarily
5.55,369.5,the knowledge about what you thought the,the knowledge about what you thought the
4.62,372.29,your profession but it gives you the,your profession but it gives you the
5.64,375.05,knowledge about it gives you the network,knowledge about it gives you the network
6.6,376.91,and the knowledge about how to how do,and the knowledge about how to how do
5.16,380.69,you do to find a job here and this is,you do to find a job here and this is
4.29,383.51,the the knowledge that immigrants don't,the the knowledge that immigrants don't
4.2,385.85,have fun they they come here well they,have fun they they come here well they
4.47,387.8,don't have necessarily network we have,don't have necessarily network we have
4.21,390.05,one workshop for three hours and a half,one workshop for three hours and a half
4.21,392.27,that is dedicated to,that is dedicated to
6.21,394.26,- networking where we learn how to,- networking where we learn how to
6.81,396.48,present yourself in a effective way and,present yourself in a effective way and
4.53,400.47,then most important we'll practice we,then most important we'll practice we
4.08,403.29,have also a couple of practical tips,have also a couple of practical tips
4.62,405.0,about how to start a conversation when,about how to start a conversation when
4.77,407.37,you get into the room and where you have,you get into the room and where you have
4.68,409.62,lots of people that you don't know yes,lots of people that you don't know yes
4.71,412.14,you're super scared you're thinking,you're super scared you're thinking
4.65,414.3,about your level of English proficiency,about your level of English proficiency
3.9,416.85,and you don't know anyone and how do you,and you don't know anyone and how do you
3.96,418.95,manage just try so we want to make you,manage just try so we want to make you
3.81,420.75,want to leave a good impression on each,want to leave a good impression on each
4.08,422.91,person you talk to which is like I,person you talk to which is like I
3.87,424.56,personally find it a lot of pressure on,personally find it a lot of pressure on
5.48,426.99,my mind whenever I attend a networking,my mind whenever I attend a networking
4.04,428.43,event it's difficult it's like okay,event it's difficult it's like okay
6.88,432.98,that's true whether it's as with all,that's true whether it's as with all
4.92,437.31,everything else you have to practice you,everything else you have to practice you
5.13,439.86,need to have your script know what you,need to have your script know what you
5.94,442.23,want to say and then networking is also,want to say and then networking is also
6.21,444.99,like just creating a connection you just,like just creating a connection you just
5.16,448.17,want to this person to understand that,want to this person to understand that
5.25,451.2,you are a nice interesting person and,you are a nice interesting person and
5.4,453.33,that's it you don't necessarily want to,that's it you don't necessarily want to
6.36,456.45,him to hire you straight away the first,him to hire you straight away the first
6.72,458.73,time you see this person so and also I,time you see this person so and also I
5.04,462.81,try to I like to think about it in the,try to I like to think about it in the
5.4,465.45,way like in New York everyone has a guy,way like in New York everyone has a guy
