Duration,Start,Automated,Manual
6.809,0.97,[Music],[Music]
5.559,3.75,hi I'm Carl and I'm the program officer,hi I'm Carl and I'm the program officer
4.261,7.779,for student services at the,for student services at the
4.531,9.309,english-speaking Union and I am here,english-speaking Union and I am here
4.47,12.04,with Deepika and a nudge in their,with Deepika and a nudge in their
4.019,13.84,podcast at the end of the day God thank,podcast at the end of the day God thank
3.48,16.51,you so much for your time thank you so,you so much for your time thank you so
5.701,17.859,much for being in our podcast thank you,much for being in our podcast thank you
6.829,19.99,for having me we would personally like,for having me we would personally like
6.359,23.56,to thank you so much that you have been,to thank you so much that you have been
5.44,26.819,helping us get the space to record the,helping us get the space to record the
6.091,29.919,podcast and it really means a lot to us,podcast and it really means a lot to us
9.42,32.259,as well as to our audience our pleasure,as well as to our audience our pleasure
8.91,36.01,I myself am an alum of the ESU programs,I myself am an alum of the ESU programs
5.671,41.679,of I have taken a number of classes and,of I have taken a number of classes and
5.52,44.92,the English speaking union I feel proud,the English speaking union I feel proud
5.31,47.35,to be a proud alum in english-speaking,to be a proud alum in english-speaking
3.989,50.44,Union but today we would like to know,Union but today we would like to know
5.25,52.66,more about the services that you provide,more about the services that you provide
7.38,54.429,to the newly arriving immigrants in the,to the newly arriving immigrants in the
6.45,57.91,u.s. sure so our organization is called,u.s. sure so our organization is called
5.461,61.809,ESU which is short for English speaking,ESU which is short for English speaking
7.26,64.36,Union and we're a nonprofit organization,Union and we're a nonprofit organization
7.95,67.27,we've existed for now in 2020 it's going,we've existed for now in 2020 it's going
6.18,71.62,to be a hundred years so we have a range,to be a hundred years so we have a range
5.31,75.22,of programs that all focus on the,of programs that all focus on the
5.19,77.8,English language so we have the Andrew,English language so we have the Andrew
5.51,80.53,remain new immigrant Center and what,remain new immigrant Center and what
6.21,82.99,that does is it offers ESL classes,that does is it offers ESL classes
5.41,86.04,conversation tutoring as well as,conversation tutoring as well as
6.57,89.2,professional development opportunities,professional development opportunities
7.05,91.45,so we'll hold workshops and field trips,so we'll hold workshops and field trips
5.79,95.77,often the workshops are focusing on,often the workshops are focusing on
6.93,98.5,things like resume writing cover letter,things like resume writing cover letter
6.48,101.56,writing interview practice and the,writing interview practice and the
5.94,105.43,purpose of the program is really just to,purpose of the program is really just to
7.32,108.04,help immigrants integrate more fully,help immigrants integrate more fully
6.24,111.37,here so we achieve this by helping them,here so we achieve this by helping them
6.09,115.36,to improve their English and also to,to improve their English and also to
5.88,117.61,help them explore careers here and kind,help them explore careers here and kind
4.17,121.45,of use their previous experience and,of use their previous experience and
5.04,123.49,education from their home countries and,education from their home countries and
6.57,125.62,apply it here to find professional level,apply it here to find professional level
5.28,128.53,jobs but our organization also offers,jobs but our organization also offers
4.68,132.19,other programs that aren't really,other programs that aren't really
4.44,133.81,related to immigrants but are more,related to immigrants but are more
5.13,136.87,or high school students and high school,or high school students and high school
5.67,138.25,teachers so we have an exchange where we,teachers so we have an exchange where we
4.11,142.0,will send high school teachers to,will send high school teachers to
4.77,143.92,British universities for professional,British universities for professional
4.439,146.11,development and we also run a,development and we also run a
5.219,148.69,Shakespeare competition for high school,Shakespeare competition for high school
6.891,150.549,students so we do a lot here but I work,students so we do a lot here but I work
7.561,153.909,primarily on the immigrant programs,primarily on the immigrant programs
7.12,157.44,starting from the basic Karl if a newly,starting from the basic Karl if a newly
4.71,161.47,are having a Meaghan have to come to ESU,are having a Meaghan have to come to ESU
4.47,164.56,to get the service where is the first,to get the service where is the first
4.649,166.18,step they have to do so really the first,step they have to do so really the first
4.289,169.03,step is to attend an information session,step is to attend an information session
5.55,170.829,so we hold information sessions,so we hold information sessions
5.491,173.319,throughout the year and you can sign up,throughout the year and you can sign up
6.121,176.379,on our website I could share the link,on our website I could share the link
5.039,178.81,with you and basically they'll come to,with you and basically they'll come to
3.78,182.5,an information session where they'll,an information session where they'll
5.25,183.849,meet with staff here who will check if,meet with staff here who will check if
5.25,186.28,they're eligible for the program then if,they're eligible for the program then if
4.711,189.099,they are eligible we will invite them to,they are eligible we will invite them to
5.069,191.53,a second registration session where they,a second registration session where they
5.459,193.81,can start to really register directly,can start to really register directly
4.621,196.599,for classes and start to get involved,for classes and start to get involved
4.351,199.269,with everything in the program right,with everything in the program right
