Duration,Start,Automated,Manual
6.45,2.67,hey guys I'm Ronnie Mazumdar I'm uh been,hey guys I'm Ronnie Mazumdar I'm uh been
4.791,6.729,in this country for about 25 years,in this country for about 25 years
6.22,9.12,currently I'm an entrepreneur,currently I'm an entrepreneur
6.46,11.52,essentially I create memorable events,essentially I create memorable events
5.55,15.34,and ideas that's what I bring to life,and ideas that's what I bring to life
5.01,17.98,that's essentially who I am very excited,that's essentially who I am very excited
3.51,20.89,to be here this evening and having a,to be here this evening and having a
3.06,22.99,conversation with all of you,conversation with all of you
3.09,24.4,Thank You Ronnie thank you so much for,Thank You Ronnie thank you so much for
3.0,26.05,that wonderful introduction we are so,that wonderful introduction we are so
3.959,27.49,glad to have you today in the podcast,glad to have you today in the podcast
3.689,29.05,thank you my pleasure thank you both for,thank you my pleasure thank you both for
3.301,31.449,inviting me here mm-hmm,inviting me here mm-hmm
5.34,32.739,so Ronnie uh in your introduction you,so Ronnie uh in your introduction you
7.53,34.75,said you me make memorable events sure,said you me make memorable events sure
6.87,38.079,what does that mean so the first thing,what does that mean so the first thing
4.439,42.28,to recognize is that what I like to,to recognize is that what I like to
3.901,44.949,create in different dimensions and it,create in different dimensions and it
3.721,46.719,could be through arts it could be,could be through arts it could be
4.619,48.85,through restaurants it could be through,through restaurants it could be through
6.029,50.44,films television any medium that you're,films television any medium that you're
4.89,53.469,touching in the end I create products,touching in the end I create products
3.96,56.469,that leave an impression and impact on,that leave an impression and impact on
3.331,58.359,you if it doesn't then it doesn't excite,you if it doesn't then it doesn't excite
5.461,60.429,me that's what I realized,me that's what I realized
6.15,61.69,a little over a decade ago and I started,a little over a decade ago and I started
3.72,65.89,working towards that goal to create it,working towards that goal to create it
3.45,67.84,what aware that brings me today is a,what aware that brings me today is a
3.66,69.61,group of restaurants that's really where,group of restaurants that's really where
3.84,71.29,the focus is and in the near future,the focus is and in the near future
2.91,73.27,there's some really exciting stuff that,there's some really exciting stuff that
5.699,75.13,I'm working on that I would love to,I'm working on that I would love to
8.579,76.18,share with you guys well can you speak a,share with you guys well can you speak a
6.871,80.829,little about what's coming next just to,little about what's coming next just to
4.081,84.759,give you a background I own a group of,give you a background I own a group of
2.849,87.7,restaurants there's three of them,restaurants there's three of them
4.529,88.84,there's gonna be a fourth one that's,there's gonna be a fourth one that's
4.17,90.549,opening by the end of by the middle of,opening by the end of by the middle of
4.68,93.369,this year what we're doing and we're,this year what we're doing and we're
5.641,94.719,creating through my personal lens of,creating through my personal lens of
3.871,98.049,Indian restaurants that all look and,Indian restaurants that all look and
3.06,100.36,feel different and as you mentioned,feel different and as you mentioned
3.72,101.92,three of the restaurants that you,three of the restaurants that you
4.199,103.42,currently own and all of these three,currently own and all of these three
3.72,105.64,restaurants are in Qui are in New York,restaurants are in Qui are in New York
4.801,107.619,City and I have to name them for the,City and I have to name them for the
5.91,109.36,audience were here aji the masala wallah,audience were here aji the masala wallah
7.049,112.42,and uh des and I also have to let our,and uh des and I also have to let our
6.989,115.27,audience know that odda was named one of,audience know that odda was named one of
5.43,119.469,the ten best new restaurants in New York,the ten best new restaurants in New York
4.411,122.259,City by the New York Times watch 2018,City by the New York Times watch 2018
3.991,124.899,right it's a congratulation thank you,right it's a congratulation thank you
4.709,126.67,Ronnie I just wanted to know how old are,Ronnie I just wanted to know how old are
5.849,128.89,you now I'm 36 years old the reason why,you now I'm 36 years old the reason why
4.531,131.379,I oxtail is is I want to take you back,I oxtail is is I want to take you back
4.231,134.739,to the A's Wendy,to the A's Wendy
6.72,135.91,we're 13 when you first came to America,we're 13 when you first came to America
6.45,138.97,your father who had a highly reputed job,your father who had a highly reputed job
4.83,142.63,as a lawyer in India he left a job he,as a lawyer in India he left a job he
4.47,145.42,gave up his career and came to the US,gave up his career and came to the US
4.05,147.46,and started a foot fruit cart mm-hmm and,and started a foot fruit cart mm-hmm and
3.45,149.89,you were helping him every single day,you were helping him every single day
3.66,151.51,waking up 3:00 a.m. in the morning I,waking up 3:00 a.m. in the morning I
3.72,153.34,wish I could say every day it was,wish I could say every day it was
4.23,155.17,whenever I did had chances from school,whenever I did had chances from school
