Duration,Start,Automated,Manual
5.8,2.87,hi guys welcome to another episode of,hi guys welcome to another episode of
5.491,6.089,our podcast at the end of the day this,our podcast at the end of the day this
6.24,8.67,is your friend alice tapa this is me the,is your friend alice tapa this is me the
6.0,11.58,pecans Resta and today with us is Horry,pecans Resta and today with us is Horry
5.91,14.91,Colorado hi how are you he is originally,Colorado hi how are you he is originally
5.609,17.58,from El Salvador and back home he was,from El Salvador and back home he was
4.709,20.82,teaching anthropology anthropology,teaching anthropology anthropology
4.951,23.189,diversity in a university in which,diversity in a university in which
5.971,25.529,University Jose Matias Delgado,University Jose Matias Delgado
5.7,28.14,University okay I worked there for eight,University okay I worked there for eight
5.91,31.5,years and he has been in the US for,years and he has been in the US for
5.67,33.84,three years I came in July 20 2015,three years I came in July 20 2015
4.68,37.41,huh today's conversation what we're,huh today's conversation what we're
5.25,39.51,gonna focus is how did you overcome the,gonna focus is how did you overcome the
4.62,42.09,fear of communicating with others in,fear of communicating with others in
5.61,44.76,English so let's let's dig in more in my,English so let's let's dig in more in my
9.15,46.71,case because I don't like my accent you,case because I don't like my accent you
8.43,50.37,don't I still it's different with my,don't I still it's different with my
5.07,55.86,wife she's she's she born here in,wife she's she's she born here in
4.8,58.8,California right she's Salvadoran and,California right she's Salvadoran and
5.49,60.93,Mexican right but she's speaking is like,Mexican right but she's speaking is like
6.18,63.6,an active it's not my case right I think,an active it's not my case right I think
6.0,66.42,the most important issue is be,the most important issue is be
3.72,69.78,comfortable with you okay with your,comfortable with you okay with your
5.19,72.42,accent,accent
5.729,73.5,even if you don't like and just try try,even if you don't like and just try try
4.86,77.61,to communicate with the people,to communicate with the people
5.941,79.229,mm-hm and I think this is a good for New,mm-hm and I think this is a good for New
5.039,82.47,York is good here,York is good here
5.94,85.17,if you go to the subway station you will,if you go to the subway station you will
5.551,87.509,see every people in there they have a,see every people in there they have a
5.28,91.11,different accent yes like people from,different accent yes like people from
4.97,93.06,French people from Africa from Asia from,French people from Africa from Asia from
4.769,96.39,Latin America mm-hmm,Latin America mm-hmm
6.4,98.03,so we you speak different mm-hmm so it's,so we you speak different mm-hmm so it's
5.82,101.159,for us if you live in New York or a big,for us if you live in New York or a big
6.66,104.43,city it's better if you were you feel,city it's better if you were you feel
5.731,106.979,better but the other issues is is about,better but the other issues is is about
4.23,111.09,them in Spanish,them in Spanish
5.46,112.71,I can explain complex issue issues,I can explain complex issue issues
6.21,115.32,mm-hmm yeah but in English it's not like,mm-hmm yeah but in English it's not like
6.75,118.17,a Spanish he's different and it's just,a Spanish he's different and it's just
6.78,121.53,time you know it when you when you learn,time you know it when you when you learn
6.209,124.92,when you was here and you try to ride a,when you was here and you try to ride a
4.98,128.31,bicycle mm-hmm you ride a bicycle and,bicycle mm-hmm you ride a bicycle and
5.041,131.129,you take time for writing backs,you take time for writing backs
6.199,133.29,mm-hmm it's not the same day even so it,mm-hmm it's not the same day even so it
6.539,136.17,seemed in English right to take time,seemed in English right to take time
5.441,139.489,yeah you need to know the basic of the,yeah you need to know the basic of the
5.25,142.709,English you will make a lot of mistakes,English you will make a lot of mistakes
4.139,144.93,right yeah but that's it you need to,right yeah but that's it you need to
3.301,147.959,accept the mistakes,accept the mistakes
5.461,149.069,yes this is the way how did you overcome,yes this is the way how did you overcome
5.009,151.26,that fear first sight I get class I've,that fear first sight I get class I've
4.319,154.53,got some classes in the column,got some classes in the column
5.821,156.269,University is a Kalume University,University is a Kalume University
6.98,158.849,English for new immigrants University,English for new immigrants University
7.229,162.09,it's pretty Michelle is a social or,it's pretty Michelle is a social or
5.351,165.829,social help ok he's free legal immigrant,social help ok he's free legal immigrant
4.381,169.319,or undocumented immigrant it on the,or undocumented immigrant it on the
4.889,171.18,comment ignorance is okay don't ask for,comment ignorance is okay don't ask for
5.189,173.7,your background interesting yeah just,your background interesting yeah just
