Duration,Start,Automated,Manual
5.38,2.75,hi my name is Chris Traeger,hi my name is Chris Traeger
5.94,5.13,I'm here with another Deepika and the,I'm here with another Deepika and the
5.79,8.13,podcast at the end of the day I'm,podcast at the end of the day I'm
5.52,11.07,originally from Ghana I've been here for,originally from Ghana I've been here for
5.58,13.92,10 plus years and I'm working at for a,10 plus years and I'm working at for a
5.04,16.59,cm firm legal in New York City,cm firm legal in New York City
4.289,19.5,thank you so much Chris for sparing your,thank you so much Chris for sparing your
5.069,21.63,time and coming to our podcast yeah,time and coming to our podcast yeah
5.041,23.789,thank you nice for you to have me thank,thank you nice for you to have me thank
4.951,26.699,you so you say you're working in the,you so you say you're working in the
5.159,28.83,construction for Leo construction,construction for Leo construction
4.77,31.65,management right I guess for people who,management right I guess for people who
4.741,33.989,are interested in this profession since,are interested in this profession since
4.409,36.42,it's a big name yeah it's a big name in,it's a big name yeah it's a big name in
5.79,38.73,the city yeah you came to the u.s. in,the city yeah you came to the u.s. in
6.75,40.829,2007 yes and today it's it's right now,2007 yes and today it's it's right now
4.469,44.52,it's 2019 yeah well I will have to tell,it's 2019 yeah well I will have to tell
3.87,47.579,this to the audience,this to the audience
5.611,48.989,Chris and I we were in a class together,Chris and I we were in a class together
4.561,51.449,at Baruch I'm doing the international,at Baruch I'm doing the international
3.599,54.6,affairs program and you just finish your,affairs program and you just finish your
5.61,56.01,masters of Public Administration yes how,masters of Public Administration yes how
5.661,58.199,does it feel it's a relief you wake up I,does it feel it's a relief you wake up I
6.51,61.62,used to think you got assignments to do,used to think you got assignments to do
6.4,63.86,but uh yeah it's a lot of relief at it,but uh yeah it's a lot of relief at it
7.08,68.13,it's good it's my second master so,it's good it's my second master so
7.05,70.26,second master yes everyone planning a,second master yes everyone planning a
6.63,75.21,bun steady seven planning it was that,bun steady seven planning it was that
6.72,77.31,master's in in you yes so they are,master's in in you yes so they are
4.86,81.84,related even though they it's not the,related even though they it's not the
7.29,84.03,same thing but they are related so Chris,same thing but they are related so Chris
5.309,86.7,oh very um studying when you applied for,oh very um studying when you applied for
3.6,91.32,this job,this job
5.22,92.009,yes we've already had a class going on,yes we've already had a class going on
3.03,94.92,with the peacock before I have applied,with the peacock before I have applied
2.671,97.229,for this job,for this job
3.809,97.95,so midway through the semester I had to,so midway through the semester I had to
4.649,99.9,change out you are also doing another,change out you are also doing another
5.101,101.759,job yes I was working as a project,job yes I was working as a project
5.1,104.549,coordinator for a parking and,coordinator for a parking and
4.829,106.86,transportation firm in the city and then,transportation firm in the city and then
3.841,109.649,I got this opportunity so midway through,I got this opportunity so midway through
3.451,111.689,the semester I was still a student and I,the semester I was still a student and I
2.519,113.49,changed jobs so you had a full-time,changed jobs so you had a full-time
2.97,115.14,student yes,student yes
4.351,116.009,Oh interesting because normally what,Oh interesting because normally what
4.59,118.11,happens is people you know students,happens is people you know students
4.32,120.36,finish their graduation finish their,finish their graduation finish their
6.449,122.7,studies and they start looking for job,studies and they start looking for job
6.12,124.68,yes that is true but what if the,yes that is true but what if the
4.641,129.149,opportunity is not that when you finish,opportunity is not that when you finish
4.279,130.8,school the opportunity comes this,school the opportunity comes this
2.52,133.79,six months before you finish school you,six months before you finish school you
3.601,135.079,didn't take it because you weren't,didn't take it because you weren't
4.289,136.31,looking you are waiting to finish school,looking you are waiting to finish school
4.74,138.68,now you finished school that job is not,now you finished school that job is not
4.62,140.599,that it's gone you not have to search so,that it's gone you not have to search so
2.22,143.42,it's it's more about being on the,it's it's more about being on the
2.52,145.219,lookout,lookout
6.48,145.64,it's now who says you can't work when,it's now who says you can't work when
6.511,147.739,you're in school you know and barrack,you're in school you know and barrack
4.17,152.12,for instance do a lot of recruiting a,for instance do a lot of recruiting a
4.079,154.25,lot of companies come and recruit while,lot of companies come and recruit while
4.199,156.29,CI in school so the idea who could you,CI in school so the idea who could you
3.75,158.329,get into the end of your program so you,get into the end of your program so you
4.14,160.489,gotta be looking if you're not looking,gotta be looking if you're not looking
5.25,162.079,and opportunity comes and goes now you,and opportunity comes and goes now you
6.661,164.629,sit at home you have a gap and that gap,sit at home you have a gap and that gap
6.06,167.329,who know it will not help you so yeah it,who know it will not help you so yeah it
5.099,171.29,doesn't have to look while you're in,doesn't have to look while you're in
5.49,173.389,school if you love what you are doing,school if you love what you are doing
4.891,176.389,and what you're studying you can find a,and what you're studying you can find a
6.301,178.879,way to combine both if not you can be a,way to combine both if not you can be a
6.359,181.28,part-time student because I what sense,part-time student because I what sense
5.94,185.18,does it make to rush and finish school,does it make to rush and finish school
5.52,187.639,and not get a job once you can become a,and not get a job once you can become a
4.11,191.12,part-time student and have a job and,part-time student and have a job and
3.961,193.159,then you can you achieve both you finish,then you can you achieve both you finish
5.46,195.23,school and you still keep the job you,school and you still keep the job you
5.16,197.12,have some experience you know anything,have some experience you know anything
3.57,200.69,helps you with your education because,helps you with your education because
4.739,202.28,then you don't need to satisfy that,then you don't need to satisfy that
4.379,204.26,internship requirement that most schools,internship requirement that most schools
11.37,207.019,need you to when you have a job and,need you to when you have a job and
11.28,208.639,you're working in don't yes I don't know,you're working in don't yes I don't know
5.52,218.389,about undergrad program for graduate,about undergrad program for graduate
5.581,219.919,program you need internship if you have,program you need internship if you have
4.351,223.909,experience you don't need that,experience you don't need that
4.919,225.5,internship that saves your time yes it's,internship that saves your time yes it's
3.96,228.26,a see a lot of time you don't need to,a see a lot of time you don't need to
3.15,230.419,register for that I don't know if they,register for that I don't know if they
3.72,232.22,pay for that when they do their,pay for that when they do their
4.551,233.569,registration out so save you time and it,registration out so save you time and it
4.769,235.94,will save you some money,will save you some money
3.31,238.12,yes you know if you don't get a paid,yes you know if you don't get a paid
3.06,240.709,internship,internship
4.83,241.43,you know you'll be working for free you,you know you'll be working for free you
5.661,243.769,know in New York City is expensive now,know in New York City is expensive now
7.439,246.26,if you get a job it helps it's win-win,if you get a job it helps it's win-win
6.64,249.43,you get to get a gate and money gain job,you get to get a gate and money gain job
4.32,253.699,experience and then you also fulfill the,experience and then you also fulfill the
3.719,256.07,school's requirement to get your degree,school's requirement to get your degree
2.791,258.019,yeah now the other question I wanted to,yeah now the other question I wanted to
3.541,259.789,ask,ask
