Duration,Start,Automated,Manual
5.75,0.97,[Music],[Music]
5.53,3.77,hello I'm here with Ellucian Deepika in,hello I'm here with Ellucian Deepika in
4.86,6.72,the podcast in the end of the day and my,the podcast in the end of the day and my
5.28,9.3,name is Anastasia maximenko and I'm,name is Anastasia maximenko and I'm
5.4,11.58,originally from Kazakhstan and I came to,originally from Kazakhstan and I came to
4.59,14.58,the United States almost eight years ago,the United States almost eight years ago
4.65,16.98,right now I'm working as admission,right now I'm working as admission
5.0,19.17,counselor at City University of New York,counselor at City University of New York
5.27,21.63,and most of the time I counsel,and most of the time I counsel
4.72,24.17,immigrants and you arrived immigrants,immigrants and you arrived immigrants
11.14,26.9,Anastasia thank you so much for your,Anastasia thank you so much for your
13.68,28.89,time welcome I had to chase you for the,time welcome I had to chase you for the
6.179,38.04,hot seat in my podcast so if you are in,hot seat in my podcast so if you are in
4.2,42.57,New York City and if you are one of,New York City and if you are one of
5.011,44.219,those who are trying to find information,those who are trying to find information
5.25,46.77,about how to enroll in an undergrad,about how to enroll in an undergrad
5.399,49.23,program in QD I think this conversation,program in QD I think this conversation
4.74,52.02,today would be very beneficial to you so,today would be very beneficial to you so
6.331,54.629,anastasiya you are an admissions,anastasiya you are an admissions
6.27,56.76,admission counselor yeah CUNY for those,admission counselor yeah CUNY for those
4.1,60.96,students for those immigrants who are in,students for those immigrants who are in
5.339,63.03,New York City and are interested to,New York City and are interested to
6.309,65.06,enroll in an undergrad program what kind,enroll in an undergrad program what kind
6.061,68.369,of preparation do they have to have to,of preparation do they have to have to
6.511,71.369,do I definitely urge students come to,do I definitely urge students come to
7.619,74.43,our office which is like CUNY Welcome,our office which is like CUNY Welcome
8.309,77.88,Center located here on 217 East 42nd,Center located here on 217 East 42nd
6.511,82.049,Street and but before coming into our,Street and but before coming into our
4.231,86.189,office I can tell you know what,office I can tell you know what
5.46,88.56,documents they need to submit and so on,documents they need to submit and so on
5.15,90.42,so basically in general we are dividing,so basically in general we are dividing
4.139,94.02,students into two groups,students into two groups
5.32,95.57,freshmen students and transfer students,freshmen students and transfer students
5.431,98.159,freshmen at those who finished high,freshmen at those who finished high
5.1,100.89,school only and now they want to enroll,school only and now they want to enroll
4.62,103.59,in in the college high school that's,in in the college high school that's
4.71,105.99,twelve standard right yeah okay or,twelve standard right yeah okay or
5.159,108.21,eleven depends on them on the year,eleven depends on them on the year
5.669,110.7,around the country right because even in,around the country right because even in
5.701,113.369,my country in Kazakhstan we finish 11,my country in Kazakhstan we finish 11
5.671,116.369,years but basically once you know that,years but basically once you know that
4.95,119.07,okay this is high school diploma or I,okay this is high school diploma or I
4.649,122.04,have some transcript for high school,have some transcript for high school
5.609,124.02,diploma and I didn't go anywhere else,diploma and I didn't go anywhere else
5.761,126.689,after that high school secondary school,after that high school secondary school
4.211,129.629,different different terms right but,different different terms right but
4.45,132.45,means the same,means the same
5.19,133.84,so if the city knows yes I finished that,so if the city knows yes I finished that
5.46,136.9,and they never went to anywhere else,and they never went to anywhere else
6.209,139.03,they're freshmen all right and then,they're freshmen all right and then
5.849,142.36,another group is transfer students right,another group is transfer students right
5.61,145.239,so basically after the high school they,so basically after the high school they
4.981,148.209,went to post-secondary degree to,went to post-secondary degree to
5.521,150.849,University College any type of,University College any type of
5.519,153.19,institution are using all those words,institution are using all those words
4.38,156.37,because basically for us they meet all,because basically for us they meet all
4.081,158.709,the same right for students sometimes,the same right for students sometimes
4.709,160.75,like no I didn't go to college I went to,like no I didn't go to college I went to
5.22,162.79,university but for us is basically the,university but for us is basically the
6.181,165.459,same thing right it's big it's a group,same thing right it's big it's a group
6.839,168.01,of post-secondary education so for those,of post-secondary education so for those
5.67,171.64,students who went but didn't finish for,students who went but didn't finish for
5.101,174.849,the student who went were expelled,the student who went were expelled
5.31,177.31,because of bad grades or whatever the,because of bad grades or whatever the
6.899,179.95,reason or even for students who did,reason or even for students who did
