Duration,Start,Automated,Manual
4.57,2.81,hello my name is Sharon Jerome and,hello my name is Sharon Jerome and
5.22,5.13,originally I'm from Nepal I came to,originally I'm from Nepal I came to
4.679,7.38,United United States in 2010 currently,United United States in 2010 currently
4.05,10.35,I'm working with an organization called,I'm working with an organization called
4.501,12.059,business center for new Americans and I,business center for new Americans and I
3.9,14.4,do the community outreach and Community,do the community outreach and Community
3.809,16.56,Partnership for the organization,Partnership for the organization
3.629,18.3,today I'm with Deepika and anews at,today I'm with Deepika and anews at
3.631,20.369,their podcast at the end of the day,their podcast at the end of the day
4.381,21.929,thank you so much cheering for being on,thank you so much cheering for being on
5.789,24.0,our podcast of course my pleasure I'm so,our podcast of course my pleasure I'm so
5.189,26.31,happy to be here cheering tell us what,happy to be here cheering tell us what
4.131,29.789,is bcn a business center for new,is bcn a business center for new
6.781,31.499,Americans what does it actually do show,Americans what does it actually do show
5.709,33.92,BCE is a non profit CDFI it's called,BCE is a non profit CDFI it's called
3.48,38.28,community development financial,community development financial
3.961,39.629,institution so we have more mission,institution so we have more mission
4.279,41.76,based financial institutions we are not,based financial institutions we are not
4.62,43.59,a bank but our goal is to really provide,a bank but our goal is to really provide
5.051,46.039,financial product and services to,financial product and services to
4.619,48.21,underserved communities so BC any works,underserved communities so BC any works
4.53,51.09,with small business owners in New York,with small business owners in New York
4.71,52.829,City and we provide affordable small,City and we provide affordable small
3.959,55.62,business loan financial education and,business loan financial education and
4.02,57.539,technical assistance to business owners,technical assistance to business owners
3.811,59.579,to actually help them start a business,to actually help them start a business
3.93,61.559,or help them grow their business and,or help them grow their business and
4.23,63.39,we're talking over the phone last,we're talking over the phone last
5.371,65.489,weekend you told me that you didn't have,weekend you told me that you didn't have
5.52,67.62,you know academic degree in Omega but,you know academic degree in Omega but
6.54,70.86,you do have academic degree in the,you do have academic degree in the
6.51,73.14,polyhedra MBA in Nepal so tell me how,polyhedra MBA in Nepal so tell me how
5.07,77.4,did you you know crack this job market,did you you know crack this job market
6.24,79.65,without having an American degree in,without having an American degree in
5.64,82.47,America sure you know when I when I came,America sure you know when I when I came
5.07,85.89,to us you know that was the thought in,to us you know that was the thought in
4.92,88.11,my mind like you know like should I get,my mind like you know like should I get
5.04,90.96,an American degree I know in order to,an American degree I know in order to
5.04,93.03,get the job right because I thought like,get the job right because I thought like
3.81,96.0,you know you know the the traditional or,you know you know the the traditional or
3.33,98.07,the conventional we you know like,the conventional we you know like
4.62,99.81,sending resume where they would look for,sending resume where they would look for
4.92,101.4,the degree I mean how I got my job was,the degree I mean how I got my job was
4.11,104.43,you know the connection and the,you know the connection and the
4.38,106.32,relationships that I made you know,relationships that I made you know
4.44,108.54,through different interactions so you,through different interactions so you
5.15,110.7,know volunteering in nonprofit,know volunteering in nonprofit
6.36,112.98,organization like a charity car china,organization like a charity car china
5.59,115.85,IRC um you know these organizations I,IRC um you know these organizations I
4.53,119.34,mean the people that I met there during,mean the people that I met there during
4.77,121.44,volunteering here that really helped me,volunteering here that really helped me
3.87,123.87,let's break down more now yes so we want,let's break down more now yes so we want
2.68,126.21,to get into the details about your,to get into the details about your
3.7,127.74,volunteering,volunteering
4.38,128.89,I'm very very happy to share that you,I'm very very happy to share that you
3.78,131.44,save volunteering it clearly means your,save volunteering it clearly means your
3.9,133.27,unpaid you are volunteering out of your,unpaid you are volunteering out of your
