Duration,Start,Automated,Manual
6.129,1.97,hi everyone I'm some gentleman I'm from,hi everyone I'm some gentleman I'm from
5.01,5.94,India and I'm working as a research,India and I'm working as a research
4.71,8.099,associate at NGO called mat for America,associate at NGO called mat for America
3.87,10.95,and today I'm here with a news and,and today I'm here with a news and
3.991,12.809,Deepika in their amazing podcast at the,Deepika in their amazing podcast at the
4.89,14.82,end of the day some Joe thank you so,end of the day some Joe thank you so
5.52,16.8,much for setting out your time despite,much for setting out your time despite
6.389,19.71,your busy schedule what does Matt for,your busy schedule what does Matt for
6.57,22.32,America do so our main aim is to create,America do so our main aim is to create
5.01,26.099,a community for a very accomplished math,a community for a very accomplished math
5.849,28.89,and science teachers in New York City,and science teachers in New York City
6.481,31.109,and we provide them fellowship and we,and we provide them fellowship and we
5.011,34.739,give them opportunity to have lots of,give them opportunity to have lots of
4.86,37.59,professional development where they can,professional development where they can
5.129,39.75,learn every day grow and lead and then,learn every day grow and lead and then
5.28,42.45,impact their schools you as a research,impact their schools you as a research
8.041,44.879,associate at mater America what do you,associate at mater America what do you
8.28,47.73,exactly do so for now me and my team,exactly do so for now me and my team
4.92,52.92,what we work as we look at evaluating,what we work as we look at evaluating
3.959,56.01,the program how many fellowships we have,the program how many fellowships we have
4.109,57.84,given are they satisfied with the,given are they satisfied with the
4.59,59.969,program we are given so let's say for,program we are given so let's say for
5.271,61.949,this coming spring semester we are,this coming spring semester we are
6.871,64.559,giving them 150 different programs so,giving them 150 different programs so
5.98,67.22,how satisfied are there you know and we,how satisfied are there you know and we
5.16,71.43,all see well like why if they withdraw,all see well like why if they withdraw
5.73,73.2,why with why they withdraw and what kind,why with why they withdraw and what kind
4.349,76.59,of impact are we creating personally so,of impact are we creating personally so
4.14,78.93,we are like okay thousand teachers we,we are like okay thousand teachers we
3.691,80.939,are given fellowship right but we kind,are given fellowship right but we kind
4.619,83.07,of like right now we are conducting,of like right now we are conducting
5.97,84.63,focused study where we're trying to do a,focused study where we're trying to do a
5.191,87.689,deeper analysis of what this fellowship,deeper analysis of what this fellowship
6.089,90.6,mean for each one of them now today's,mean for each one of them now today's
5.76,92.88,topic is about learning how you some,topic is about learning how you some
4.831,96.689,George Alma coming all the way from,George Alma coming all the way from
5.58,98.64,India to the US have grown up yourself,India to the US have grown up yourself
4.83,101.52,as a researcher and have come to be what,as a researcher and have come to be what
4.56,104.22,you are today so how did you develop,you are today so how did you develop
5.22,106.35,your skill as a researcher as an,your skill as a researcher as an
4.379,108.78,evaluator walk us through your journey,evaluator walk us through your journey
3.6,111.57,in the u.s. yeah when did you come to,in the u.s. yeah when did you come to
5.971,113.159,you guys for the first so I came in u.s.,you guys for the first so I came in u.s.
6.68,115.17,in 2012 through a scholarship but I was,in 2012 through a scholarship but I was
5.61,119.13,always inclined towards education and,always inclined towards education and
4.69,121.85,obviously I wasn't very clear about what,obviously I wasn't very clear about what
3.989,124.74,I'm supposed to do but I did certify,I'm supposed to do but I did certify
4.699,126.54,myself a teaching because that was I,myself a teaching because that was I
4.951,128.729,felt there was the closest calling to me,felt there was the closest calling to me
6.101,131.239,then after coming here getting Scholar,then after coming here getting Scholar
5.52,133.68,I got a chance to redesign my career so,I got a chance to redesign my career so
3.929,137.34,I kind of felt that psychology is,I kind of felt that psychology is
4.739,139.2,something which I always wanted to study,something which I always wanted to study
5.431,141.269,but couldn't back then but he also had,but couldn't back then but he also had
5.13,143.939,so much struggle getting this call doing,so much struggle getting this call doing
3.78,146.7,the Masters in doing the course because,the Masters in doing the course because
3.48,149.069,I didn't have any background in,I didn't have any background in
3.81,150.48,psychology before so what program did,psychology before so what program did
7.02,152.549,you study here so I did social,you study here so I did social
7.02,154.29,psychology here yes I did that in,psychology here yes I did that in
3.931,159.569,Northern Iowa there were still very,Northern Iowa there were still very
5.429,161.31,small University but luckily it was,small University but luckily it was
4.799,163.5,small and non distractive like I don't,small and non distractive like I don't
3.36,166.739,think I can ever ever able to study in,think I can ever ever able to study in
4.86,168.299,New York City right it's like that thing,New York City right it's like that thing
4.89,170.099,to do but you have to study it's not,to do but you have to study it's not
4.23,173.159,like I was very studious but I did my,like I was very studious but I did my
4.47,174.989,whatever I could but then I felt like,whatever I could but then I felt like
5.761,177.389,the whole like the community was such a,the whole like the community was such a
6.06,179.459,perfect ambience for studying so I,perfect ambience for studying so I
4.589,183.15,really enjoyed that and then because it,really enjoyed that and then because it
4.59,185.519,was a small school our size was really,was a small school our size was really
5.521,187.739,small that made me more accountable to,small that made me more accountable to
5.91,190.109,were studying more connected me more,were studying more connected me more
5.58,193.26,towards my classmates and my teachers so,towards my classmates and my teachers so
6.06,196.019,that everything kind of helped me and,that everything kind of helped me and
4.89,198.84,focused more towards realizing what I,focused more towards realizing what I
3.511,202.079,should be doing so it's like it's not,should be doing so it's like it's not
4.86,203.73,just not about studying but then when I,just not about studying but then when I
4.5,205.59,was deciding my thesis for example I,was deciding my thesis for example I
3.81,208.59,really wanted to do something which I,really wanted to do something which I
3.899,210.09,should be doing so I did my thesis on,should be doing so I did my thesis on
4.979,212.4,like pro-social behavior how to help,like pro-social behavior how to help
5.37,213.989,others so I I think yeah so all these,others so I I think yeah so all these
4.53,217.379,leaders so I learned lots of research,leaders so I learned lots of research
4.171,219.359,skills and they're also I worked as a,skills and they're also I worked as a
4.26,221.909,research assistantship and teaching,research assistantship and teaching
5.069,223.53,assistantship way I kind of faced like I,assistantship way I kind of faced like I
5.07,226.169,actually taught a class they're like,actually taught a class they're like
4.2,228.599,undergrad class and then I was helping,undergrad class and then I was helping
5.131,231.239,teacher design class,teacher design class
5.61,232.799,sorry lesson plans I graded you know,sorry lesson plans I graded you know
5.88,236.37,students assignments and everything so I,students assignments and everything so I
5.67,238.409,learned that and then once after,learned that and then once after
3.69,242.25,completing my Master's I went back to,completing my Master's I went back to
4.65,244.079,India and I came here again and started,India and I came here again and started
4.259,245.94,Asylum whole process again so it was,Asylum whole process again so it was
2.79,248.729,very difficult I couldn't do anything,very difficult I couldn't do anything
3.57,250.199,and I didn't know where to apply those,and I didn't know where to apply those
5.37,251.519,skills and being a differently abled,skills and being a differently abled
4.83,253.769,person I couldn't do any cash work you,person I couldn't do any cash work you
5.011,256.889,know I don't do do you like to explain,know I don't do do you like to explain
7.44,258.599,how you are differently abled so I got,how you are differently abled so I got
6.03,261.9,this problem with my limps my all whole,this problem with my limps my all whole
4.16,266.039,four limbs,four limbs
5.31,267.93,with something even doctor couldn't,with something even doctor couldn't
6.581,270.199,diagnose till today or confirm the,diagnose till today or confirm the
6.57,273.24,diagnosis till today it's like a very,diagnosis till today it's like a very
6.21,276.78,weakness a progressive weakness in my,weakness a progressive weakness in my
5.76,279.81,muscles in all four limbs so it has been,muscles in all four limbs so it has been
4.23,282.99,getting worse in the worse and worse so,getting worse in the worse and worse so
3.42,285.57,that's something which I have to,that's something which I have to
4.259,287.22,struggle with every day but I think,struggle with every day but I think
5.1,288.99,mental strength overpowers everything so,mental strength overpowers everything so
5.541,291.479,that's how I'm here so anyway so when I,that's how I'm here so anyway so when I
5.4,294.09,was talking about my journey through,was talking about my journey through
4.51,297.02,adapting myself here without any,adapting myself here without any
4.53,299.49,documents knowing I won't be able to,documents knowing I won't be able to
5.97,301.53,work I really looked for different,work I really looked for different
6.42,304.02,opportunities to keep myself busy I,opportunities to keep myself busy I
5.49,307.5,joined the Twitter where the document,joined the Twitter where the document
6.36,310.44,wasn't required so I did Twitter for,wasn't required so I did Twitter for
7.049,312.99,like few days you mean yes as a teacher,like few days you mean yes as a teacher
5.01,316.8,then luckily I got a teaching job in an,then luckily I got a teaching job in an
5.401,320.039,afternoon school program it's located in,afternoon school program it's located in
8.52,321.81,Queens so there I almost worked for like,Queens so there I almost worked for like
7.86,325.44,two years where I taught and I led,two years where I taught and I led
5.04,330.33,summer camps for children so I learned a,summer camps for children so I learned a
4.92,333.3,lot through there and then and I was,lot through there and then and I was
4.079,335.37,kind of also realizing like education is,kind of also realizing like education is
3.36,338.22,something which I always wanted me I,something which I always wanted me I
4.141,339.449,have this research skill then through,have this research skill then through
4.35,341.58,that I kind of realized like okay I,that I kind of realized like okay I
5.97,343.59,should be using all my research skills,should be using all my research skills
6.75,345.93,in education and luckily I got this,in education and luckily I got this
6.829,349.56,opportunity a call from this professor,opportunity a call from this professor
7.41,352.68,she was working in rec reading or,she was working in rec reading or
6.191,356.389,revamping the language curriculum for,revamping the language curriculum for
5.639,360.09,whole New York State curriculum for New,whole New York State curriculum for New
4.019,362.58,York State so I did send the resume me,York State so I did send the resume me
5.94,365.729,then,then
7.471,366.599,so she really liked it so I like just,so she really liked it so I like just
4.411,371.669,casually applied like because I didn't,casually applied like because I didn't
3.81,374.07,have any prior experience I was pretty,have any prior experience I was pretty
4.32,376.08,you know you always get scared you think,you know you always get scared you think
6.659,377.88,like you weren't so confident so I,like you weren't so confident so I
6.42,380.4,applied and then she really liked it and,applied and then she really liked it and
4.531,384.539,because I was a certified teacher,because I was a certified teacher
4.23,386.82,because I was teaching an afternoon,because I was teaching an afternoon
4.17,389.07,school program she thought I was a,school program she thought I was a
5.339,391.05,perfect combination of like educational,perfect combination of like educational
5.13,393.24,research so she called me for an,research so she called me for an
4.151,396.389,interview and then I mean there then she,interview and then I mean there then she
4.86,398.37,decided that she would take,decided that she would take
6.75,400.54,because she said my irezumi stood out,because she said my irezumi stood out
6.16,403.23,amongst all the applicants so she like,amongst all the applicants so she like
4.02,407.29,we didn't move in like one interview she,we didn't move in like one interview she
5.04,409.39,decided and then I worked with her for,decided and then I worked with her for
4.98,411.31,almost two years but that was like work,almost two years but that was like work
3.36,414.43,from home and it wasn't a full-time job,from home and it wasn't a full-time job
2.85,416.29,with a part-time job but I really,with a part-time job but I really
3.63,417.79,enjoyed it because something related to,enjoyed it because something related to
3.96,419.14,what I was doing and then I realized,what I was doing and then I realized
3.03,421.42,like how important that project was,like how important that project was
