Duration,Start,Automated,Manual
7.16,0.97,[Music],[Music]
8.699,3.81,oh hello everyone my name is Angelo song,oh hello everyone my name is Angelo song
6.839,8.13,I'm from Colombia and I'm a senior,I'm from Colombia and I'm a senior
6.811,12.509,fellow at Junior Achievement of New York,fellow at Junior Achievement of New York
7.261,14.969,and today I'm with Deepika and nurse the,and today I'm with Deepika and nurse the
4.14,19.32,podcast at the end of the day Sandra,podcast at the end of the day Sandra
3.78,22.23,thank you so much for being in our,thank you so much for being in our
7.14,23.46,podcast thank you thank you for having,podcast thank you thank you for having
7.17,26.01,me here so I I can't I,me here so I I can't I
4.86,30.6,I basically knew you through this recent,I basically knew you through this recent
5.28,33.18,moth storytelling sessions organized by,moth storytelling sessions organized by
5.16,35.46,new women new yorkers right and you were,new women new yorkers right and you were
4.259,38.46,terrific as a storyteller you talked,terrific as a storyteller you talked
4.05,40.62,about your initial days in the u.s. so,about your initial days in the u.s. so
4.261,42.719,that really motivated me and that made,that really motivated me and that made
4.619,44.67,me approach you for the podcast and now,me approach you for the podcast and now
5.789,46.98,today I would really love to both of us,today I would really love to both of us
4.8,49.289,are willing to learn about your journey,are willing to learn about your journey
4.2,52.769,in the u.s. you have been in the US for,in the u.s. you have been in the US for
4.23,54.089,two years 32 years yeah so if you could,two years 32 years yeah so if you could
3.721,56.969,if you could quickly walk through what,if you could quickly walk through what
5.91,58.319,was your first year like okay so,was your first year like okay so
6.51,60.69,everyone said like marriage is like I'm,everyone said like marriage is like I'm
6.14,64.229,the first year like the honeymoon so for,the first year like the honeymoon so for
5.79,67.2,me it wasn't actually it was so hard,me it wasn't actually it was so hard
5.14,70.369,especially in the beginning because I,especially in the beginning because I
7.1,72.99,like left like everything in my country,like left like everything in my country
9.21,75.509,like I left my friends my family my job,like I left my friends my family my job
9.22,80.09,but I came here with the love with my,but I came here with the love with my
6.69,84.719,husband and then I say like okay it like,husband and then I say like okay it like
7.43,89.31,happiness and love is like what I really,happiness and love is like what I really
8.85,91.409,want and but it was so hard so high like,want and but it was so hard so high like
7.449,96.74,what like waiting for like actually for,what like waiting for like actually for
8.0,100.259,my work pair me like like job and,my work pair me like like job and
7.231,104.189,obviously he had to like go to work,obviously he had to like go to work
5.591,108.259,bring the bacon home because we need to,bring the bacon home because we need to
5.909,111.42,eat but then he has been like many hours,eat but then he has been like many hours
6.6,113.85,at his job and it was like here by my,at his job and it was like here by my
7.65,117.329,all like I didn't speak the language,all like I didn't speak the language
6.57,120.45,very well I left like my job I didn't,very well I left like my job I didn't
4.2,124.979,have like anything like an activities,have like anything like an activities
4.98,127.02,and I wasn't like afraid of like it to,and I wasn't like afraid of like it to
5.821,129.179,go outside and see like how like people,go outside and see like how like people
4.16,132.0,behave so it was like kind of like hard,behave so it was like kind of like hard
4.93,135.0,but,but
6.87,136.16,I think of his like he encouraged me to,I think of his like he encouraged me to
6.76,139.93,answer you say like Sunday you have like,answer you say like Sunday you have like
6.15,143.03,everything like it skills like a good,everything like it skills like a good
5.7,146.69,charisma so you can do whatever you want,charisma so you can do whatever you want
6.51,149.18,and what were you doing back home in,and what were you doing back home in
7.17,152.39,Columbia so I was like a my last job was,Columbia so I was like a my last job was
9.06,155.69,an advisor for a government institution,an advisor for a government institution
8.25,159.56,that I provide houses to people who had,that I provide houses to people who had
7.08,164.75,like houses in Rick's like it mean in,like houses in Rick's like it mean in
6.36,167.81,area that are re allowed and they have,area that are re allowed and they have
5.4,171.83,just to like move to another like,just to like move to another like
6.24,174.17,resettle and because I'm a sociologist,resettle and because I'm a sociologist
7.14,177.23,so I helped them with veils all like,so I helped them with veils all like
6.72,180.41,social like process so like to,social like process so like to
6.2,184.37,understand first that like natural,understand first that like natural
