Duration,Start,Automated,Manual
5.88,2.75,hi my name is Archana Cockrell I am the,hi my name is Archana Cockrell I am the
5.49,5.84,CEO and owner at Lennox fire nails and,CEO and owner at Lennox fire nails and
4.44,8.63,today I'm here with a nose and Deepika,today I'm here with a nose and Deepika
3.72,11.33,at the end of the day podcast,at the end of the day podcast
3.42,13.07,Archana thank you so much for your time,Archana thank you so much for your time
3.54,15.05,and thank you so much for making it to,and thank you so much for making it to
4.289,16.49,our podcast my pleasure,our podcast my pleasure
5.37,18.59,very excited to be with you guys finally,very excited to be with you guys finally
14.131,20.779,it worked out so I was actually going to,it worked out so I was actually going to
12.81,23.96,ask how did you get in touch with yeah,ask how did you get in touch with yeah
3.81,34.91,one of the other right yeah I think I,one of the other right yeah I think I
4.11,36.77,found yeah because I was source for,found yeah because I was source for
4.38,38.72,hashtag see you you know has I came,hashtag see you you know has I came
8.67,40.88,again I I think I happen to you know,again I I think I happen to you know
8.37,43.1,bump into your great way to keep in,bump into your great way to keep in
4.2,49.55,touch to build connection with new,touch to build connection with new
3.96,51.47,people everyone right so the reason also,people everyone right so the reason also
4.29,53.75,night is here today in the podcast is to,night is here today in the podcast is to
4.53,55.43,walk us through through original your,walk us through through original your
5.67,58.04,professional growth in the US and right,professional growth in the US and right
5.67,59.96,now you are the CEO of Linux Linux paw,now you are the CEO of Linux Linux paw
3.93,63.71,and nails right that is correct,and nails right that is correct
6.33,65.63,yeah I'm really really willing to know,yeah I'm really really willing to know
7.35,67.64,what exactly you know got you into into,what exactly you know got you into into
5.52,71.96,this entrepreneurship well it's fairly a,this entrepreneurship well it's fairly a
5.97,74.99,new company so it hasn't been around for,new company so it hasn't been around for
5.7,77.48,a very long time we started in 2018 but,a very long time we started in 2018 but
3.84,80.96,it's been doing very well you know,it's been doing very well you know
5.04,83.18,everybody's happy all my customers are,everybody's happy all my customers are
5.46,84.8,happy it's growing I'm happy with it but,happy it's growing I'm happy with it but
6.9,88.22,the whole thing with the business idea,the whole thing with the business idea
8.039,90.26,came back in 2013 where I still have my,came back in 2013 where I still have my
5.64,95.12,but I still had my full-time job I was,but I still had my full-time job I was
6.331,98.299,working for Time Warner at that time and,working for Time Warner at that time and
5.969,100.76,a friend of mine introduced me to,a friend of mine introduced me to
4.5,104.63,somebody who were about to start their,somebody who were about to start their
4.561,106.729,spa on their own and they were looking,spa on their own and they were looking
5.31,109.13,for investors you know like I could be,for investors you know like I could be
5.22,111.29,of their help financially and then so I,of their help financially and then so I
4.62,114.44,you know saw them from the beginning how,you know saw them from the beginning how
4.89,116.51,well it did and you know the potential,well it did and you know the potential
5.46,119.06,in the beauty industry and you know so I,in the beauty industry and you know so I
6.66,121.4,was looking at it firsthand and then in,was looking at it firsthand and then in
5.459,124.52,2000 and so you know so that got me I,2000 and so you know so that got me I
4.5,128.06,was already working for a business right,was already working for a business right
5.251,129.979,so I kind of was in the realm of,so I kind of was in the realm of
3.88,132.56,business although I came from science,business although I came from science
3.91,135.23,background that's the difference,background that's the difference
5.88,136.44,that was a transition for me also but,that was a transition for me also but
5.64,139.14,anyway to answer your question so it all,anyway to answer your question so it all
5.19,142.32,started back in 2013 I saw it,started back in 2013 I saw it
4.8,144.78,doing wall and then you know then I,doing wall and then you know then I
4.71,147.51,wanted to have my own like you know I,wanted to have my own like you know I
4.92,149.58,thought maybe through this I can get my,thought maybe through this I can get my
5.64,152.22,foot into the door like in the business,foot into the door like in the business
5.61,154.5,realm of my own do it on my own terms,realm of my own do it on my own terms
4.53,157.86,because I was tired kind of tired with,because I was tired kind of tired with
4.23,160.11,my nine-to-five job didn't want to be,my nine-to-five job didn't want to be
4.44,162.39,chained to a table and it's your hair,chained to a table and it's your hair
