Duration,Start,Automated,Manual
6.31,2.57,hi everyone my name is art panera I'm a,hi everyone my name is art panera I'm a
5.251,5.339,Qi I am for the lack of better words I'm,Qi I am for the lack of better words I'm
4.11,8.88,an artist living and working in New York,an artist living and working in New York
2.94,10.59,City I was born and raised in Kathmandu,City I was born and raised in Kathmandu
3.42,12.99,Nepal,Nepal
6.62,13.53,I lived there all my life up until I was,I lived there all my life up until I was
8.22,16.41,24 ish and I came to New York to pursue,24 ish and I came to New York to pursue
6.19,20.15,my dream of going to an art school after,my dream of going to an art school after
3.96,24.63,having done that I'm currently living,having done that I'm currently living
4.58,26.34,and working in New York right now and I,and working in New York right now and I
5.76,28.59,am a jewelry designer,am a jewelry designer
6.639,30.92,amongst other things and currently I'm,amongst other things and currently I'm
5.459,34.35,studying acting and I am very very happy,studying acting and I am very very happy
3.84,37.559,to be here today with honors and Deepika,to be here today with honors and Deepika
3.871,39.809,in the podcast at the end of the day,in the podcast at the end of the day
4.831,41.399,thank you so much Alfred ah oh my gosh I,thank you so much Alfred ah oh my gosh I
5.25,43.68,am so happy to be here you are an artist,am so happy to be here you are an artist
6.239,46.23,you are a jewelry designer yes you are a,you are a jewelry designer yes you are a
5.34,48.93,model and you just let us know that you,model and you just let us know that you
4.351,52.469,are also into acting yes,are also into acting yes
6.42,54.27,what made you decide and think about,what made you decide and think about
6.75,56.82,acting so ever since I was really really,acting so ever since I was really really
4.499,60.69,young people would before even asked me,young people would before even asked me
3.51,63.57,my name they would ask me if I was going,my name they would ask me if I was going
4.47,65.189,to be an actor when I grow up just like,to be an actor when I grow up just like
5.91,67.08,my mother so I grew up in a household my,my mother so I grew up in a household my
5.941,69.659,my mom was an actor who did theatre she,my mom was an actor who did theatre she
5.07,72.99,also did radio predominantly film and,also did radio predominantly film and
4.23,75.6,television and so I grew up around it,television and so I grew up around it
3.93,78.06,and I think you know I mean I I don't,and I think you know I mean I I don't
4.41,79.83,really know what I come across as to,really know what I come across as to
3.809,81.99,people but maybe people saw that I could,people but maybe people saw that I could
4.14,84.24,ask them when I was really young I,ask them when I was really young I
4.53,85.799,decide I would tell people that I wanted,decide I would tell people that I wanted
4.26,88.38,to do something on my own like music or,to do something on my own like music or
4.86,90.329,art because I think when you have a,art because I think when you have a
5.01,92.64,mother like mine who was really really,mother like mine who was really really
7.561,95.189,prolific in what she did we would like,prolific in what she did we would like
7.44,97.65,to my mom's name is Susheela I imagine,to my mom's name is Susheela I imagine
4.5,102.75,and you know she was one of the first,and you know she was one of the first
4.559,105.09,one of the sort of like one of the first,one of the sort of like one of the first
4.14,107.25,female actors not the first one to break,female actors not the first one to break
4.351,109.649,into the industry and sort of like set a,into the industry and sort of like set a
5.339,111.39,standard for women to come into the,standard for women to come into the
4.439,114.0,industry so I grew up around that she,industry so I grew up around that she
3.901,116.729,was really really good at what she did,was really really good at what she did
4.921,118.439,she was really fantastic but you know,she was really fantastic but you know
4.379,120.63,it's you feel this you feel that you're,it's you feel this you feel that you're
3.84,123.36,going to be compared to your mother you,going to be compared to your mother you
3.84,125.009,or you're going to be disappointing her,or you're going to be disappointing her
4.02,127.2,because you're just not as good enough,because you're just not as good enough
3.671,128.849,it was too much pressure for me plus,it was too much pressure for me plus
3.67,131.22,when you're a kid you want to find,when you're a kid you want to find
4.95,132.52,identity so I decided to like venture,identity so I decided to like venture
5.55,134.89,out into everything that I did I studied,out into everything that I did I studied
5.01,137.47,music for three years I I went to school,music for three years I I went to school
3.6,140.44,art school for four years I'm doing,art school for four years I'm doing
4.11,142.48,jewelry now and I'm in fashion and I'm,jewelry now and I'm in fashion and I'm
4.62,144.04,in modeling but everything that I did in,in modeling but everything that I did in
3.6,146.59,my life was always trying to put me in,my life was always trying to put me in
3.0,148.66,front of the camera right like when I,front of the camera right like when I
3.36,150.19,started making jewelry professionally I,started making jewelry professionally I
3.84,151.66,did not really see myself as a face I,did not really see myself as a face I
5.1,153.55,was going to be more like behind the,was going to be more like behind the
4.77,155.5,scenes creative which a role that I,scenes creative which a role that I
2.7,158.65,still really enjoy because you get to do,still really enjoy because you get to do
2.73,160.27,everything but you don't really,everything but you don't really
1.92,161.35,necessarily have all the eyes on you,necessarily have all the eyes on you
3.27,163.0,right,right
5.01,163.27,but jewelry started getting me modeling,but jewelry started getting me modeling
3.93,166.27,jobs and I started taking them I just,jobs and I started taking them I just
4.95,168.28,kept being in front of the camera and,kept being in front of the camera and
5.46,170.2,then was that your plan I mean in the,then was that your plan I mean in the
4.53,173.23,camera and now we have to mention this I,camera and now we have to mention this I
5.54,175.66,get deeper into the conversation yeah it,get deeper into the conversation yeah it
6.66,177.76,is so strange and it's like it's really,is so strange and it's like it's really
4.81,181.2,unbelievable to me personally a lot,unbelievable to me personally a lot
4.56,184.42,would agree a lot of people would agree,would agree a lot of people would agree
5.88,186.01,with me because you add such and such a,with me because you add such and such a
5.01,188.98,young age you have been covered in very,young age you have been covered in very
5.4,191.89,renowned publications including the New,renowned publications including the New
5.67,193.99,York Times vogue yeah and and you have,York Times vogue yeah and and you have
7.7,197.29,made it to the Victoria's Secret your,made it to the Victoria's Secret your
8.31,199.66,designs have been have been worn by nice,designs have been have been worn by nice
4.3,204.99,celebrities celebrities right it's,celebrities celebrities right it's
4.23,207.97,amazing,amazing
7.62,209.29,it's it's it's pretty amazing to me too,it's it's it's pretty amazing to me too
6.27,212.2,I yeah it's pretty incredible some of it,I yeah it's pretty incredible some of it
4.53,216.91,I still can't like wrap my head around,I still can't like wrap my head around
5.85,218.47,it you know it it just happened and I'm,it you know it it just happened and I'm
5.91,221.44,like wow there's a lot going on and the,like wow there's a lot going on and the
6.389,224.32,thing is if I don't I think everybody,thing is if I don't I think everybody
5.28,227.35,the idea of success or the idea of,the idea of success or the idea of
5.551,230.709,growth keeps changing and it keeps,growth keeps changing and it keeps
5.82,232.63,getting bigger so you know two years ago,getting bigger so you know two years ago
3.81,236.26,I started finding myself in the midst of,I started finding myself in the midst of
3.3,238.45,like everybody talking about my work,like everybody talking about my work
4.44,240.07,especially in New York and I think,especially in New York and I think
4.32,241.75,that's where majority of my audience,that's where majority of my audience
