Duration,Start,Automated,Manual
7.32,0.93,[Music],[Music]
5.91,5.33,hello everyone welcome to our podcast,hello everyone welcome to our podcast
5.67,8.25,and my name is Svetlana chica nama I'm,and my name is Svetlana chica nama I'm
6.52,11.24,immigrant from Russia I came to United,immigrant from Russia I came to United
5.369,13.92,States in 2014 and I was a student in,States in 2014 and I was a student in
4.109,17.76,Columbia University's School of,Columbia University's School of
5.961,19.289,Professional Studies in enterprise risk,Professional Studies in enterprise risk
6.841,21.869,management program so I graduated in,management program so I graduated in
5.71,25.25,2018 I'm here with Deepika and honors,2018 I'm here with Deepika and honors
4.67,28.71,that was such a wonderful opening to our,that was such a wonderful opening to our
5.279,30.96,forecast today you for inviting us to,forecast today you for inviting us to
4.87,33.38,this beautiful compound in the college,this beautiful compound in the college
4.831,36.239,area of Columbia University you,area of Columbia University you
5.01,38.25,graduated in the program called,graduated in the program called
3.93,41.07,enterprise risk management risk,enterprise risk management risk
4.44,43.26,management program is for individuals,management program is for individuals
5.219,45.0,first of all who want to extend their,first of all who want to extend their
5.429,47.7,career in enterprise risk management and,career in enterprise risk management and
5.131,50.219,enterprise risk management design,enterprise risk management design
4.59,53.129,special for the non organic nonprofit,special for the non organic nonprofit
5.36,55.35,organization and profit organization who,organization and profit organization who
6.031,57.719,assess their risk future risk like,assess their risk future risk like
4.93,60.71,strategies can surance risk it could be,strategies can surance risk it could be
3.42,63.75,a financial ease what could happen in,a financial ease what could happen in
3.33,65.64,the future of this company in today's,the future of this company in today's
4.59,67.17,podcast and we're gonna be talking about,podcast and we're gonna be talking about
6.03,68.97,how you got yourself into Columbia what,how you got yourself into Columbia what
6.12,71.76,exactly encouraged you I remember first,exactly encouraged you I remember first
7.08,75.0,I when I started my job search process,I when I started my job search process
6.599,77.88,so I came to my adviser and so I applied,so I came to my adviser and so I applied
5.28,82.08,for one job in banking area and asked,for one job in banking area and asked
5.64,84.479,her so what is my chance to get this job,her so what is my chance to get this job
4.77,87.36,she said well I work with other students,she said well I work with other students
5.311,90.119,and other applicants and they were also,and other applicants and they were also
5.58,92.13,three there are five hundred people who,three there are five hundred people who
5.369,95.43,applied for this job and I was so,applied for this job and I was so
6.42,97.71,surprised as I wanna see the resume how,surprised as I wanna see the resume how
5.911,100.799,it looks like so the show she shows me a,it looks like so the show she shows me a
5.18,104.13,resume and I was so surprised that I was,resume and I was so surprised that I was
7.35,106.71,so upset because the applicants was a,so upset because the applicants was a
7.059,109.31,the degree was like a pervert yellow,the degree was like a pervert yellow
4.8,114.06,University Columbia needs to invite you,University Columbia needs to invite you
4.89,116.369,and so I am really out of this,and so I am really out of this
4.92,118.86,competition it's not real and then I,competition it's not real and then I
5.311,121.259,started to my research what is the best,started to my research what is the best
5.039,123.78,idea to be more competitive from this,idea to be more competitive from this
4.469,126.57,highly competitive market when you say,highly competitive market when you say
3.321,128.819,you spoke to your advisor which advisor,you spoke to your advisor which advisor
3.591,131.039,was that back,was that back
5.069,132.14,country are here no she was here it's a,country are here no she was here it's a
5.55,134.63,special organization cool help students,special organization cool help students
5.221,137.209,immigrants to find the donut students,immigrants to find the donut students
3.66,140.18,for everyone to find a job so then tell,for everyone to find a job so then tell
3.3,142.43,us what happened how did you progress,us what happened how did you progress
3.96,143.84,ahead in order to get into Columbia,ahead in order to get into Columbia
5.03,145.73,University when I first attend to,University when I first attend to
4.2,147.8,Columbia ESL classes it was in October,Columbia ESL classes it was in October
3.91,150.76,2014,2014
5.63,152.0,so ESL is English as second language,so ESL is English as second language
6.81,154.67,classes right it's a part of the,classes right it's a part of the
6.88,157.63,community Columbia in community okay so,community Columbia in community okay so
