Duration,Start,Automated,Manual
4.75,2.83,hi guys welcome to yet another episode,hi guys welcome to yet another episode
4.44,5.39,of our podcast at the end of the day,of our podcast at the end of the day
4.14,7.58,through the podcast we aim to guide and,through the podcast we aim to guide and
3.66,9.83,recently arriving immigrants in the,recently arriving immigrants in the
4.2,11.72,United States and we bring you new,United States and we bring you new
5.129,13.49,episode every Sunday and this is me,episode every Sunday and this is me
5.099,15.92,Deepika and this is me a new stopper and,Deepika and this is me a new stopper and
4.56,18.619,we are right now at awkwardly Global's,we are right now at awkwardly Global's
3.75,21.019,office in Manhattan and to tell you,office in Manhattan and to tell you
4.291,23.179,briefly about awkwardly global is a,briefly about awkwardly global is a
4.89,24.769,nonprofit organization which helps the,nonprofit organization which helps the
4.8,27.47,newly arriving immigrants like us to,newly arriving immigrants like us to
6.811,29.659,pursue professional career in the US and,pursue professional career in the US and
6.54,32.27,we test today is mr. Hamid Khan so,we test today is mr. Hamid Khan so
4.14,36.47,welcome I have a two hour podcast,welcome I have a two hour podcast
3.81,38.81,thank you so much guys and I'm really,thank you so much guys and I'm really
3.99,40.61,excited to share my experience with the,excited to share my experience with the
3.9,42.62,rest of the world when exactly did you,rest of the world when exactly did you
5.64,44.6,come to the u.s. so I came to United,come to the u.s. so I came to United
6.57,46.52,States back in 2017 so it's been almost,States back in 2017 so it's been almost
5.61,50.24,a year and a half okay hey Matt you are,a year and a half okay hey Matt you are
6.15,53.09,from Pakistan what are you doing right,from Pakistan what are you doing right
6.51,55.85,now I recently took up a new role at,now I recently took up a new role at
5.999,59.24,this huge company it's called reprise,this huge company it's called reprise
5.91,62.36,media and I'm working as the associate,media and I'm working as the associate
4.981,65.239,page social and looking at your resume,page social and looking at your resume
4.23,68.27,you come from a background of marketing,you come from a background of marketing
4.05,70.22,and research right yep that's so you,and research right yep that's so you
4.08,72.5,must be feeling so proud of yourself,must be feeling so proud of yourself
5.73,74.27,that you got you got a job in the sector,that you got you got a job in the sector
6.24,76.58,you wanted exactly to be honest with you,you wanted exactly to be honest with you
4.65,80.0,the journey has been really long until I,the journey has been really long until I
5.25,82.82,actually found out really global with,actually found out really global with
