Duration,Start,Automated,Manual
5.46,2.75,my name is Anita C Tran and I'm an,my name is Anita C Tran and I'm an
4.11,5.72,immigrant from Guyana my family has been,immigrant from Guyana my family has been
5.1,8.21,in this country for 30-something years,in this country for 30-something years
6.6,9.83,and they emigrated when I was 13 years,and they emigrated when I was 13 years
5.28,13.31,old I am currently the executive,old I am currently the executive
5.759,16.43,director of Chaya Community Development,director of Chaya Community Development
6.06,18.59,Corporation and today I am with Anuj and,Corporation and today I am with Anuj and
4.41,22.189,Deepika in the podcast at the end of the,Deepika in the podcast at the end of the
4.709,24.65,day Anita thank you so much for being in,day Anita thank you so much for being in
7.321,26.599,the podcast thank you for having me what,the podcast thank you for having me what
6.961,29.359,is what is your daily job like as as the,is what is your daily job like as as the
4.2,33.92,executive director at Chaya Community,executive director at Chaya Community
3.72,36.32,Development Corporation I have the,Development Corporation I have the
4.11,38.12,pleasure of running one of the most,pleasure of running one of the most
4.77,40.04,amazing organizations in New York City,amazing organizations in New York City
4.53,42.23,serving the South Asian community in the,serving the South Asian community in the
5.82,44.81,areas of housing and economic,areas of housing and economic
7.59,46.76,empowerment our mission is to build,empowerment our mission is to build
6.54,50.63,power economic empowerment economic,power economic empowerment economic
5.16,54.35,well-being and housing stability for the,well-being and housing stability for the
6.9,57.17,low to moderate income South Asian,low to moderate income South Asian
7.14,59.51,community and I'm very lucky to to be,community and I'm very lucky to to be
8.19,64.07,leading this organization yeah and for,leading this organization yeah and for
9.69,66.65,me it is it's truly a labor of love so I,me it is it's truly a labor of love so I
6.51,72.26,grew up in a New York City where there,grew up in a New York City where there
4.83,76.34,were very few South Asians okay if you,were very few South Asians okay if you
5.61,78.77,saw somebody who looked vaguely like me,saw somebody who looked vaguely like me
5.73,81.17,across the street you would make a quick,across the street you would make a quick
5.91,84.38,beeline to them and be like who are you,beeline to them and be like who are you
8.31,86.9,by my last my long-lost you know brother,by my last my long-lost you know brother
7.38,90.29,or sister but yeah so they were you know,or sister but yeah so they were you know
4.199,95.21,I mean it was socially isolating right,I mean it was socially isolating right
4.02,97.67,right and you know I come from very,right and you know I come from very
7.441,99.409,traditional family so I'm like I mean,traditional family so I'm like I mean
