Duration,Start,Automated,Manual
5.28,2.73,hi guys welcome to yet another episode,hi guys welcome to yet another episode
4.74,5.279,of our podcast at the end of the day in,of our podcast at the end of the day in
4.86,8.01,today's episode we have a guest with us,today's episode we have a guest with us
5.37,10.019,her name is Amira welcome Amira,her name is Amira welcome Amira
5.19,12.87,thank you myself is Deepika and myself,thank you myself is Deepika and myself
5.641,15.389,am a new stopper in liras full name is,am a new stopper in liras full name is
4.83,18.06,Indira Latifah and she is from,Indira Latifah and she is from
4.98,21.03,Uzbekistan it's very interesting that,Uzbekistan it's very interesting that
5.04,22.89,Indira you have a PhD in pedagogy and,Indira you have a PhD in pedagogy and
2.43,26.01,your specialization was teaching of,your specialization was teaching of
2.97,27.93,maths,maths
5.459,28.44,yes indeed I taught as a professor in,yes indeed I taught as a professor in
5.4,30.9,the Nizam ITA's Kent State University it,the Nizam ITA's Kent State University it
6.241,33.899,was Pakistan for 12 years 12 years,was Pakistan for 12 years 12 years
7.68,36.3,that's a long whoa indeed migrated to,that's a long whoa indeed migrated to
6.96,40.14,America in June 2014 four years ago yes,America in June 2014 four years ago yes
4.65,43.98,so Indira let's begin with what you have,so Indira let's begin with what you have
4.229,47.1,been doing these days so I'm working,been doing these days so I'm working
5.22,48.63,with the people special needs I work as,with the people special needs I work as
5.371,51.329,an activity specialist I take people out,an activity specialist I take people out
6.42,53.85,so on today's podcast we're gonna be,so on today's podcast we're gonna be
6.09,56.7,talking about how to get rid of her,talking about how to get rid of her
4.8,60.27,nervousness in a new place as a new,nervousness in a new place as a new
5.34,62.79,immigrant what was your biggest concern,immigrant what was your biggest concern
5.939,65.07,I think it was nervousness because when,I think it was nervousness because when
6.809,68.13,they came here first I had of course,they came here first I had of course
7.081,71.009,like you like us in any anyone I had the,like you like us in any anyone I had the
5.97,74.939,big huge plans so of my dreams you know,big huge plans so of my dreams you know
4.919,78.09,and I didn't know from where to start,and I didn't know from where to start
6.901,80.909,I wanted to continue with educational,I wanted to continue with educational
9.0,83.009,system so but what I did I started doing,system so but what I did I started doing
6.869,87.81,some steps now I just took a paper and I,some steps now I just took a paper and I
6.481,92.009,wrote what I can do for everyday you,wrote what I can do for everyday you
5.521,94.679,know like at least yes so it's you know,know like at least yes so it's you know
5.549,98.49,sometimes you think it's a small thing,sometimes you think it's a small thing
5.64,100.2,but so it's very helpful because if you,but so it's very helpful because if you
3.841,104.039,have these notes I still have this know,have these notes I still have this know
5.069,105.84,somewhere you know so it's very,somewhere you know so it's very
5.729,107.88,important when you knew when you are,important when you knew when you are
5.401,110.909,like you feel like you lost when you can,like you feel like you lost when you can
3.57,113.609,write even small thing you did today you,write even small thing you did today you
3.57,116.31,know I don't know,know I don't know
5.04,117.179,I cooked food today for me it was very,I cooked food today for me it was very
5.759,119.88,important if I it's a new city for me,important if I it's a new city for me
5.731,122.219,new place and what I try to do to go to,new place and what I try to do to go to
4.62,125.639,visit some places for example Central,visit some places for example Central
5.039,127.95,Park or I don't know maybe using song I,Park or I don't know maybe using song I
4.23,130.259,started doing by myself I put it to my,started doing by myself I put it to my
3.33,132.989,place how many activities would you,place how many activities would you
4.771,134.489,normally have in that pocket list,normally have in that pocket list
4.59,136.319,every day maybe seven maybe five so it,every day maybe seven maybe five so it
2.569,139.26,could be even three you know it doesn't,could be even three you know it doesn't
3.931,140.909,matter,matter
3.851,141.829,the main thing how you feel when you did,the main thing how you feel when you did
4.739,144.84,it okay,it okay
6.899,145.68,yes and also I think the ritual sinks,yes and also I think the ritual sinks
3.601,149.579,helpful too for example if you enjoy I,helpful too for example if you enjoy I
3.03,152.579,don't know,don't know
6.209,153.18,cup of coffee in the morning yes let's,cup of coffee in the morning yes let's
6.33,155.609,say or if you doing some exercises it's,say or if you doing some exercises it's
4.68,159.389,also helpful for you because it's very,also helpful for you because it's very
3.961,161.939,important how you start today you,important how you start today you
3.631,164.069,enjoyed that you know you are in a,enjoyed that you know you are in a
6.72,165.9,different like I don't know feeling,different like I don't know feeling
8.099,167.7,woods so you you create your day I mean,woods so you you create your day I mean
6.299,172.62,you know as you look back at the list of,you know as you look back at the list of
5.25,175.799,activities how did those activities help,activities how did those activities help
4.921,178.919,you overcome your nervousness it's,you overcome your nervousness it's
5.821,181.049,helped me because I did I had some,helped me because I did I had some
5.789,183.84,accomplishments yes and so I did three,accomplishments yes and so I did three
5.399,186.87,so I was busy not just busy not be,so I was busy not just busy not be
5.94,189.629,something I knew what I am doing I mean,something I knew what I am doing I mean
5.761,192.269,it was all about me what I want to do,it was all about me what I want to do
4.53,195.569,but because you know I live different,but because you know I live different
4.679,198.03,kinds of people when you come here so,kinds of people when you come here so
5.1,200.099,you try to talk to people yes but so you,you try to talk to people yes but so you
5.31,202.709,need to remember that everyone everybody,need to remember that everyone everybody
5.01,205.199,who comes here they have yes it's very,who comes here they have yes it's very
4.351,208.019,helpful you talk to them you know,helpful you talk to them you know
5.37,210.209,information just you need to remember,information just you need to remember
5.729,212.37,everybody has their own experience and,everybody has their own experience and
5.91,215.579,you got your own goals your own dreams,you got your own goals your own dreams
5.67,218.099,and I mean sometimes it can be,and I mean sometimes it can be
5.731,221.489,distracted you know for yourself when,distracted you know for yourself when
6.21,223.769,you when you listen yes you like you,you when you listen yes you like you
4.979,227.22,understand they did it it's a way but,understand they did it it's a way but
5.671,229.979,still going to find your own way you,still going to find your own way you
6.96,232.199,need like first understand what you want,need like first understand what you want
5.64,235.65,how can you do it and like I don't know,how can you do it and like I don't know
5.01,239.159,so how you feel in it you know it's very,so how you feel in it you know it's very
5.25,241.29,important how you feel it's really,important how you feel it's really
4.65,244.169,different when someone feels like he's,different when someone feels like he's
5.64,246.54,nervous yes he has nervousness,nervous yes he has nervousness
6.45,248.819,once he feels just comfortable and like,once he feels just comfortable and like
5.489,252.18,comfortable it's very important and just,comfortable it's very important and just
5.31,255.269,don't forget that discomfort about your,don't forget that discomfort about your
4.981,257.669,feeling yes don't just pay in this,feeling yes don't just pay in this
3.84,260.579,comfortable right anyway you need to,comfortable right anyway you need to
4.56,262.65,move on you're like you know come out of,move on you're like you know come out of
6.291,264.419,people yes to be comfortable you are,people yes to be comfortable you are
6.09,267.21,here today and like you understand like,here today and like you understand like
4.299,270.71,what are you going to do tomorrow like,what are you going to do tomorrow like
5.79,273.3,you know because we are living like,you know because we are living like
7.261,275.009,today so and also you know what I told,today so and also you know what I told
5.19,279.09,myself for like to be much nervous and,myself for like to be much nervous and
5.1,282.27,everything so I just,everything so I just
5.55,284.28,every time I remind myself like to enjoy,every time I remind myself like to enjoy
6.15,287.37,every moment because you know it's like,every moment because you know it's like
6.6,289.83,new life in a new country so I try to,new life in a new country so I try to
5.07,293.52,tell myself just find even small things,tell myself just find even small things
