Duration,Start,Automated,Manual
4.68,2.7,hi guys welcome to yet another episode,hi guys welcome to yet another episode
4.23,4.95,of our weekly podcast at the end of the,of our weekly podcast at the end of the
4.35,7.38,day a guide to the recently arriving,day a guide to the recently arriving
5.58,9.18,immigrants in the US and we bring you,immigrants in the US and we bring you
6.119,11.73,new episode every Sunday and with us,new episode every Sunday and with us
5.7,14.76,today well myself is the biggest roster,today well myself is the biggest roster
6.031,17.849,and I am honest Appa and with us today,and I am honest Appa and with us today
5.34,20.46,is mr. cool Sigma Gautam he is the,is mr. cool Sigma Gautam he is the
3.75,23.88,former Assistant Secretary General of,former Assistant Secretary General of
5.069,25.8,the United Nations and the deputy,the United Nations and the deputy
6.569,27.63,executive director of UNICEF welcome to,executive director of UNICEF welcome to
5.61,30.869,our podcast mr. Gautam thank you,our podcast mr. Gautam thank you
3.811,34.199,delighted to be with you it is such an,delighted to be with you it is such an
3.86,36.479,honor to have a distinguished,honor to have a distinguished
5.13,38.01,personality like you in our podcast and,personality like you in our podcast and
5.951,40.339,so in today's podcast we will be talking,so in today's podcast we will be talking
4.89,43.14,about making an exemplary career in the,about making an exemplary career in the
4.08,46.29,sector of international development and,sector of international development and
4.349,48.03,international affairs and we have to,international affairs and we have to
4.92,50.37,mention that you just launched your,mention that you just launched your
5.131,52.379,memoir yep global citizen from Google me,memoir yep global citizen from Google me
3.839,55.29,okay it was launched on September 5 in,okay it was launched on September 5 in
5.219,57.51,New York and I would like to begin with,New York and I would like to begin with
6.541,59.129,this quote by the President of Nepal,this quote by the President of Nepal
5.731,62.729,with their Devi Bhandari about your book,with their Devi Bhandari about your book
5.189,65.67,she says I would commend this book,she says I would commend this book
5.399,68.46,especially to the younger generation of,especially to the younger generation of
5.671,70.859,Nepalese who are determined to build a,Nepalese who are determined to build a
6.061,73.859,bright future for themselves and for,bright future for themselves and for
6.089,76.53,Nepal and aspire to compete and Excel in,Nepal and aspire to compete and Excel in
5.64,79.92,the international arena yeah what a,the international arena yeah what a
5.551,82.619,comment okay I'm still at them so you,comment okay I'm still at them so you
6.599,85.56,have a person who has gone way too ahead,have a person who has gone way too ahead
5.939,88.17,from a common ground and stood out so,from a common ground and stood out so
4.95,92.159,tell us like what makes you so,tell us like what makes you so
5.341,94.109,distinctive well I would say I'm a,distinctive well I would say I'm a
4.381,97.109,simple person I'm an ordinary person I,simple person I'm an ordinary person I
4.949,99.45,came from up in the mountains like some,came from up in the mountains like some
5.46,101.49,of you also did so my beginnings are,of you also did so my beginnings are
4.32,104.399,very humble nothing special nothing,very humble nothing special nothing
4.89,106.95,spectacular not coming from any,spectacular not coming from any
5.881,108.719,privileged background yet I think what,privileged background yet I think what
5.879,111.84,happened to me it was from my childhood,happened to me it was from my childhood
6.899,114.6,I had tremendous inspiration from my,I had tremendous inspiration from my
6.72,117.719,grandparent grandfather particularly who,grandparent grandfather particularly who
6.39,121.499,wanted me to be a an educated pundit,wanted me to be a an educated pundit
6.151,124.439,coming from the from the village because,coming from the from the village because
4.951,127.889,I was born after a lot of sacrifice by,I was born after a lot of sacrifice by
5.009,130.59,my parents and grandparents my,my parents and grandparents my
4.42,132.84,grandfather had four wives in those day,grandfather had four wives in those day
4.741,135.599,that was,that was
5.78,137.26,[Laughter],[Laughter]
3.66,140.34,he married so many times because he,he married so many times because he
3.419,143.04,wanted a son,wanted a son
5.519,144.0,he had many daughters from several wives,he had many daughters from several wives
6.15,146.459,so but it took a long time for him to,so but it took a long time for him to
5.401,149.519,have a son and then when he was born,have a son and then when he was born
4.35,152.609,there was a desire that another son,there was a desire that another son
4.289,154.92,would be born remember in our society it,would be born remember in our society it
4.801,156.959,was a very patrilineal patriarchal,was a very patrilineal patriarchal
5.37,159.209,society in those days but once I was,society in those days but once I was
4.319,161.76,born the wish of my parents was this,born the wish of my parents was this
3.841,164.579,should not be an ordinary child we,should not be an ordinary child we
3.72,166.079,should educate him at a time when in the,should educate him at a time when in the
3.659,168.42,village there were no schools,village there were no schools
5.041,169.799,hardly anybody was educated in my,hardly anybody was educated in my
5.461,172.079,village I would say 100 percent of women,village I would say 100 percent of women
5.069,174.84,were illiterate including my mother and,were illiterate including my mother and
3.96,177.54,my father was semi-literate but they,my father was semi-literate but they
4.381,179.909,wanted they saw the value of education,wanted they saw the value of education
4.859,181.5,and they instilled in me so I think that,and they instilled in me so I think that
5.46,184.29,was one the other is I think my own,was one the other is I think my own
7.8,186.359,character being a determined person to,character being a determined person to
6.689,189.75,pursue and to excel mr. Gotham you come,pursue and to excel mr. Gotham you come
5.461,194.159,forward as a very confident person but,forward as a very confident person but
5.16,196.439,not everyone is as outspoken and,not everyone is as outspoken and
3.81,199.62,confident about themselves especially in,confident about themselves especially in
3.871,201.599,the earlier phase of their career and,the earlier phase of their career and
3.75,203.43,especially when it comes to being a,especially when it comes to being a
3.989,205.47,global citizen and working in an,global citizen and working in an
4.769,207.18,international career how do you present,international career how do you present
4.68,209.459,yourself in a confident way well I think,yourself in a confident way well I think
5.43,211.949,part of my confidence comes from the,part of my confidence comes from the
6.121,214.139,fact that in my childhood I had to,fact that in my childhood I had to
4.561,217.379,struggle a lot right for example you,struggle a lot right for example you
4.379,220.26,know I came from an ordinary background,know I came from an ordinary background
5.129,221.94,but I did very well in my school and,but I did very well in my school and
4.02,224.639,then I got a scholarship for scholarship,then I got a scholarship for scholarship
3.991,227.069,to come to one of the most competitive,to come to one of the most competitive
4.08,228.659,colleges ireally colleges here in the US,colleges ireally colleges here in the US
4.319,231.06,and Dartmouth College with full,and Dartmouth College with full
5.58,232.739,scholarship but I could not get a,scholarship but I could not get a
5.04,235.379,passport from Nepal in those days,passport from Nepal in those days
4.35,238.319,getting a passport for the privilege for,getting a passport for the privilege for
4.831,240.419,the royal family or well-connected,the royal family or well-connected
4.32,242.669,businesspeople from Kathmandu not from a,businesspeople from Kathmandu not from a
4.019,245.25,little village boy who came who had,little village boy who came who had
4.981,246.989,nothing no connections at all so my,nothing no connections at all so my
5.821,249.269,request for a passport was denied all,request for a passport was denied all
5.489,251.97,the way from the foreign ministry up to,the way from the foreign ministry up to
5.04,255.09,the Secretary's The ministers it went up,the Secretary's The ministers it went up
5.46,257.459,to the king and was denied just more,to the king and was denied just more
5.039,260.13,common man yes most most people would,common man yes most most people would
4.74,262.919,have given up after the king there is no,have given up after the king there is no
4.781,265.169,higher authority you give up I'm not,higher authority you give up I'm not
4.421,267.659,going to give up because I,going to give up because I
4.46,269.95,thought I got this scholarship based on,thought I got this scholarship based on
5.46,272.08,my qualification my competence my,my qualification my competence my
5.35,274.41,capability and people with capability,capability and people with capability
5.67,277.54,should not be punished this was unfair,should not be punished this was unfair
6.3,279.76,so even after the king had denied I,so even after the king had denied I
5.96,283.21,found a way to get around and get my,found a way to get around and get my
5.91,286.06,passport two years later so I think that,passport two years later so I think that
5.02,289.17,determination or I could even get,determination or I could even get
4.32,291.97,something when the king denied it so I,something when the king denied it so I
2.61,294.19,can achieve things in the world don't,can achieve things in the world don't
2.22,296.29,give up,give up
4.08,296.8,be persistent I think that was my,be persistent I think that was my
4.11,298.51,characteristic for being successful and,characteristic for being successful and
3.81,300.88,mr. Gautam mentions about this,mr. Gautam mentions about this
5.04,302.62,elaborates this story in his book right,elaborates this story in his book right
5.07,304.69,yeah it is is like everybody is talking,yeah it is is like everybody is talking
4.56,307.66,about global citizen what makes a person,about global citizen what makes a person
6.81,309.76,of global citizen I think in open mind,of global citizen I think in open mind
7.41,312.22,and realization that in today's world we,and realization that in today's world we
5.97,316.57,are all interdependent no country is,are all interdependent no country is
