Duration,Start,Automated,Manual
4.92,2.68,hi guys welcome to yet another episode,hi guys welcome to yet another episode
4.65,5.319,of our weekly podcast at the end of the,of our weekly podcast at the end of the
4.199,7.6,day and as you know this podcast is a,day and as you know this podcast is a
4.08,9.969,guide for the recently arriving,guide for the recently arriving
5.371,11.799,immigrants in the US and we bring you,immigrants in the US and we bring you
5.13,14.049,new episode every Sunday so as always I,new episode every Sunday so as always I
4.199,17.17,am the picker Shrestha and I am a,am the picker Shrestha and I am a
2.821,19.179,newstapa and with us today we have a,newstapa and with us today we have a
3.541,21.369,guest,guest
6.56,22.0,Anil Jong sahi an al-qaida podcast,Anil Jong sahi an al-qaida podcast
6.869,24.91,what's up guys - good to have you here,what's up guys - good to have you here
5.53,28.56,thank you for having me here okay by the,thank you for having me here okay by the
4.501,31.779,way we are recording this podcast in the,way we are recording this podcast in the
3.96,34.09,studio of anchor app in Manhattan New,studio of anchor app in Manhattan New
8.01,36.28,York City so we are really thankful to,York City so we are really thankful to
8.82,38.05,you guys for letting us record this okay,you guys for letting us record this okay
5.31,44.29,to give you some information about who,to give you some information about who
5.28,46.87,our nail is Anil is from Nepal he came,our nail is Anil is from Nepal he came
5.43,49.6,to the United States in 1989 and now he,to the United States in 1989 and now he
5.07,52.15,is doing his graduate studies in human,is doing his graduate studies in human
4.41,55.03,rights and culture at CUNY Graduate,rights and culture at CUNY Graduate
5.73,57.22,Center with Anil we were talking about,Center with Anil we were talking about
6.21,59.44,how being flexible and being open can,how being flexible and being open can
5.01,62.95,help you at just in new culture and a,help you at just in new culture and a
4.14,65.65,new environment so Anil why exactly did,new environment so Anil why exactly did
4.8,67.96,you choose this topic when I first came,you choose this topic when I first came
5.97,69.79,here I had preconceived ideas about you,here I had preconceived ideas about you
5.25,72.76,know the worldview because I grew up in,know the worldview because I grew up in
5.28,75.76,an environment that was I must admit,an environment that was I must admit
7.34,78.01,kind of like a privilege I had this very,kind of like a privilege I had this very
8.07,81.04,narrow views on certain things in life,narrow views on certain things in life
6.94,85.35,in society and that's how I landed here,in society and that's how I landed here
5.88,89.11,within a few years I've been here for 30,within a few years I've been here for 30
5.189,92.29,years now I started learning you know,years now I started learning you know
5.25,94.99,what it's not gonna work that way,what it's not gonna work that way
5.961,97.479,okay you know and one thing I always,okay you know and one thing I always
6.239,100.24,tell everyone who comes here is that,tell everyone who comes here is that
8.23,103.44,despite all the problems that this,despite all the problems that this
7.771,106.479,country has like right now okay right if,country has like right now okay right if
6.84,111.67,you still I think in my opinion the most,you still I think in my opinion the most
7.229,114.25,diverse mm-hmm the most open and most,diverse mm-hmm the most open and most
5.609,118.51,democratic society it provides you that,democratic society it provides you that
6.481,121.479,kind of platform you know the openness,kind of platform you know the openness
7.07,124.119,platform and and if we can make the best,platform and and if we can make the best
6.059,127.96,use out of it and try to open ourselves,use out of it and try to open ourselves
4.871,131.189,continuing the conversation from what,continuing the conversation from what
4.08,134.019,you just said even today despite being,you just said even today despite being
4.53,136.06,doing these podcasts even today and I'm,doing these podcasts even today and I'm
4.681,138.099,trying my best to be flexible and be,trying my best to be flexible and be
4.08,140.59,open in New York City so that I can,open in New York City so that I can
3.99,142.78,mingle along with the diverse community,mingle along with the diverse community
4.14,144.67,of New York but then I always have this,of New York but then I always have this
3.87,146.77,preconceived notion about who that,preconceived notion about who that
3.66,148.81,person from that country is how that,person from that country is how that
4.23,150.64,person would be so how do we get over,person would be so how do we get over
4.769,152.47,this kind of fear oh one personal,this kind of fear oh one personal
5.58,154.87,example I can give you like I drove a,example I can give you like I drove a
6.571,157.239,yellow cab in New York City Oh quite a,yellow cab in New York City Oh quite a
5.28,160.45,few years right and you might probably,few years right and you might probably
5.19,163.81,know a lot of you know cabbies they try,know a lot of you know cabbies they try
5.069,165.73,to avoid black people it's been a major,to avoid black people it's been a major
3.15,169.0,complaint about mine are from the,complaint about mine are from the
2.97,170.799,minorities right you know they don't,minorities right you know they don't
4.86,172.15,pick them up that is because they have,pick them up that is because they have
7.621,173.769,this preconceived idea of who black,this preconceived idea of who black
6.509,177.01,people are right right and then whatever,people are right right and then whatever
5.49,181.39,all these negative ideas what who they,all these negative ideas what who they
5.401,183.519,are I used to be one of them - yeah at,are I used to be one of them - yeah at
4.889,186.88,first after I started realizing this,first after I started realizing this
5.76,188.92,idea of you know appreciating embracing,idea of you know appreciating embracing
5.131,191.769,the other and then it's not easy at,the other and then it's not easy at
4.77,194.68,first obviously you know you grew up,first obviously you know you grew up
5.58,196.9,with certain type of you know stereotype,with certain type of you know stereotype
4.77,199.45,about others yeah you spend all your,about others yeah you spend all your
5.28,202.48,life believing in something and it's not,life believing in something and it's not
5.81,204.22,easy to change but one thing you have to,easy to change but one thing you have to
5.759,207.76,constantly at least keep trying is,constantly at least keep trying is
6.1,210.03,empathy empathy is more like I put,empathy empathy is more like I put
6.271,213.519,myself in your shoes exactly right and,myself in your shoes exactly right and
6.12,216.13,then I try to feel see things from your,then I try to feel see things from your
6.81,219.79,angle from your point of view and then,angle from your point of view and then
7.5,222.25,what do I see yeah I maybe not 100% but,what do I see yeah I maybe not 100% but
6.359,226.6,I would at least see things from your,I would at least see things from your
5.639,229.75,perspective a little bit that's how I,perspective a little bit that's how I
5.191,232.959,started thinking about you know yellow,started thinking about you know yellow
