Duration,Start,Automated,Manual
6.42,2.75,hi I'm printing currently I live in San,hi I'm printing currently I live in San
9.56,6.41,Francisco I came to United assits,Francisco I came to United assits
10.38,9.17,in 2002 to study slim right now I'm,in 2002 to study slim right now I'm
6.969,15.97,working in Microsoft as a systems,working in Microsoft as a systems
6.18,19.55,engineer and as a hobby I also do music,engineer and as a hobby I also do music
7.35,22.939,videos and yeah I enjoy the life over,videos and yeah I enjoy the life over
8.42,25.73,here and thank you I lose and tipica for,here and thank you I lose and tipica for
7.771,30.289,giving me opportunity to share something,giving me opportunity to share something
7.06,34.15,about me in your podcast so Brian you,about me in your podcast so Brian you
5.82,38.06,said you came to the u.s. in 2002 and,said you came to the u.s. in 2002 and
5.91,41.21,right now your job is as a site,right now your job is as a site
5.97,43.88,reliability engineer well what do you,reliability engineer well what do you
4.38,47.12,exactly do it in this position so the,exactly do it in this position so the
4.58,49.85,site reliability engineer is nothing,site reliability engineer is nothing
6.36,51.5,like we uses the services this dislike,like we uses the services this dislike
5.8,54.43,when you use Facebook or anything like,when you use Facebook or anything like
5.16,57.86,the server is running the services so we,the server is running the services so we
4.859,60.23,need to make sure it works all the time,need to make sure it works all the time
4.98,63.02,so our job is like if there is a problem,so our job is like if there is a problem
5.041,65.089,we need to figure out what happened what,we need to figure out what happened what
5.28,68.0,is the root cause of the issue that that,is the root cause of the issue that that
5.31,70.13,is the mayor one of the main function we,is the mayor one of the main function we
4.19,73.28,do soap rain when you came to America in,do soap rain when you came to America in
4.92,75.44,2002 for the first time did you always,2002 for the first time did you always
6.28,77.47,want to enroll yourself in in this,want to enroll yourself in in this
8.7,80.36,career so I came here to study actually,career so I came here to study actually
9.57,83.75,fling but my brother give me suggestion,fling but my brother give me suggestion
5.46,89.06,right fling field is really hard it's,right fling field is really hard it's
5.22,93.32,very competitive,very competitive
6.38,94.52,so he's give me suggestion you can make,so he's give me suggestion you can make
4.5,98.54,a career as a computer engineer and,a career as a computer engineer and
6.07,100.9,later when you when you want you can,later when you when you want you can
5.88,103.04,always always studied so actually that,always always studied so actually that
4.05,106.97,that was a good suggestion from my,that was a good suggestion from my
5.879,108.92,brother and that's what I'm doing today,brother and that's what I'm doing today
6.99,111.02,so as a courier I am a computer side,so as a courier I am a computer side
6.241,114.799,reliability engineer but but I'm also,reliability engineer but but I'm also
5.789,118.01,continuing my passion like I I make,continuing my passion like I I make
4.619,121.04,music I also make music videos so it's,music I also make music videos so it's
3.421,123.799,it's fun so probably you just mentioned,it's fun so probably you just mentioned
3.27,125.659,your brother inspired you to get into,your brother inspired you to get into
5.4,127.22,this profession which you are right now,this profession which you are right now
5.611,128.929,so was it hard to you know let go your,so was it hard to you know let go your
2.94,132.62,profession in Nepal which was music,profession in Nepal which was music
4.05,134.54,because I,because I
5.91,135.56,have interesting both computer and also,have interesting both computer and also
9.149,138.59,in the music and video it was not that,in the music and video it was not that
9.18,141.47,hard and and since I have benefit of,hard and and since I have benefit of
6.451,147.739,having interesting computer years these,having interesting computer years these
6.3,150.65,days we have to use computer to likely,days we have to use computer to likely
6.18,154.19,as as a tool right to make a music to,as as a tool right to make a music to
5.25,156.95,make video so you have to have the,make video so you have to have the
4.89,160.37,artistic ability as well as what do you,artistic ability as well as what do you
5.97,162.2,you need a computer computer skills so,you need a computer computer skills so
5.43,165.26,actually it helped me like one thing,actually it helped me like one thing
4.56,168.17,help internal there you know so it did,help internal there you know so it did
4.41,170.69,since I have interesting but it was not,since I have interesting but it was not
4.83,172.73,that hard for me if you if you have to,that hard for me if you if you have to
6.51,175.1,take us back to those days in your first,take us back to those days in your first
6.09,177.56,year in the u.s. when okay let's say you,year in the u.s. when okay let's say you
4.08,181.61,decided you wanted to get into the,decided you wanted to get into the
5.04,183.65,computer engineering so how did you,computer engineering so how did you
6.06,185.69,begin your academic journey in computer,begin your academic journey in computer
4.92,188.69,engineering in the US I actually did,engineering in the US I actually did
5.76,191.75,only spend more time rather than taking,only spend more time rather than taking
6.65,193.61,classes because I when I was in I was in,classes because I when I was in I was in
5.58,197.51,tenth grade in the POW that was in 1998,tenth grade in the POW that was in 1998
5.05,200.26,all my friends used to go outside and,all my friends used to go outside and
5.67,203.09,the launch time I used to be in the,the launch time I used to be in the
5.01,205.31,class and just study the hub see it,class and just study the hub see it
4.88,208.76,programming computer programming so I,programming computer programming so I
7.169,210.32,was really interested since I was I was,was really interested since I was I was
7.27,213.64,kid so I already know how to do,kid so I already know how to do
6.691,217.489,programming so it wasn't that hard I I,programming so it wasn't that hard I I
5.52,220.91,don't have it was I didn't actually,don't have it was I didn't actually
4.619,224.18,spend a lot of time so I just have to do,spend a lot of time so I just have to do
3.959,226.43,the assignment right that's all since I,the assignment right that's all since I
3.961,228.799,already have that skill and I I was,already have that skill and I I was
6.301,230.389,interested and what helped to get a,interested and what helped to get a
8.87,232.76,break in the Microsoft here goes to my,break in the Microsoft here goes to my
7.769,236.69,friend I had a like a really good friend,friend I had a like a really good friend
5.85,241.63,since I was in Nepal actually we we,since I was in Nepal actually we we
