Duration,Start,Automated,Manual
4.62,2.77,hi guys welcome to yet another episode,hi guys welcome to yet another episode
4.83,5.08,of our weekly podcast at the end of the,of our weekly podcast at the end of the
4.829,7.39,day and as you know this is a podcast,day and as you know this is a podcast
4.92,9.91,that aims to guide the recently arriving,that aims to guide the recently arriving
5.601,12.219,immigrants in the United States and we,immigrants in the United States and we
6.45,14.83,release every new episode every Sunday,release every new episode every Sunday
7.18,17.82,myself is deepika he is a loose and with,myself is deepika he is a loose and with
6.21,21.28,us today is Mary sighs hi everyone I'm,us today is Mary sighs hi everyone I'm
5.369,25.0,Mary sighs I'm the manager at upwardly,Mary sighs I'm the manager at upwardly
4.29,27.49,mobile upwardly Global aims to work with,mobile upwardly Global aims to work with
2.85,30.369,the newly arrived immigrants who have a,the newly arrived immigrants who have a
3.75,31.78,professional career in their home,professional career in their home
4.621,33.219,country and we tried to get these people,country and we tried to get these people
4.44,35.53,back into their careers so there's no,back into their careers so there's no
4.23,37.84,reason for an engineer to be driving an,reason for an engineer to be driving an
3.78,39.97,uber during the day so we'll work with,uber during the day so we'll work with
3.9,42.07,them we'll walk through their resume,them we'll walk through their resume
3.87,43.75,with them how to you know introduce,with them how to you know introduce
3.75,45.97,yourself to a roomful of people you've,yourself to a roomful of people you've
4.709,47.62,never met how to network apply for jobs,never met how to network apply for jobs
4.65,49.72,and then ultimately negotiate that final,and then ultimately negotiate that final
4.561,52.329,salary in today's podcast we're gonna be,salary in today's podcast we're gonna be
4.74,54.37,focusing on elevator pitch tell me what,focusing on elevator pitch tell me what
4.59,56.89,elevator pitch is for our audience so an,elevator pitch is for our audience so an
3.69,59.11,elevator pitch is just a very short 30,elevator pitch is just a very short 30
3.69,61.48,seconds to a minute,seconds to a minute
4.139,62.8,introduction into who you are the hard,introduction into who you are the hard
4.259,65.17,part about this is you really customize,part about this is you really customize
6.39,66.939,it to every person that you talk to okay,it to every person that you talk to okay
7.021,69.429,so if you are meeting someone for coffee,so if you are meeting someone for coffee
5.82,73.329,it might be a very informal elevator,it might be a very informal elevator
4.89,76.45,pitch just casually introducing yourself,pitch just casually introducing yourself
4.951,79.149,but if you are at a formal networking,but if you are at a formal networking
5.069,81.34,event in your industry you might be more,event in your industry you might be more
3.869,84.1,strategic about how you're saying what,strategic about how you're saying what
4.73,86.409,you could offer the person that you're,you could offer the person that you're
6.121,87.969,speaking to so you really customize your,speaking to so you really customize your
7.0,91.139,pitch to who your audiences you are,pitch to who your audiences you are
5.43,94.09,pitching yourself with in 30 seconds so,pitching yourself with in 30 seconds so
3.96,98.139,how do we do it first it's uncomfortable,how do we do it first it's uncomfortable
4.5,99.52,yeah I think everyone can agree no,yeah I think everyone can agree no
4.44,102.099,matter where you're from 30 seconds,matter where you're from 30 seconds
4.29,104.02,about who you are where do you start I,about who you are where do you start I
4.021,106.539,would always recommend to just briefly,would always recommend to just briefly
5.039,108.31,state you know what your industry is,state you know what your industry is
4.89,110.56,what your quick background is so you,what your quick background is so you
4.68,113.349,know I work in a non profit industry,know I work in a non profit industry
4.829,115.45,that immediately sets the conversation,that immediately sets the conversation
5.16,118.029,for the experience I can bring to the,for the experience I can bring to the
4.89,120.279,person typically it helps if you know,person typically it helps if you know
4.531,123.189,the person that you're speaking to to,the person that you're speaking to to
6.161,125.169,some degree so that you can,some degree so that you can
5.98,127.72,customize your approach to them but the,customize your approach to them but the
3.75,131.33,biggest part is that you are confident,biggest part is that you are confident
3.509,133.7,in what you're saying that you're,in what you're saying that you're
3.87,135.08,comfortable you want to keep it really,comfortable you want to keep it really
3.841,137.209,conversational so the person doesn't,conversational so the person doesn't
8.399,138.95,feel like they're being attacked with,feel like they're being attacked with
8.7,141.05,your background even when I tell about,your background even when I tell about
4.53,147.349,myself at times I feel that maybe I'm,myself at times I feel that maybe I'm
4.319,149.75,just you know I'm like overloading him,just you know I'm like overloading him
3.871,151.879,with my information and then I realize,with my information and then I realize
7.53,154.069,oh I totally forgot to ask about him I,oh I totally forgot to ask about him I
7.43,155.75,just talked about how do I think the,just talked about how do I think the
4.14,161.599,biggest thing you can do is practice,biggest thing you can do is practice
4.119,163.18,because when you are in that moment and,because when you are in that moment and
3.481,165.739,you realize that you haven't asked the,you realize that you haven't asked the
3.72,167.299,person about themselves if you had,person about themselves if you had
4.56,169.22,practiced a couple times in the mirror,practiced a couple times in the mirror
5.131,171.019,the end of now tell me about yourself it,the end of now tell me about yourself it
4.019,173.78,will be natural in the real time so,will be natural in the real time so
