Duration,Start,Automated,Manual
2.159,0.78,[Music],[Music]
5.44,4.13,hi everyone welcome to our podcast at,hi everyone welcome to our podcast at
4.89,7.14,the end of the day I am a loose tapa and,the end of the day I am a loose tapa and
4.62,9.57,this is me the PCAST Rustin in the last,this is me the PCAST Rustin in the last
5.13,12.03,episode we were in conversation with,episode we were in conversation with
4.589,14.19,twiba Elton who is from Sudan and has,twiba Elton who is from Sudan and has
4.529,17.16,been in the United States for the last,been in the United States for the last
5.91,18.779,four years yes and today's podcast says,four years yes and today's podcast says
6.541,21.689,sharing her experience on how to find a,sharing her experience on how to find a
6.23,24.689,mentor now here's a thing we recorded,mentor now here's a thing we recorded
4.94,28.23,this interview in lower Manhattan and,this interview in lower Manhattan and
5.26,30.919,unfortunately because of the ongoing,unfortunately because of the ongoing
5.47,33.17,massive construction we have noise in,massive construction we have noise in
5.04,36.179,our recording yes so please forgive us,our recording yes so please forgive us
14.16,38.64,on that anyway let's find out what,on that anyway let's find out what
13.59,41.219,mentorship is from the same fashion and,mentorship is from the same fashion and
3.59,52.8,see the professional advice you know,see the professional advice you know
3.201,54.809,this try to ask people,this try to ask people
3.84,56.39,so this is actually what I'm what I'm,so this is actually what I'm what I'm
4.079,58.01,what I'm saying about mental she was to,what I'm saying about mental she was to
5.509,60.23,have someone who can guide you but as,have someone who can guide you but as
3.65,62.089,Simon who are new to the u.s.,Simon who are new to the u.s.
4.23,68.18,so I would say one of the people for,so I would say one of the people for
4.41,70.46,organisation like harbor new album that,organisation like harbor new album that
6.24,72.41,would be kind of my poaching but,would be kind of my poaching but
11.62,74.87,all internet so there's a lot of,all internet so there's a lot of
10.57,78.65,organization actually yeah I'm talking,organization actually yeah I'm talking
5.82,86.49,for now all about fashion limited but,for now all about fashion limited but
5.13,89.22,even if you're not like if you are not,even if you're not like if you are not
5.7,92.31,coming from a professional background or,coming from a professional background or
5.85,94.35,you can you can just go at the library,you can you can just go at the library
3.75,98.01,and ask if there is Collin to use for,and ask if there is Collin to use for
3.42,100.2,coming here and you want to just they,coming here and you want to just they
3.03,101.76,will help you with music I've always,will help you with music I've always
5.04,103.62,advising people just to go to the,advising people just to go to the
5.55,104.79,library because yes,library because yes
3.36,108.66,so for professional I would say sweet,so for professional I would say sweet
3.66,110.34,wise but that our body global is the,wise but that our body global is the
4.38,112.02,organization where you can actually find,organization where you can actually find
3.93,114.0,it for that even if you have a high,it for that even if you have a high
