Duration,Start,Automated,Manual
5.16,2.79,hi guys welcome to the podcast at the,hi guys welcome to the podcast at the
3.9,6.21,end of the day for those who are new to,end of the day for those who are new to
3.78,7.95,the episode new to the podcast this is a,the episode new to the podcast this is a
4.92,10.11,weekly guide for the newly arriving,weekly guide for the newly arriving
6.09,11.73,immigrants in the United States and we,immigrants in the United States and we
4.499,15.03,started the podcast in 2018 the last,started the podcast in 2018 the last
3.689,17.82,week of me yeah right,week of me yeah right
5.16,19.529,yeah yeah and then it's been more than,yeah yeah and then it's been more than
5.52,21.509,six months that we have we have been,six months that we have we have been
7.68,24.689,doing this podcast and we're at the end,doing this podcast and we're at the end
8.971,27.029,of this year and 2019 begins so before,of this year and 2019 begins so before
5.881,32.369,we get headed with 2019 we thought of,we get headed with 2019 we thought of
4.53,36.0,summing up the year 2018 like summing up,summing up the year 2018 like summing up
4.71,38.25,in the sense of summing up some of the,in the sense of summing up some of the
5.01,40.53,major takeaways from the episodes we,major takeaways from the episodes we
5.13,42.96,have done in 2018 right and,have done in 2018 right and
4.47,45.54,interestingly we started our podcast,interestingly we started our podcast
3.239,48.09,telling our own story and then we,telling our own story and then we
3.51,50.01,gradually reached out to people and,gradually reached out to people and
4.351,51.329,started sharing their story so basically,started sharing their story so basically
4.29,53.52,in the first episode because we had no,in the first episode because we had no
5.24,55.68,guest interview we had uh knows himself,guest interview we had uh knows himself
3.11,57.81,as the guest yeah,as the guest yeah
3.78,61.8,[Music],[Music]
3.66,63.66,and you were a full-time journalist in a,and you were a full-time journalist in a
3.99,65.58,bar and now you still want to pursue,bar and now you still want to pursue
5.91,67.32,that as a career even in even in New,that as a career even in even in New
5.34,69.57,York right I was a journalist in Nepal,York right I was a journalist in Nepal
4.32,73.23,for more than like eight years I was a,for more than like eight years I was a
5.22,74.91,news anchor on a television and then we,news anchor on a television and then we
4.8,77.55,migrated here four years ago I thought,migrated here four years ago I thought
4.32,80.13,like it could be good for me to like,like it could be good for me to like
4.92,82.35,push you my mainstream journalism career,push you my mainstream journalism career
6.66,84.45,here in New York so I thought it'll be a,here in New York so I thought it'll be a
6.75,87.27,good idea to study journalism so that I,good idea to study journalism so that I
6.72,91.11,can learn how like how journalism works,can learn how like how journalism works
5.28,94.02,in the u.s. mainstream media you know so,in the u.s. mainstream media you know so
3.33,97.83,I enrolled to CUNY Graduate School of,I enrolled to CUNY Graduate School of
4.23,99.3,Journalism then it was a one-and-a-half,Journalism then it was a one-and-a-half
4.79,101.16,year of program and I graduated last,year of program and I graduated last
2.42,103.53,December,December
6.039,106.18,there isn't a last week of me episode,there isn't a last week of me episode
6.75,108.68,yeah and today which is in the end of,yeah and today which is in the end of
7.11,112.219,2018 now you have finally found yourself,2018 now you have finally found yourself
5.43,115.43,a job yeah yes and yeah I've been,a job yeah yes and yeah I've been
4.621,119.329,working as a video producer at this,working as a video producer at this
5.549,120.86,street dot-com since the first week of,street dot-com since the first week of
4.41,123.95,October so I'm loving it and I've also,October so I'm loving it and I've also
5.251,126.409,made a blog about that so if you want to,made a blog about that so if you want to
4.59,128.36,check it out I'll we'll put the link in,check it out I'll we'll put the link in
2.76,131.66,the description below you know we want,the description below you know we want
4.14,132.95,to remember some of their pictures we,to remember some of their pictures we
4.08,134.42,have done obviously we can't include all,have done obviously we can't include all
3.99,137.09,those episodes but we wanna you know,those episodes but we wanna you know
4.89,138.5,point out some of the official which we,point out some of the official which we
4.5,141.08,really which we thought it's worth,really which we thought it's worth
5.34,143.39,mentioning you know yeah yeah let's say,mentioning you know yeah yeah let's say
5.969,145.58,for example okay so on the website I can,for example okay so on the website I can
4.319,148.73,see this interview off and attorney her,see this interview off and attorney her
3.27,151.549,name is les Elko brother,name is les Elko brother
3.66,153.049,and she's originally from Philippines,and she's originally from Philippines
4.111,154.819,right remember for me the major takeaway,right remember for me the major takeaway
4.471,156.709,from her interview was remember she,from her interview was remember she
5.49,158.93,mentioned that after she finished her,mentioned that after she finished her
6.72,161.18,law degree in the US right right she was,law degree in the US right right she was
6.149,164.42,so desperate because she applied for she,so desperate because she applied for she
7.95,167.9,applied for job in numerous law firms,applied for job in numerous law firms
7.411,170.569,but she never never got responses and,but she never never got responses and
4.38,175.85,she was so kind of you know upset and,she was so kind of you know upset and
4.71,177.98,depressed and when she had gone back,depressed and when she had gone back
5.19,180.23,home to Philippines for a short you know,home to Philippines for a short you know
5.22,182.69,break and the meantime she heard from,break and the meantime she heard from
5.52,185.42,she was contacted by her classmate right,she was contacted by her classmate right
5.76,187.91,right he had started practicing as an,right he had started practicing as an
5.129,190.94,attorney in New York and then her friend,attorney in New York and then her friend
4.319,193.67,approached her over the phone and then,approached her over the phone and then
4.451,196.069,proposed her if she would like to join,proposed her if she would like to join
4.791,197.989,him right,him right
4.0,200.52,you had a plan to sue mini-jobs,you had a plan to sue mini-jobs
5.94,202.78,and eventually what happened is your,and eventually what happened is your
19.62,204.52,classmate you work for a long time here,classmate you work for a long time here
17.31,208.72,or whatever job yes us if you want to,or whatever job yes us if you want to
4.91,224.14,make a career is you could use your,make a career is you could use your
5.91,226.03,friendship and the long run so you heard,friendship and the long run so you heard
6.7,229.05,yes he invited you to oh yes I was there,yes he invited you to oh yes I was there
