Duration,Start,Automated,Manual
5.309,2.82,hi everybody my name is Noreen Morrison,hi everybody my name is Noreen Morrison
6.57,5.55,I am from India I came to United States,I am from India I came to United States
5.671,8.129,in the year 2016 I am pursuing master's,in the year 2016 I am pursuing master's
4.35,12.12,of Public Administration with Baruch,of Public Administration with Baruch
5.13,13.8,College and today I am with Deepika and,College and today I am with Deepika and
4.89,16.47,announced in their weekly podcast at the,announced in their weekly podcast at the
5.599,18.93,end of the day thank you so much Noreen,end of the day thank you so much Noreen
5.94,21.36,it's so good to have your edger and,it's so good to have your edger and
5.53,24.529,Maria and I we both go to Baruch College,Maria and I we both go to Baruch College
4.799,27.3,and we share two classes together yes,and we share two classes together yes
3.75,30.059,that's how we become friends then you go,that's how we become friends then you go
6.421,32.099,back home together in the same trend,back home together in the same trend
6.811,33.809,yeah if you guys are new to this country,yeah if you guys are new to this country
4.83,38.52,us and if you are planning to enroll,us and if you are planning to enroll
4.56,40.62,yourself in a graduate program then this,yourself in a graduate program then this
6.36,43.35,episode is going to be really really,episode is going to be really really
6.66,45.18,helpful to you yes you already had a,helpful to you yes you already had a
4.8,49.71,Masters of Business Administration back,Masters of Business Administration back
4.26,51.84,home right in India and now you are,home right in India and now you are
3.21,54.51,still you are doing another master's,still you are doing another master's
4.229,56.1,degree why is the need for a second,degree why is the need for a second
5.88,57.72,master's degree as I mentioned that I,master's degree as I mentioned that I
5.761,60.329,came in 2016 to United States I got,came in 2016 to United States I got
4.8,63.6,married here so really a relocation was,married here so really a relocation was
4.47,66.09,like I had to relocate and when I,like I had to relocate and when I
4.5,68.4,relocated I think the most important,relocated I think the most important
4.29,70.56,thing is you have to adjust to the new,thing is you have to adjust to the new
4.41,72.9,country adjust to the new place sink in,country adjust to the new place sink in
5.28,74.85,the new place and know the culture know,the new place and know the culture know
5.25,77.31,things that you don't know and I think I,things that you don't know and I think I
4.32,80.13,thought about how what would be the best,thought about how what would be the best
4.08,82.56,way to do that to sink in the place and,way to do that to sink in the place and
4.08,84.45,get to know the place well and I decided,get to know the place well and I decided
3.72,86.64,it would be education because through,it would be education because through
3.839,88.53,education through a college through an,education through a college through an
3.42,90.36,institute you get to meet people of the,institute you get to meet people of the
4.441,92.369,place you get to meet people with,place you get to meet people with
4.62,93.78,different backgrounds and you definitely,different backgrounds and you definitely
3.75,96.81,get to know what is the vibe of the city,get to know what is the vibe of the city
5.16,98.4,and you know how people talk how people,and you know how people talk how people
5.61,100.56,travel so I think you that is one place,travel so I think you that is one place
5.76,103.56,through which you can get everything and,through which you can get everything and
5.46,106.17,I had I after relocation I knew that I,I had I after relocation I knew that I
4.979,109.32,have to have a fresh start over here and,have to have a fresh start over here and
4.68,111.63,I think education was only the way out,I think education was only the way out
4.561,114.299,for me you know I decided I will,for me you know I decided I will
5.07,116.31,leverage this opportunity to upgrade,leverage this opportunity to upgrade
5.34,118.86,myself to have a value addition to have,myself to have a value addition to have
5.01,121.38,a degree that gives me a path so I think,a degree that gives me a path so I think
4.89,124.2,that is the reason I decided to you know,that is the reason I decided to you know
4.379,126.39,enroll into another masters so as you,enroll into another masters so as you
4.11,129.09,are doing your masters right now,are doing your masters right now
5.881,130.769,have you been benefitting or definitely,have you been benefitting or definitely
5.34,133.2,very much because I remember when I was,very much because I remember when I was
3.72,136.65,that have there were times when I was,that have there were times when I was
4.35,138.54,even scared to like you know travel,even scared to like you know travel
3.69,140.37,alone without my husband because you,alone without my husband because you
2.64,142.89,know the system over here is so,know the system over here is so
3.09,144.06,different then the mode of,different then the mode of
4.319,145.53,transportation is different than back,transportation is different than back
5.669,147.15,home so I think it was very challenging,home so I think it was very challenging
5.821,149.849,I was I somehow was not very comfortable,I was I somehow was not very comfortable
5.31,152.819,talking to people and you know doing,talking to people and you know doing
4.59,155.67,things on my own so I think enrolling,things on my own so I think enrolling
4.771,158.129,into a program and enrolling into school,into a program and enrolling into school
4.8,160.26,helped me become more independent it I,helped me become more independent it I
4.919,162.9,could gain back my confidence you know,could gain back my confidence you know
5.31,165.06,when I think that was it was definitely,when I think that was it was definitely
5.371,167.819,very much beneficial for me what are the,very much beneficial for me what are the
