Duration,Start,Automated,Manual
3.75,2.87,hello namaste this is Lennon Konan I'm,hello namaste this is Lennon Konan I'm
3.27,5.72,from Nepal,from Nepal
3.99,6.62,I've been in the US for the last ten,I've been in the US for the last ten
3.689,8.99,years and living in New York City for,years and living in New York City for
3.87,10.61,three years now I work with,three years now I work with
4.081,12.679,works as a franchise operations manager,works as a franchise operations manager
4.38,14.48,today I'm here with an agenda picker at,today I'm here with an agenda picker at
4.47,16.76,podcast at the end of the day thank you,podcast at the end of the day thank you
4.68,18.86,so much living for spending your,so much living for spending your
4.26,21.23,precious time for our podcast thank you,precious time for our podcast thank you
6.12,23.54,for having me,for having me
7.77,25.49,let's start from the beginning days of,let's start from the beginning days of
5.519,29.66,you coming to America tell me more about,you coming to America tell me more about
3.209,33.26,your beginning days what brought you,your beginning days what brought you
4.38,35.179,here,here
4.53,36.469,studies I went through a lot of changes,studies I went through a lot of changes
5.221,39.559,in terms of what I really wanted to,in terms of what I really wanted to
4.59,40.999,study first I wanted to be on medical,study first I wanted to be on medical
3.509,44.78,field mm-hm,field mm-hm
4.531,45.589,wanted to be a nurse then you know what,wanted to be a nurse then you know what
4.02,48.289,we imagine back home and what really,we imagine back home and what really
5.609,50.12,it's in the u.s. is totally different,it's in the u.s. is totally different
5.46,52.309,mm-hmm so I realized I was not for me so,mm-hmm so I realized I was not for me so
4.5,55.729,then I went back to national science,then I went back to national science
5.88,57.769,then later realized that was not for me,then later realized that was not for me
5.911,60.229,either so I changed my major almost like,either so I changed my major almost like
5.281,63.649,I guess like three or four times how,I guess like three or four times how
4.589,66.14,many how long were you with each of,many how long were you with each of
3.99,68.93,these programs how many months,these programs how many months
5.191,70.729,not so long you know obviously and I had,not so long you know obviously and I had
5.58,72.92,to work then I realized working and also,to work then I realized working and also
3.059,75.92,continuing to be a medical student was,continuing to be a medical student was
3.27,78.5,not easy,not easy
4.831,78.979,so it only lasted for a couple of,so it only lasted for a couple of
4.739,81.77,semesters then I went back to natural,semesters then I went back to natural
4.409,83.81,science and because I did not know what,science and because I did not know what
5.191,86.509,I really wanted to pursue as a career,I really wanted to pursue as a career
4.68,88.219,then finally I realized maybe business,then finally I realized maybe business
2.43,91.7,management is something that I really,management is something that I really
4.29,92.899,want to do hmm,want to do hmm
5.82,94.13,and you completely undergrad from from,and you completely undergrad from from
6.21,97.189,Boston Cambridge University but before,Boston Cambridge University but before
6.72,99.95,that I had my two years degree from from,that I had my two years degree from from
4.951,103.399,Quincy College and finished my four,Quincy College and finished my four
3.299,106.67,years degree from Cambridge College and,years degree from Cambridge College and
5.93,108.35,there was a business management I wasn't,there was a business management I wasn't
5.58,109.969,okay what after that started working oh,okay what after that started working oh
3.399,114.28,yeah,yeah
3.901,115.549,started working living let's let's come,started working living let's let's come
3.9,117.679,to a career now so now you have been,to a career now so now you have been
3.9,119.45,working as an operational manager on at,working as an operational manager on at
3.991,121.579,this company what is the name of the car,this company what is the name of the car
3.869,123.35,pokey words pokey work so how did you,pokey words pokey work so how did you
4.829,125.57,land this job and what were you doing,land this job and what were you doing
6.99,127.219,before this job before before the job I,before this job before before the job I
5.041,130.399,was in Boston so again I was finishing,was in Boston so again I was finishing
3.121,134.209,my college I,my college I
4.23,135.44,I've been in restaurant industry since I,I've been in restaurant industry since I
4.14,137.33,came to us so for almost 10 years now so,came to us so for almost 10 years now so
