Duration,Start,Automated,Manual
6.16,0.97,[Music],[Music]
5.01,3.92,hi I'm Mara Wasi I currently work as a,hi I'm Mara Wasi I currently work as a
4.11,7.13,management consultant I've been in the,management consultant I've been in the
4.08,8.93,US for three years two years doing my,US for three years two years doing my
4.889,11.24,MBA and then one year at work,MBA and then one year at work
6.029,13.01,I'm originally from Bangladesh and I'm,I'm originally from Bangladesh and I'm
5.16,16.129,with a new gen typical today in the,with a new gen typical today in the
4.05,19.039,podcast at the end of the day my broom,podcast at the end of the day my broom
5.4,21.289,thank you so much for your time it's my,thank you so much for your time it's my
5.7,23.089,pleasure andrews and deepika you are a,pleasure andrews and deepika you are a
5.1,26.689,management consultant at Price,management consultant at Price
5.131,28.789,Waterhouse Cooper what is what kind of,Waterhouse Cooper what is what kind of
9.36,31.789,company or organization is Price,company or organization is Price
9.51,33.92,Waterhouse Cooper so PwC is one of the,Waterhouse Cooper so PwC is one of the
5.64,41.149,big four accounting firms that's how I,big four accounting firms that's how I
5.879,43.43,think most people know them and over the,think most people know them and over the
6.75,46.789,years most of the big four were very,years most of the big four were very
7.351,49.309,involved in consulting and then I think,involved in consulting and then I think
5.011,53.539,around ten or eleven years back many of,around ten or eleven years back many of
5.489,56.66,them sold of their consulting businesses,them sold of their consulting businesses
5.009,58.55,then they came back so so overall their,then they came back so so overall their
4.321,62.149,main line of business that have,main line of business that have
5.221,63.559,continued to be around for a long time,continued to be around for a long time
5.34,66.47,is the accounting auditing right which,is the accounting auditing right which
4.83,68.78,we call assurance and then there's a tax,we call assurance and then there's a tax
3.48,71.81,consulting side which is another line of,consulting side which is another line of
3.39,73.61,service and then where I work as a,service and then where I work as a
4.259,75.29,management consultant is called advisory,management consultant is called advisory
4.32,77.0,which is another so they're essentially,which is another so they're essentially
3.18,79.549,three lines of service and then you have,three lines of service and then you have
3.6,81.32,your internal function that's how the,your internal function that's how the
5.311,82.729,entire firm works you did your,entire firm works you did your
6.239,84.92,bachelor's in engineering fact and then,bachelor's in engineering fact and then
8.1,88.04,you did a master's in supply chain why,you did a master's in supply chain why
6.331,91.159,why was this transition so so I think,why was this transition so so I think
4.11,96.14,for me it was more of a natural,for me it was more of a natural
6.989,97.49,progression because back in Bangladesh,progression because back in Bangladesh
6.509,100.25,the culture is that organizations hire,the culture is that organizations hire
4.53,104.479,engineers because we have a lot of,engineers because we have a lot of
4.051,106.759,manufacturing plants and you need a lot,manufacturing plants and you need a lot
5.011,109.009,of people to run the manufacturing plant,of people to run the manufacturing plant
7.44,110.81,but if you think of a supply chain you,but if you think of a supply chain you
6.239,114.02,know in a very crude short explanation,know in a very crude short explanation
5.07,118.25,of it you know it has like planning,of it you know it has like planning
3.921,120.259,sourcing manufacturing making basically,sourcing manufacturing making basically
3.26,123.32,and then,and then
4.5,124.18,and then you have other you know aspects,and then you have other you know aspects
4.86,126.58,of managing returns and all those things,of managing returns and all those things
4.92,128.68,so in the plan source make move like,so in the plan source make move like
5.43,131.44,model which is known as a score model,model which is known as a score model
4.98,133.6,the the make manufacturing if you have a,the the make manufacturing if you have a
3.45,136.87,site is often the biggest where you need,site is often the biggest where you need
4.44,138.58,the most amount of resources so what,the most amount of resources so what
5.22,140.32,companies would do is hire engineers use,companies would do is hire engineers use
4.56,143.02,them in manufacturing as they grow they,them in manufacturing as they grow they
4.11,145.54,give them exposure into planning and,give them exposure into planning and
3.87,147.58,sourcing and delivery and you become a,sourcing and delivery and you become a
3.63,149.65,holistic supply chain manager with a,holistic supply chain manager with a
5.1,151.45,very sound knowledge of how,very sound knowledge of how
6.21,153.28,manufacturing works so and I often tell,manufacturing works so and I often tell
4.68,156.55,supply chain graduates and you know in,supply chain graduates and you know in
4.02,159.49,people who are new into supply chain is,people who are new into supply chain is
4.74,161.23,when you're part of the chain you should,when you're part of the chain you should
4.59,163.51,always try to learn what your customers,always try to learn what your customers
4.14,165.97,customer is doing in the chain and your,customer is doing in the chain and your
4.19,168.1,supplier supplier is doing in the chain,supplier supplier is doing in the chain
5.19,170.11,so that's how you are usually,so that's how you are usually
4.84,172.29,forecasting better both in terms of,forecasting better both in terms of
4.08,175.3,managing your supply and your demand and,managing your supply and your demand and
4.38,177.13,and you manage the supply chain better,and you manage the supply chain better
5.22,179.38,you started your career as an engineer,you started your career as an engineer
7.68,181.51,and then you you know transform yourself,and then you you know transform yourself
6.9,184.6,working at the supply chain can equality,working at the supply chain can equality
4.47,189.19,and interest rate professional okay so,and interest rate professional okay so
3.959,191.5,why do you think you needed an mba,why do you think you needed an mba
3.81,193.66,degree because you're already into the,degree because you're already into the
8.851,195.459,job market you are doing your well for,job market you are doing your well for
9.239,197.47,yourself right so so my punch line for,yourself right so so my punch line for
6.42,204.31,that okay his life is not an excel sheet,that okay his life is not an excel sheet
6.091,206.709,okay right so so of course he on an,okay right so so of course he on an
3.99,210.73,excel it didn't make sense not of my,excel it didn't make sense not of my
4.439,212.8,mentors explained to me hey your carrier,mentors explained to me hey your carrier
5.22,214.72,is taking off you spent nine years and I,is taking off you spent nine years and I
5.211,217.239,worked in the same company I just made,worked in the same company I just made
5.19,219.94,senior manager before I quit and came,senior manager before I quit and came
4.3,222.45,for my MBA and it was an international,for my MBA and it was an international
3.72,225.13,company you know you had the,company you know you had the
2.79,226.75,opportunities of doing global roles and,opportunities of doing global roles and
6.419,228.85,things like that,things like that
9.03,229.54,but for me it was important to actually,but for me it was important to actually
6.361,235.269,explore a different country to explore,explore a different country to explore
5.97,238.57,how headquarters worked to do an MBA,how headquarters worked to do an MBA
5.06,241.63,take a step back give myself a couple of,take a step back give myself a couple of
4.47,244.54,years and really explore academia,years and really explore academia
