Duration,Start,Automated,Manual
4.829,2.32,hi guys this is Anita's Lawal I have,hi guys this is Anita's Lawal I have
5.161,4.689,been in the United States of America for,been in the United States of America for
4.351,7.149,last 4 years I'm a Senior Planner for,last 4 years I'm a Senior Planner for
4.02,9.85,city of Winterhaven as well as the,city of Winterhaven as well as the
5.16,11.5,founder of nonprofit welcome womanhood,founder of nonprofit welcome womanhood
5.639,13.87,today I am with a news and Deepika in,today I am with a news and Deepika in
5.27,16.66,the podcast at the end of the day ok,the podcast at the end of the day ok
6.41,19.509,thank you so much Anita for giving your,thank you so much Anita for giving your
6.309,21.93,valuable busy time for our podcast Anita,valuable busy time for our podcast Anita
4.781,25.919,it's my pleasure to be with you guys,it's my pleasure to be with you guys
5.371,28.239,yeah for those of our audience who are,yeah for those of our audience who are
4.62,30.7,listening to us on the podcast apps so,listening to us on the podcast apps so
3.72,33.61,we are in New York right now,we are in New York right now
3.54,35.32,whereas Anita is in Florida where,whereas Anita is in Florida where
4.38,37.33,exactly in Florida are you based,exactly in Florida are you based
4.98,38.86,Anita I'm in Lakeland which isn't,Anita I'm in Lakeland which isn't
3.63,41.71,between Tampa and Orlando it's sort of,between Tampa and Orlando it's sort of
3.15,43.84,like a center point between two,like a center point between two
3.06,45.34,different cities oh by the way full,different cities oh by the way full
3.06,46.99,disclosure for our audience who are,disclosure for our audience who are
4.41,48.4,watching us or who are listening to us,watching us or who are listening to us
5.189,50.05,Anita and I that is uh newstapa we,Anita and I that is uh newstapa we
5.85,52.81,started our television career in Nepal,started our television career in Nepal
7.461,55.239,on News 24 television and it was really,on News 24 television and it was really
7.68,58.66,a good time Rita right absolutely I,a good time Rita right absolutely I
7.84,62.7,spend almost almost a little bit more,spend almost almost a little bit more
5.7,66.34,than a four years with news 24 even,than a four years with news 24 even
3.869,70.54,though I was in media since four years,though I was in media since four years
4.2,72.04,it was a different taste being a,it was a different taste being a
4.531,74.409,journalist being a news anchor and it,journalist being a news anchor and it
5.1,76.24,talks the host and I must say share this,talks the host and I must say share this
5.01,78.94,information with our audience that Anita,information with our audience that Anita
6.569,81.34,was in the peak of her television career,was in the peak of her television career
6.48,83.95,and like--see lifts everything and then,and like--see lifts everything and then
4.831,87.909,she had to see came to America and,she had to see came to America and
5.79,90.43,started a new life so we're gonna be,started a new life so we're gonna be
5.489,92.74,talking about how you know one restart,talking about how you know one restart
5.31,96.22,their career reboost their career in a,their career reboost their career in a
5.361,98.229,new country how difficult was that Anita,new country how difficult was that Anita
5.31,101.53,because you're on the top of your career,because you're on the top of your career
4.45,103.59,um it was quite difficult the situation,um it was quite difficult the situation
3.18,106.84,was a little bit different for me,was a little bit different for me
5.759,108.04,basically when people come over here,basically when people come over here
7.26,110.02,they come for education or or whatever I,they come for education or or whatever I
5.551,113.799,got married and moved and basically like,got married and moved and basically like
3.9,117.28,four years back when I recall it was,four years back when I recall it was
3.51,119.35,very difficult time because people,very difficult time because people
3.45,121.18,people think when you're married and,people think when you're married and
5.25,122.86,when you move to America people think,when you move to America people think
5.789,124.63,like it's not that hard it's gonna go,like it's not that hard it's gonna go
4.29,128.11,easy because you have a spouse who is,easy because you have a spouse who is
4.891,130.419,supportive you have a spouse who is,supportive you have a spouse who is
4.319,132.4,already established who knows the system,already established who knows the system
4.319,135.31,here,here
7.731,136.719,but the betta truth is for a person like,but the betta truth is for a person like
8.821,139.629,me who comes from from a public profile,me who comes from from a public profile
7.269,144.45,background I went a little bit of stress,background I went a little bit of stress
5.159,148.45,and anxiety during that timeframe just,and anxiety during that timeframe just
5.311,151.719,trying to figure out what's the next,trying to figure out what's the next
7.141,153.609,purpose in my life it was like really,purpose in my life it was like really
7.049,157.03,hard to handle and almost after a year I,hard to handle and almost after a year I
7.409,160.75,realized it's within you no matter how,realized it's within you no matter how
7.201,164.079,hard you are hit by the situation I,hard you are hit by the situation I
7.741,168.159,guess it's very important to rise back,guess it's very important to rise back
7.079,171.28,as a fire Anita curry shares some moment,as a fire Anita curry shares some moment
4.679,175.9,with our audience the innocent phase you,with our audience the innocent phase you
5.511,178.359,came to America yes I absolutely,came to America yes I absolutely
8.011,180.579,remember the day and the date it was,remember the day and the date it was
8.35,183.87,early 2015 I landed to Tampa,early 2015 I landed to Tampa
7.14,188.59,International Airport and the next day I,International Airport and the next day I
5.4,192.22,felt so good because you know you know,felt so good because you know you know
4.349,195.73,no one and no one knows you it's a sort,no one and no one knows you it's a sort
5.429,197.62,of good thing to have a feel feel about,of good thing to have a feel feel about
6.601,200.079,as a public profile in some other,as a public profile in some other
4.77,203.049,countries the first week was very good,countries the first week was very good
4.91,206.68,because you have a jet lag and,because you have a jet lag and
7.17,207.819,everything but starting from next week I,everything but starting from next week I
7.66,211.59,started panicking within because I had,started panicking within because I had
6.87,214.989,nothing to do and my husband had to go,nothing to do and my husband had to go
5.819,219.25,to work and I said all day home working,to work and I said all day home working
5.821,221.859,on my different little projects from the,on my different little projects from the
4.681,225.069,ninth day when I was here I started,ninth day when I was here I started
6.75,227.68,volunteering for American Cancer Society,volunteering for American Cancer Society
