Duration,Start,Automated,Manual
6.49,2.06,hi everyone my name is yeah I'm very,hi everyone my name is yeah I'm very
5.489,5.4,excited today to be here with Anuj and a,excited today to be here with Anuj and a
4.74,8.55,typical in the podcast at the end of the,typical in the podcast at the end of the
5.461,10.889,day so a little bit of background of,day so a little bit of background of
5.85,13.29,myself I studied at New York University,myself I studied at New York University
4.95,16.35,in multimedia journalism for my master's,in multimedia journalism for my master's
4.83,19.14,degree and I've been working in the,degree and I've been working in the
5.58,21.3,field for about five years currently I'm,field for about five years currently I'm
5.1,23.97,a video editor at sub China it is a,a video editor at sub China it is a
4.86,26.88,digital media company covering channel,digital media company covering channel
4.829,29.07,related in use for Westerners so check,related in use for Westerners so check
5.28,31.74,out our website at sub channel calm and,out our website at sub channel calm and
5.461,33.899,again I'm very excited to be here thank,again I'm very excited to be here thank
3.57,37.02,you so much for this time of course,you so much for this time of course
3.96,39.36,thank you for having me,thank you for having me
5.91,40.59,full disclosure I used to work with Gia,full disclosure I used to work with Gia
6.27,43.32,last year at South China and I still,last year at South China and I still
5.699,46.5,missed that haha she was my supervisor,missed that haha she was my supervisor
4.289,49.59,and she really honed my video making,and she really honed my video making
2.191,52.199,skills thank you so much for that,skills thank you so much for that
2.641,53.879,opportunity,opportunity
4.649,54.39,of course what happened today I learned,of course what happened today I learned
4.679,56.52,a lot thank you thank you yeah we were,a lot thank you thank you yeah we were
4.881,59.039,very glad to have you you are one of the,very glad to have you you are one of the
2.721,61.199,best interns,best interns
6.19,66.2,okay so where do we start from so let's,okay so where do we start from so let's
4.199,69.42,start from your initial days in America,start from your initial days in America
5.01,72.39,when did you come to America,when did you come to America
5.401,73.619,sure so I came to the u.s. in 2010 for,sure so I came to the u.s. in 2010 for
4.41,77.4,my undergrad at the University of,my undergrad at the University of
5.31,79.02,Minnesota Twin Cities I studied TV,Minnesota Twin Cities I studied TV
5.61,81.81,broadcasting there and before that I,broadcasting there and before that I
8.76,84.33,actually studied law in Shandong,actually studied law in Shandong
8.97,87.42,University and yes in Jinan a capital,University and yes in Jinan a capital
5.639,93.09,city of my province but I you know I,city of my province but I you know I
6.15,96.39,always wanted to be here to come to the,always wanted to be here to come to the
6.061,98.729,US then I learned people can transfer so,US then I learned people can transfer so
3.509,102.54,that's how I transferred from my,that's how I transferred from my
3.63,104.79,previous University,previous University
5.07,106.049,mhm so you did your bachelor's in,mhm so you did your bachelor's in
