Duration,Start,Automated,Manual
4.0,2.8,my name is Delia bata I was raised in,my name is Delia bata I was raised in
2.97,6.17,Nepal,Nepal
5.67,6.8,I came to this country more than a,I came to this country more than a
6.39,9.14,ticket in half ago I am practicing law,ticket in half ago I am practicing law
5.46,12.47,in New York City and we have our own law,in New York City and we have our own law
5.249,15.53,firm and today I am with animals and,firm and today I am with animals and
4.589,17.93,Deepika podcast at the end of the day it,Deepika podcast at the end of the day it
4.14,20.779,is so wonderful to have you,is so wonderful to have you
5.881,22.519,Dilli is one of those attorneys and one,Dilli is one of those attorneys and one
6.481,24.919,of those person of high profile in the,of those person of high profile in the
5.61,28.4,in the Nepalese community in the US who,in the Nepalese community in the US who
6.15,31.4,people like us as new immigrants in the,people like us as new immigrants in the
6.98,34.01,u.s. really like look up to I would,u.s. really like look up to I would
5.82,37.55,actually like to request you to you know,actually like to request you to you know
5.92,40.99,begin telling your story from the point,begin telling your story from the point
7.14,43.37,when you first landed in u.s. you know,when you first landed in u.s. you know
5.52,46.91,like any other young people who come to,like any other young people who come to
5.49,50.51,this country you have to land on,this country you have to land on
5.49,52.43,somewhere so first landing was in LA,somewhere so first landing was in LA
5.91,56.0,from there connecting flight I came to,from there connecting flight I came to
5.909,57.92,wisconsin-madison was a winter very cold,wisconsin-madison was a winter very cold
6.57,61.91,I was supposed to go to a law school,I was supposed to go to a law school
6.871,63.829,doing a master program in you Madison,doing a master program in you Madison
5.13,68.48,University of Medicine it's when,University of Medicine it's when
4.32,70.7,Wisconsin Midwest very close to Chicago,Wisconsin Midwest very close to Chicago
4.68,73.61,if you some people don't know this word,if you some people don't know this word
5.459,75.02,okay so but it was very cold and there,okay so but it was very cold and there
3.53,78.29,were other difficulties I was going,were other difficulties I was going
3.841,80.479,through in terms of understanding,through in terms of understanding
4.51,81.82,adopting weather or this and that and,adopting weather or this and that and
3.39,84.32,what I decided to do is okay this is not,what I decided to do is okay this is not
1.71,86.33,the place I stayed there for about four,the place I stayed there for about four
3.06,87.71,months,months
5.25,88.04,okay so then moved to warmer place some,okay so then moved to warmer place some
4.23,90.77,people suggested and San Francisco San,people suggested and San Francisco San
5.54,93.29,Francisco is where I learned a lot of,Francisco is where I learned a lot of
8.07,95.0,things did a lot of things from,things did a lot of things from
6.43,98.83,beginning beginners the job to even work,beginning beginners the job to even work
5.549,103.07,for a law firm until I moved to New York,for a law firm until I moved to New York
5.07,105.26,around 2006 mm-hmm I was doing a law,around 2006 mm-hmm I was doing a law
4.231,108.619,school there before that I went to a,school there before that I went to a
5.01,110.33,City College of San Francisco and then I,City College of San Francisco and then I
4.41,112.85,got to the Golden Gate University and,got to the Golden Gate University and
3.54,115.34,then I did a year and a half evening,then I did a year and a half evening
3.33,117.26,classes in Golden Gate University it's,classes in Golden Gate University it's
5.87,118.88,very interesting I have even done some,very interesting I have even done some
8.19,120.59,entrance evil Kamala Harris for example,entrance evil Kamala Harris for example
6.5,124.75,okay he was Santa Cody while I was,okay he was Santa Cody while I was
4.89,128.78,interning under,interning under
4.95,131.25,2004 I think okay what inspired you to,2004 I think okay what inspired you to
4.51,133.67,apply for internship with her oh I did,apply for internship with her oh I did
4.95,136.2,other in terms of also it's not only one,other in terms of also it's not only one
6.63,138.18,thing I did three four and if I had a,thing I did three four and if I had a
5.1,141.15,paid job I had internship part-time at,paid job I had internship part-time at
4.29,144.81,the same time I was going to school and,the same time I was going to school and
4.62,146.25,all this is like an amazing time but I,all this is like an amazing time but I
4.56,149.1,had energy because you know you have to,had energy because you know you have to
5.1,150.87,have experience to go to do well in law,have experience to go to do well in law
3.87,153.66,school my goal was still in the logical,school my goal was still in the logical
3.81,155.97,even dogs in City College I was a,even dogs in City College I was a
3.96,157.53,resourcing about you and you were doing,resourcing about you and you were doing
3.78,159.78,well for yourself in San Francisco in,well for yourself in San Francisco in
5.04,161.49,that legal form that you just mentioned,that legal form that you just mentioned
4.83,163.56,but all of a sudden you you thought of,but all of a sudden you you thought of
3.84,166.53,quitting everything yeah and came to New,quitting everything yeah and came to New
4.14,168.39,York City correct that was there was in,York City correct that was there was in
4.41,170.37,2006 six yes and people who are telling,2006 six yes and people who are telling
