Duration,Start,Automated,Manual
4.709,2.77,hi I'm Rena Ben clima and I'm a video,hi I'm Rena Ben clima and I'm a video
4.589,5.68,producer at Food America,producer at Food America
4.711,7.479,I'm from Casablanca Morocco and I'm here,I'm from Casablanca Morocco and I'm here
3.69,10.269,with a new certificate on the podcast at,with a new certificate on the podcast at
4.62,12.19,the end of the day thank you so much,the end of the day thank you so much
5.31,13.959,Sarita for sparing your time to do this,Sarita for sparing your time to do this
4.74,16.81,for you and by the way I should mention,for you and by the way I should mention
6.0,19.269,this Rita and I we went to school,this Rita and I we went to school
5.77,21.55,together yes at CUNY School of,together yes at CUNY School of
5.171,25.269,Journalism,Journalism
6.159,27.32,[Laughter],[Laughter]
3.039,30.44,[Music],[Music]
13.3,38.88,so Rita is the one who taught me how to,so Rita is the one who taught me how to
14.58,41.41,make instant stories oh my god I feel I,make instant stories oh my god I feel I
5.58,52.18,feel so proud to meet because there were,feel so proud to meet because there were
3.56,55.99,days in the initial days when he started,days in the initial days when he started
4.02,57.76,this a challenge for himself saying that,this a challenge for himself saying that
4.15,59.55,everyday I'll make one Instagram story,everyday I'll make one Instagram story
3.629,61.78,about my daily life I said oh my god you,about my daily life I said oh my god you
3.779,63.7,were wasting so much of time I used to,were wasting so much of time I used to
3.96,65.409,be so fed up of him you know spending a,be so fed up of him you know spending a
4.051,67.479,lot of hours doing that but now I said,lot of hours doing that but now I said
12.75,69.369,okay you know like he makes really good,okay you know like he makes really good
17.25,71.53,stories very good in stories yeah this,stories very good in stories yeah this
9.99,82.119,is good too a news that you Sarita,is good too a news that you Sarita
8.28,88.78,so you came to America to do here on the,so you came to America to do here on the
6.481,92.109,rad yes I always like dreamt of coming,rad yes I always like dreamt of coming
4.83,97.06,to college in the States I grew up going,to college in the States I grew up going
5.43,98.59,to an American school so the next step,to an American school so the next step
4.93,101.89,for me was obvious like I wanted to come,for me was obvious like I wanted to come
6.1,104.02,to the u.s. for undergrad,to the u.s. for undergrad
6.9,106.82,and I studied film and TV at Boston,and I studied film and TV at Boston
6.21,110.12,University it's funny because I I knew I,University it's funny because I I knew I
5.16,113.72,wanted to stay in the u.s. after college,wanted to stay in the u.s. after college
4.68,116.33,but I didn't like prepare myself you,but I didn't like prepare myself you
3.54,118.88,know enough like I didn't know I thought,know enough like I didn't know I thought
4.2,121.01,it would just be easy like I thought I,it would just be easy like I thought I
4.71,122.42,would like come to the States and it,would like come to the States and it
4.29,125.21,would like it would get figured out like,would like it would get figured out like
4.05,127.13,I didn't do my research like I didn't,I didn't do my research like I didn't
4.17,129.5,know that if you graduated from a stem,know that if you graduated from a stem
