Duration,Start,Automated,Manual
6.379,1.0,[Music],[Music]
5.41,3.74,hi my name is amar Singh Dhindsa and I'm,hi my name is amar Singh Dhindsa and I'm
3.541,7.379,from Los Angeles California it's where I,from Los Angeles California it's where I
4.35,9.15,grew up and I'm a personal fitness,grew up and I'm a personal fitness
4.77,10.92,trainer I'm a writer and I'm an actor,trainer I'm a writer and I'm an actor
4.5,13.5,and I'm with Deepika and the news on the,and I'm with Deepika and the news on the
3.929,15.69,podcast at the end of the day own car,podcast at the end of the day own car
6.029,18.0,thank you so much for your time of,thank you so much for your time of
6.031,19.619,course to be here yes how to use mmm so,course to be here yes how to use mmm so
5.07,24.029,we have to give a quick disclosure on,we have to give a quick disclosure on
5.07,25.65,car and I we meet and the moth at one of,car and I we meet and the moth at one of
3.421,29.099,the moths storytelling workshop that,the moths storytelling workshop that
4.86,30.72,happened in the moths office in New York,happened in the moths office in New York
4.41,32.52,City a couple of months back and yeah,City a couple of months back and yeah
3.42,35.58,that's how we connected and learned,that's how we connected and learned
14.52,36.93,about each other this morning what does,about each other this morning what does
14.64,39.0,a fitness trainer do you do so we work,a fitness trainer do you do so we work
4.83,51.45,people out definitely but I think it,people out definitely but I think it
4.92,53.64,goes a lot deeper than that I think for,goes a lot deeper than that I think for
3.66,56.28,from my experiences it you know and my,from my experiences it you know and my
3.39,58.56,own personal experience and then also,own personal experience and then also
3.84,59.94,just with people I work with like,just with people I work with like
3.72,61.95,anytime you're like doing something of,anytime you're like doing something of
2.85,63.78,that big of a change right these are,that big of a change right these are
3.57,65.67,people the people that I work with,people the people that I work with
4.799,66.63,they're not your you know your average,they're not your you know your average
3.629,69.24,gym goer that goes to the gym and no,gym goer that goes to the gym and no
3.48,71.429,like you know like has a lot of these,like you know like has a lot of these
4.56,72.869,are people that don't work out you know,are people that don't work out you know
5.31,74.909,getting to help them with their growth,getting to help them with their growth
4.83,77.429,both physically and mentally too because,both physically and mentally too because
4.621,80.219,anytime you're looking to make that kind,anytime you're looking to make that kind
4.201,82.259,of change like it's it's a lot on on the,of change like it's it's a lot on on the
3.209,84.84,inside as well you know it takes a lot,inside as well you know it takes a lot
3.75,86.46,of courage you know you have to make,of courage you know you have to make
3.81,88.049,room for it it's not just like okay you,room for it it's not just like okay you
2.369,90.21,know it's six o'clock I got to go to my,know it's six o'clock I got to go to my
2.311,91.859,session,session
3.121,92.579,no way like it takes a lot like now you,no way like it takes a lot like now you
3.899,94.17,have to sleep different now you have to,have to sleep different now you have to
5.04,95.7,eat different you have to take care of,eat different you have to take care of
5.461,98.069,yourself more and so yeah so I think it,yourself more and so yeah so I think it
4.89,100.74,involves all of that so I guess that is,involves all of that so I guess that is
