Duration,Start,Automated,Manual
6.27,2.51,hello my name is do Barbie yellow with,hello my name is do Barbie yellow with
6.9,4.819,Jimenez I am a son an immigrant an uncle,Jimenez I am a son an immigrant an uncle
4.859,8.78,and a husband currently working in the,and a husband currently working in the
6.031,11.719,healthcare industry for about five years,healthcare industry for about five years
7.441,13.639,and today I'm with Deepika and Anoosh,and today I'm with Deepika and Anoosh
5.609,17.75,and this is the podcast at the end of,and this is the podcast at the end of
4.019,21.08,the day do bar thank you so much for,the day do bar thank you so much for
3.42,23.359,being in our podcast thank you for,being in our podcast thank you for
3.871,25.099,inviting and I would also like to thank,inviting and I would also like to thank
3.9,26.779,the CUNY IBM Watson social impact,the CUNY IBM Watson social impact
3.6,28.97,challenge because it is through this,challenge because it is through this
4.411,30.679,challenge that I came to know about you,challenge that I came to know about you
5.46,32.57,so the bar before you came to the u.s.,so the bar before you came to the u.s.
5.519,35.09,from Costa Rica yes what were you doing,from Costa Rica yes what were you doing
5.4,38.03,professionally professionally I was a,professionally professionally I was a
5.641,40.609,mathematics teacher at an international,mathematics teacher at an international
6.92,43.43,school this is school actually is called,school this is school actually is called
7.829,46.25,sec as EK sandy stands now Kosuke has,sec as EK sandy stands now Kosuke has
6.88,50.35,different locations worldwide so i was,different locations worldwide so i was
4.771,54.079,the mathematics teacher for seven and,the mathematics teacher for seven and
5.25,57.23,eighth grade at the time at the age of,eighth grade at the time at the age of
8.25,58.85,22 you moved to the US yes I was about,22 you moved to the US yes I was about
6.93,62.48,22 years old I told my mom that I wanted,22 years old I told my mom that I wanted
8.52,67.1,to have some sort of adventure mm-hmm so,to have some sort of adventure mm-hmm so
8.04,69.41,and I basically took my things you know,and I basically took my things you know
6.29,75.62,and then I move here when I was about 22,and then I move here when I was about 22
7.83,77.45,years old my English was not very,years old my English was not very
5.5,81.91,good-looking as some people might say in,good-looking as some people might say in
4.74,85.28,the Spanish world which is quite,the Spanish world which is quite
6.0,87.41,interesting but I knew how to read I,interesting but I knew how to read I
7.65,90.02,knew how to write but listening and,knew how to write but listening and
7.05,93.41,especially speaking I had a very,especially speaking I had a very
5.25,97.67,difficult time when I arrived here right,difficult time when I arrived here right
5.25,100.46,and you speaking is back in Costa Rica,and you speaking is back in Costa Rica
6.57,102.92,as well when you were limited you know,as well when you were limited you know
7.8,105.71,like window house you know those kind of,like window house you know those kind of
6.96,109.49,things basic but when you have to make a,things basic but when you have to make a
5.67,113.51,sentence out of it or when someone is,sentence out of it or when someone is
6.57,116.45,asking you something you start making,asking you something you start making
7.53,119.18,translations in your mind and it takes,translations in your mind and it takes
6.54,123.02,time sometimes the sounds sound in a,time sometimes the sounds sound in a
5.639,126.71,different way and it's quite difficult,different way and it's quite difficult
4.53,129.56,sometimes to communicate especially when,sometimes to communicate especially when
3.991,132.349,you come in for the first time with no,you come in for the first time with no
3.869,134.09,proper no,proper no
4.59,136.34,knowledge of how to interact in that,knowledge of how to interact in that
6.0,137.959,sense yes so it's quite difficult as I,sense yes so it's quite difficult as I
6.24,140.93,said in your word you came here to to,said in your word you came here to to
4.621,143.959,have an adventure I remember I came out,have an adventure I remember I came out
2.819,147.17,of the airport and I started looking up,of the airport and I started looking up
3.51,148.58,looking for the buildings and I all I,looking for the buildings and I all I
3.36,149.989,saw were houses and I'm like I've been,saw were houses and I'm like I've been
4.229,152.09,seeing the wrong thing in the movies,seeing the wrong thing in the movies
6.061,153.349,then okay where was that which state did,then okay where was that which state did
5.161,156.319,you come oh I came to New Jersey yes yes,you come oh I came to New Jersey yes yes
6.049,159.41,what was your first job what is the,what was your first job what is the
6.6,161.48,experience like I remember it was very,experience like I remember it was very
4.5,165.459,difficult at the time I remembered that,difficult at the time I remembered that
4.56,168.08,I had to come and start you know working,I had to come and start you know working
5.351,169.959,fixing computers and then eventually,fixing computers and then eventually
5.31,172.64,working in restaurants flipping burgers,working in restaurants flipping burgers
4.769,175.31,you know I remember the first thing that,you know I remember the first thing that
5.97,177.95,they asked me to do was to sweep the,they asked me to do was to sweep the
