Duration,Start,Automated,Manual
4.629,2.75,hello I'm Craig and rocketry I'm an,hello I'm Craig and rocketry I'm an
5.299,5.13,attorney I practice law in New York City,attorney I practice law in New York City
5.461,7.379,for last 30 years I'm from Nepal,for last 30 years I'm from Nepal
4.66,10.429,originally and I came here many years,originally and I came here many years
5.279,12.84,back so I have a very interesting story,back so I have a very interesting story
7.621,15.089,to tell today I am with anujan Deepika,to tell today I am with anujan Deepika
7.261,18.119,in the podcast at the end of the day and,in the podcast at the end of the day and
4.26,22.71,by the way we must tell this Calandra,by the way we must tell this Calandra
5.37,25.38,actually has really interesting story,actually has really interesting story
4.83,26.97,because he is a trailblazer in a torn a,because he is a trailblazer in a torn a
3.0,30.75,feel for me please,feel for me please
4.05,31.8,American attorneys right if we can of,American attorneys right if we can of
5.399,33.75,course of course and then there's hardly,course of course and then there's hardly
7.049,35.85,any Nepalese in in the US or in New York,any Nepalese in in the US or in New York
6.121,39.149,who do not know Korean right so you were,who do not know Korean right so you were
2.82,42.899,a person he is a person who people like,a person he is a person who people like
3.3,45.27,us,us
5.131,45.719,highly look up to right and kokingo so,highly look up to right and kokingo so
4.14,48.57,let's let's hear story okay so you want,let's let's hear story okay so you want
5.07,50.85,the first new please American attorney,the first new please American attorney
5.25,52.71,in America how did you start I came here,in America how did you start I came here
5.58,55.92,to study law in the beginning when I'm,to study law in the beginning when I'm
6.269,57.96,very young 22 years old why and didn't,very young 22 years old why and didn't
5.34,61.5,know what was going on here actually,know what was going on here actually
4.261,64.229,this story was I didn't even know what,this story was I didn't even know what
3.93,66.84,was the weather like in New York when I,was the weather like in New York when I
5.37,68.49,came landed here on December 28th and,came landed here on December 28th and
4.919,70.77,then I was wearing a one you know you,then I was wearing a one you know you
4.079,73.86,know t-shirt type of thing and one,know t-shirt type of thing and one
4.951,75.689,jacket and when I came out of JFK,jacket and when I came out of JFK
8.101,77.939,Airport I saw a lot of snow outside and,Airport I saw a lot of snow outside and
6.78,80.64,that was in 1983 oh my god so so then I,that was in 1983 oh my god so so then I
3.18,86.04,realized that it's extremely cold,realized that it's extremely cold
4.68,87.42,outside then I went inside the terminal,outside then I went inside the terminal
4.5,89.22,I remember that and then I died because,I remember that and then I died because
3.0,92.1,what happened was that I had asked a,what happened was that I had asked a
3.63,93.72,friend of mine who had returned from,friend of mine who had returned from
6.78,95.1,California at that time what is the way,California at that time what is the way
6.54,97.35,that like he said it's beautiful so that,that like he said it's beautiful so that
3.779,101.88,was the information I had you know that,was the information I had you know that
3.36,103.89,information was very difficult that time,information was very difficult that time
3.871,105.659,we didn't have any internet we didn't,we didn't have any internet we didn't
4.799,107.25,have any it's such a phone call luxury,have any it's such a phone call luxury
4.199,109.53,like this no cell phone nothing so,like this no cell phone nothing so
5.161,112.049,basically there we were just on the,basically there we were just on the
5.731,113.729,basic cell for telephone calls and there,basic cell for telephone calls and there
4.409,117.21,was a very lack of information and I I,was a very lack of information and I I
5.369,119.46,came there and then I realized that I,came there and then I realized that I
7.021,121.619,was in the wrong time and wrong weather,was in the wrong time and wrong weather
6.24,124.829,so so that happened that and actually,so so that happened that and actually
3.98,128.64,then that time my you know plan was to,then that time my you know plan was to
3.92,131.069,study law in the USA,study law in the USA
4.38,132.62,and I had applied to different alloy,and I had applied to different alloy
6.091,134.989,schools at that time but I was still,schools at that time but I was still
7.26,137.0,selecting way to go and then when I went,selecting way to go and then when I went
4.799,141.08,to the the Illinois school that time,to the the Illinois school that time
4.14,144.26,they had invited me I went to see the,they had invited me I went to see the
4.981,145.879,Dean and then the Dean of Yale high,Dean and then the Dean of Yale high
5.369,148.4,school told me that all your you must be,school told me that all your you must be
5.459,150.86,very you know in the you know we are not,very you know in the you know we are not
6.3,153.769,waiting in a jacket you must be you know,waiting in a jacket you must be you know
6.39,156.319,freezing and then yeah I I told him that,freezing and then yeah I I told him that
4.591,160.069,yes I am so then after the meeting right,yes I am so then after the meeting right
6.06,162.709,after that I remember buying a jacket,after that I remember buying a jacket
6.689,164.66,outside the new heaven you know Street,outside the new heaven you know Street
4.771,168.769,so I kept that jacket for a long time as,so I kept that jacket for a long time as
3.871,171.349,a memory actually but I lost it now I,a memory actually but I lost it now I
3.93,173.54,don't know what it is in the course of,don't know what it is in the course of
4.29,175.22,movie but what I'm saying is that that,movie but what I'm saying is that that
4.89,177.47,was this in situation there there were,was this in situation there there were
5.789,179.51,no nepali and it was hard to find,no nepali and it was hard to find
4.98,182.36,anybody who spoke Nepali except few who,anybody who spoke Nepali except few who
5.731,185.299,were working at the United Nations and,were working at the United Nations and
5.399,187.34,the Nepal mission there and one time is,the Nepal mission there and one time is
4.53,191.03,very interesting that I found on one,very interesting that I found on one
5.34,192.739,Nepali looking guy on 6th Avenue when I,Nepali looking guy on 6th Avenue when I
4.95,195.56,was passing by and then I thought this,was passing by and then I thought this
3.69,198.079,guy must have been Nepali and I just,guy must have been Nepali and I just
3.629,200.51,went that he was a little you know,went that he was a little you know
5.101,201.769,service like Nepali a kind of height and,service like Nepali a kind of height and
4.261,204.139,then I said then I I said that even if,then I said then I I said that even if
3.63,206.87,he doesn't understand what's the matter,he doesn't understand what's the matter
4.949,208.4,I'll said in Nepali I said you know are,I'll said in Nepali I said you know are
5.34,210.5,you in Nepali and if and I was sure if,you in Nepali and if and I was sure if
4.2,213.349,he's in Nepali will reply to me and then,he's in Nepali will reply to me and then
3.959,215.84,when I said that he heard it and he,when I said that he heard it and he
3.0,217.549,turned around and said yeah I'm a Nepali,turned around and said yeah I'm a Nepali
2.641,219.799,sir,sir
4.5,220.549,so then you know he became a good friend,so then you know he became a good friend
6.12,222.44,of mine you know I still meet him I mean,of mine you know I still meet him I mean
5.461,225.049,he's an elderly person now and that was,he's an elderly person now and that was
4.89,228.56,then and then what happened was when I,then and then what happened was when I
4.589,230.51,was you know looking for the University,was you know looking for the University
3.629,233.45,and Columbia University had offered me,and Columbia University had offered me
4.29,235.099,admission and that time but I didn't,admission and that time but I didn't
4.171,237.079,have money to go and I you know I told,have money to go and I you know I told
4.261,239.389,the Dean that you know I I don't think I,the Dean that you know I I don't think I
5.459,241.25,can study because Juicin is very,can study because Juicin is very
5.699,243.65,expensive and you know almost the,expensive and you know almost the
6.051,246.709,courses are going to start so maybe I'll,courses are going to start so maybe I'll
5.79,249.349,have to go back to Nepal because the,have to go back to Nepal because the
5.259,252.76,financial situation is not there and,financial situation is not there and
4.53,255.139,then that then he told me you made,then that then he told me you made
4.411,258.019,already some friends here come back,already some friends here come back
6.311,259.669,tomorrow don't live we really wanted to,tomorrow don't live we really wanted to
6.73,262.43,be here and and they told me that,be here and and they told me that
5.48,265.98,so why don't you come tomorrow and see,so why don't you come tomorrow and see
4.53,269.16,what we can do we'll try to find some,what we can do we'll try to find some
4.3,271.46,oxygen you have a lot of oxygen in here,oxygen you have a lot of oxygen in here
3.96,273.69,you are in from Mount Everest Brawl you,you are in from Mount Everest Brawl you
3.75,275.76,don't have a lot of oxygen meaning that,don't have a lot of oxygen meaning that
3.9,277.65,you don't have a lot of money maybe,you don't have a lot of money maybe
4.53,279.51,we'll try to find something here right,we'll try to find something here right
4.11,281.55,so next day I went there and eventually,so next day I went there and eventually
4.44,284.04,they had made a decision that I was,they had made a decision that I was
5.88,285.66,given in a tuition waiver and then some,given in a tuition waiver and then some
7.74,288.48,stipend so that was the beginning of my,stipend so that was the beginning of my
7.86,291.54,in law school here and eventually you,in law school here and eventually you
5.25,296.22,know I I had to work my ways I know I,know I I had to work my ways I know I
4.86,299.4,mean during the class times also I was,mean during the class times also I was
4.32,301.47,doing my you know work in the libraries,doing my you know work in the libraries
3.81,304.26,and all of that that's how I studied,and all of that that's how I studied
4.44,305.79,basically here then I you know it,basically here then I you know it
4.86,308.07,started my legal journey here and it's,started my legal journey here and it's
4.41,310.23,20 you know completed my law school and,20 you know completed my law school and
5.13,312.93,in the life people make a lot of,in the life people make a lot of
5.58,314.64,decisions and they make in decision,decisions and they make in decision
4.44,318.06,making process D there are very,making process D there are very
5.37,320.22,difficult times when people have to,difficult times when people have to
4.77,322.5,really make even if they don't want to,really make even if they don't want to
4.8,325.59,but they are forced to make decisions so,but they are forced to make decisions so
4.5,327.27,that's what the pressure that makes you,that's what the pressure that makes you
3.66,330.39,know whether or not you are making right,know whether or not you are making right
4.56,331.77,decision or wrong decision so I think,decision or wrong decision so I think
5.16,334.05,that's how people some people who happen,that's how people some people who happen
5.76,336.33,to make a right decision and in the on,to make a right decision and in the on
4.86,339.21,the right time those are also lucky,the right time those are also lucky
4.86,342.09,people I think not everybody gets that,people I think not everybody gets that
5.04,344.07,so but I think at some point in the life,so but I think at some point in the life
