Duration,Start,Automated,Manual
4.579,0.97,[Music],[Music]
3.63,3.929,hey everyone my name is Dominic,hey everyone my name is Dominic
4.08,5.549,Mackenzie and I'm a native of the,Mackenzie and I'm a native of the
4.651,7.559,beautiful island of Jamaica living in,beautiful island of Jamaica living in
4.411,9.629,New York in the US for about six years,New York in the US for about six years
5.85,12.21,and I think I lose track it's been so,and I think I lose track it's been so
5.61,14.04,long and I'm with Deepika and energy and,long and I'm with Deepika and energy and
3.42,18.06,this is a podcast at the end of the day,this is a podcast at the end of the day
4.65,19.65,okay Dominic thank you so much for,okay Dominic thank you so much for
5.189,21.48,coming to our podcaster and and a quick,coming to our podcaster and and a quick
4.38,24.3,disclaimer to our audience dominic and I,disclaimer to our audience dominic and I
4.381,26.669,we went to same school same grad school,we went to same school same grad school
3.629,28.68,when I was when I graduated it was,when I was when I graduated it was
5.419,31.05,called CUNY Graduate School of,called CUNY Graduate School of
4.16,32.309,Journalism when you graduate school,Journalism when you graduate school
8.259,36.53,different yeah we serve in graduate,different yeah we serve in graduate
9.691,42.629,school student council yeah which you,school student council yeah which you
9.381,44.789,wear this - yeah he was much here um so,wear this - yeah he was much here um so
4.23,52.32,I did the Master of Arts in journalism,I did the Master of Arts in journalism
3.759,54.17,and then after that I was done I did the,and then after that I was done I did the
3.269,56.55,Advanced Certificate entrepreneurial,Advanced Certificate entrepreneurial
5.191,57.929,journalism graduate,journalism graduate
5.67,59.819,oh man I finished the MA in December of,oh man I finished the MA in December of
3.87,63.12,2018 mm-hmm and then finished the,2018 mm-hmm and then finished the
3.211,65.489,Advanced Certificate in May of this year,Advanced Certificate in May of this year
4.56,66.99,right right,right right
4.62,68.7,and do you have it I I would I would say,and do you have it I I would I would say
5.61,71.55,this thing like on the record you have a,this thing like on the record you have a
5.76,73.32,terrific career starting from Jamaica so,terrific career starting from Jamaica so
4.91,77.16,you were either an anchor reporter there,you were either an anchor reporter there
5.34,79.08,right yeah you came here went to school,right yeah you came here went to school
4.57,82.07,graduated and before graduation you were,graduated and before graduation you were
7.22,84.42,student speaker commencement speaker and,student speaker commencement speaker and
7.14,86.64,now you are an adjunct faculty yeah whoa,now you are an adjunct faculty yeah whoa
3.94,91.64,help me understand how helped me process,help me understand how helped me process
3.75,93.78,this yeah starting from the beginning I,this yeah starting from the beginning I
4.17,95.58,mean you know I'm not anywhere near,mean you know I'm not anywhere near
5.22,97.53,where I want to be my career but I think,where I want to be my career but I think
5.46,99.75,the biggest lesson that I learned was,the biggest lesson that I learned was
4.61,102.75,the power of volunteerism mm-hmm so when,the power of volunteerism mm-hmm so when
5.85,105.21,I first started out I had my first,I first started out I had my first
5.89,107.36,official job at my first job job at age,official job at my first job job at age
4.65,111.06,14 so I was hosting a TV show at a local,14 so I was hosting a TV show at a local
4.02,113.25,station really it was a volunteer yeah I,station really it was a volunteer yeah I
3.21,115.71,wasn't paid okay it's just something,wasn't paid okay it's just something
4.11,117.27,yeah it's just something that I loved I,yeah it's just something that I loved I
3.69,118.92,loved the idea of being on TV I had no,loved the idea of being on TV I had no
3.21,121.38,idea what the background work look like,idea what the background work look like
4.92,122.61,I said you know what let me try to,I said you know what let me try to
6.179,124.59,figure this out now um so I did that and,figure this out now um so I did that and
5.01,127.53,then when I started college it just so,then when I started college it just so
3.42,130.769,happened that that same TV show was on,happened that that same TV show was on
3.899,132.54,the station that's owned by the,the station that's owned by the
3.921,134.189,University like end up going to try so,University like end up going to try so
3.741,136.439,when I got to university they're like,when I got to university they're like
3.78,138.11,we already know you you already did all,we already know you you already did all
2.37,140.18,these years of you know some work with,these years of you know some work with
2.7,141.89,us,us
3.51,142.55,come on let's train you so I began,come on let's train you so I began
4.47,144.59,working there officially as a production,working there officially as a production
4.89,146.06,assistant mm-hmm and the good thing,assistant mm-hmm and the good thing
3.69,149.06,about that I was not being paid uh-huh,about that I was not being paid uh-huh
4.35,150.95,but the good thing about where I started,but the good thing about where I started
5.19,152.75,from was that I got to understand every,from was that I got to understand every
4.59,155.3,level of the media operation so I worked,level of the media operation so I worked
4.08,157.94,as a production assistant I'm an the,as a production assistant I'm an the
4.65,159.89,sound board in the recording studio I,sound board in the recording studio I
7.86,162.02,did you know I wrapped cables up,did you know I wrapped cables up
8.31,164.54,Iren around the camera I directed shoots,Iren around the camera I directed shoots
4.53,169.88,I don't know what there isn't I don't,I don't know what there isn't I don't
4.35,172.85,think I ran in a song boys for any major,think I ran in a song boys for any major
5.31,174.41,events okay long story short I,events okay long story short I
3.93,177.2,understood every rung of the ladder so,understood every rung of the ladder so
3.45,179.72,you were like a one-man band,you were like a one-man band
4.5,181.13,yeah so I ended up before I left Jamaica,yeah so I ended up before I left Jamaica
4.319,183.17,I was an anchor and reporter for both,I was an anchor and reporter for both
3.48,185.63,the TV and radio brands at the station,the TV and radio brands at the station
3.241,187.489,in Jamaica and that right now the radio,in Jamaica and that right now the radio
3.0,189.11,station is number seven in the country I,station is number seven in the country I
3.42,190.73,think they're like 20s,think they're like 20s
3.9,192.11,don't call me but there are a few more,don't call me but there are a few more
3.839,194.15,than seven channels in Jamaica and there,than seven channels in Jamaica and there
5.07,196.01,is no number seven on the on the list of,is no number seven on the on the list of
6.151,197.989,you know stations there so was a great,you know stations there so was a great
4.86,201.08,really good experience but with that,really good experience but with that
3.78,204.14,said what happened with me was even,said what happened with me was even
3.72,205.94,though I knew that TV and media was,though I knew that TV and media was
4.59,207.92,where I wanted to be mm-hm I ran away,where I wanted to be mm-hm I ran away
4.62,209.66,from getting formal training in it okay,from getting formal training in it okay
3.15,212.51,cuz I said you know how we're really,cuz I said you know how we're really
4.95,214.28,working in it why do I need to get a,working in it why do I need to get a
