Duration,Start,Automated,Manual
5.2,3.06,hi guys welcome to yet another episode,hi guys welcome to yet another episode
5.519,5.62,of our weekly podcast at the end of the,of our weekly podcast at the end of the
6.33,8.26,day and for those who are new to this,day and for those who are new to this
6.271,11.139,episode or to the show this is a weekly,episode or to the show this is a weekly
6.09,14.59,guide for new immigrants arriving in the,guide for new immigrants arriving in the
5.849,17.41,US and in today's show we will be,US and in today's show we will be
6.03,20.68,talking about making an academic career,talking about making an academic career
6.57,23.259,in the US and in order to do that I have,in the US and in order to do that I have
5.49,26.71,a news with me as always myself is the,a news with me as always myself is the
3.901,29.829,pker and then we have Larry Tong,pker and then we have Larry Tong
3.42,32.2,welcome to the show Larry yes well,welcome to the show Larry yes well
4.289,33.73,welcome to your College,welcome to your College
6.149,35.62,so I'll tell you a little bit about what,so I'll tell you a little bit about what
6.031,38.019,I do here in the Department of,I do here in the Department of
4.32,41.769,performing of Fine Arts this is my,performing of Fine Arts this is my
3.809,44.05,fourth year at York right but previously,fourth year at York right but previously
4.59,46.089,I've taught at Kane University in New,I've taught at Kane University in New
6.93,47.859,Jersey for 11 years so you have been in,Jersey for 11 years so you have been in
6.72,50.679,the US for 18 years right time flies yes,the US for 18 years right time flies yes
4.98,54.789,you were doing journalism back home in,you were doing journalism back home in
5.25,57.399,Taiwan you came here and you did your,Taiwan you came here and you did your
4.771,59.769,Master of Fine Arts in the US and then,Master of Fine Arts in the US and then
5.551,62.649,you also did a master's in journalism in,you also did a master's in journalism in
6.66,64.54,the US and how did you actually get into,the US and how did you actually get into
6.599,68.2,this teaching field it kind of happened,this teaching field it kind of happened
7.349,71.2,by accident mm-hmm although I would say,by accident mm-hmm although I would say
7.081,74.799,that I have I started teaching when I,that I have I started teaching when I
4.981,78.549,was very young I remember when I was 19,was very young I remember when I was 19
5.01,81.88,years old the first year of college I,years old the first year of college I
5.97,83.53,taught English to children in a wine,taught English to children in a wine
5.43,86.89,mm-hmm and so actually throughout my,mm-hmm and so actually throughout my
5.28,89.5,college career I've always worked as a,college career I've always worked as a
4.32,92.32,ESL teacher after the military service,ESL teacher after the military service
5.31,94.78,which is mandatory in Taiwan hmm I,which is mandatory in Taiwan hmm I
6.0,96.64,became a reporter also kinda by accident,became a reporter also kinda by accident
4.8,100.09,because I wasn't interesting journalism,because I wasn't interesting journalism
3.78,102.64,mm-hmm but I got a job at an,mm-hmm but I got a job at an
4.649,104.89,english-language newspaper in Taiwan,english-language newspaper in Taiwan
5.659,106.42,because I speak English so that's sort,because I speak English so that's sort
6.18,109.539,of how I started my career in journalism,of how I started my career in journalism
4.841,112.079,when I came to the US I did my Master of,when I came to the US I did my Master of
4.231,115.719,Fine Arts in television production,Fine Arts in television production
6.18,116.92,mm-hmm thinking that I would pursue a,mm-hmm thinking that I would pursue a
6.93,119.95,full-time career in journalism here but,full-time career in journalism here but
8.19,123.1,things didn't happen as I expected so,things didn't happen as I expected so
6.21,126.88,because here in the u.s. most media,because here in the u.s. most media
2.75,131.29,companies when you first starting out,companies when you first starting out
2.72,133.09,there,there
3.479,134.04,freelance paste right so I was a,freelance paste right so I was a
4.17,135.81,freelance production assistant for,freelance production assistant for
4.89,137.519,Tintin winds in the radio station here,Tintin winds in the radio station here
5.91,139.98,for a year and then my practical,for a year and then my practical
6.78,142.409,training expired mmm and I needed a work,training expired mmm and I needed a work
5.61,145.89,visa okay but the radio station wasn't,visa okay but the radio station wasn't
3.75,149.189,able to give me that mm-hmm so at the,able to give me that mm-hmm so at the
