Duration,Start,Automated,Manual
4.769,0.03,so don't be afraid to reach out and take,so don't be afraid to reach out and take
3.6,2.82,that step even though it's difficult,that step even though it's difficult
3.781,4.799,sometimes you know take that step,sometimes you know take that step
7.02,6.42,because that network of people it's,because that network of people it's
6.96,8.58,gonna be key hello my name is Maria,gonna be key hello my name is Maria
5.22,13.44,Peter of huayna in am a reporter on the,Peter of huayna in am a reporter on the
5.819,15.54,East End of Long Island I'm from Spain,East End of Long Island I'm from Spain
5.19,18.66,originally I've been in New York for 16,originally I've been in New York for 16
5.01,21.359,years and today I'm with a nose and,years and today I'm with a nose and
4.919,23.85,topeka in the podcast at the end of the,topeka in the podcast at the end of the
4.681,26.369,day thank you so much Maria for your,day thank you so much Maria for your
5.13,28.769,time and full disclosure,time and full disclosure
5.91,31.05,Maria and I we have known each other for,Maria and I we have known each other for
6.031,33.899,seven or eight months more I think all,seven or eight months more I think all
9.09,36.96,right yes yes and it took me around for,right yes yes and it took me around for
9.87,39.93,us to get you on this alone you're far,us to get you on this alone you're far
6.21,46.05,away from me so finally we're here yeah,away from me so finally we're here yeah
4.71,49.8,finally it happened yes very classy,finally it happened yes very classy
3.66,52.26,thank you very much for inviting me you,thank you very much for inviting me you
3.66,54.51,know you guys are doing great great,know you guys are doing great great
4.35,55.92,things together so I'm very glad to be a,things together so I'm very glad to be a
3.54,58.17,part of that today so I was talking to,part of that today so I was talking to
3.69,60.27,you over the phone and I was talking to,you over the phone and I was talking to
5.31,61.71,you over the email and you told me that,you over the email and you told me that
4.68,63.96,you were the only latina in Storybrooke,you were the only latina in Storybrooke
5.33,67.02,University when you were doing here on,University when you were doing here on
5.67,68.64,the red yes I graduated in 2011 from,the red yes I graduated in 2011 from
4.6,72.35,school of journalism in Stony Brook,school of journalism in Stony Brook
7.62,74.31,University and at that time I was the,University and at that time I was the
7.02,76.95,only latina that was in the program you,only latina that was in the program you
4.5,81.93,know my mother is from Colombia my,know my mother is from Colombia my
4.829,83.97,father is from Chile and I myself was,father is from Chile and I myself was
6.09,86.43,born in Spain but I always feel like,born in Spain but I always feel like
5.581,88.799,that Latino : connection and it was very,that Latino : connection and it was very
4.169,92.52,curious because you know not only was,curious because you know not only was
5.61,94.38,the only latina immigrant but I was an,the only latina immigrant but I was an
5.97,96.689,immigrant as well so it was kind of hard,immigrant as well so it was kind of hard
5.79,99.99,to connect with people sometimes because,to connect with people sometimes because
5.401,102.659,of that but at the same time I brought,of that but at the same time I brought
4.229,105.78,something different to the program and I,something different to the program and I
4.11,108.06,think that you know that that,think that you know that that
3.961,110.009,perspective was very important because,perspective was very important because
3.479,112.17,ie talked about like my stories were,ie talked about like my stories were
4.38,113.97,about immigrants or any other times in,about immigrants or any other times in
3.75,115.649,or immigration theme and that was,or immigration theme and that was
3.809,118.35,something that was different,something that was different
6.18,119.399,do you remember what specifically you,do you remember what specifically you
5.31,122.159,did so that you you know what is the,did so that you you know what is the
3.051,125.579,right word acclimatize yourself in the,right word acclimatize yourself in the
2.661,127.469,university I,university I
4.26,128.63,remember once I cooked like a Spanish,remember once I cooked like a Spanish
9.02,130.13,dish and bride to class this is like,dish and bride to class this is like
9.09,132.89,what we did in Spain that's interesting,what we did in Spain that's interesting
5.2,139.15,you came when you were in your nineteen,you came when you were in your nineteen
5.76,141.98,even 19 years old when it came to the US,even 19 years old when it came to the US
5.85,144.35,and as you were acclimatizing and you,and as you were acclimatizing and you
4.68,147.74,will as you were making friends in the,will as you were making friends in the
