Duration,Start,Automated,Manual
4.15,1.79,hi I'm Nara Roberta Silva I'm from,hi I'm Nara Roberta Silva I'm from
3.209,5.43,Brazil,Brazil
5.01,5.94,I've been in the US for our most 5 years,I've been in the US for our most 5 years
4.5,8.639,I am an adjunct professor at Lehman,I am an adjunct professor at Lehman
4.92,10.95,College and an academic advisor at the,College and an academic advisor at the
5.191,13.139,Brazilian foundation and today I am with,Brazilian foundation and today I am with
4.409,15.87,a nude and Deepika in the podcast at the,a nude and Deepika in the podcast at the
3.93,18.33,end of the day Nara thank you so much,end of the day Nara thank you so much
4.021,20.279,for your time as for being in the,for your time as for being in the
4.05,22.26,podcast thanks for having me I'm so,podcast thanks for having me I'm so
3.989,24.3,excited to have you because we're,excited to have you because we're
4.559,26.31,meeting after nearly two years mhm,meeting after nearly two years mhm
5.191,28.289,and just a quick disclosure Nara and I,and just a quick disclosure Nara and I
5.1,30.869,we made at this session called a lead,we made at this session called a lead
6.21,33.48,workshop right which was organized by,workshop right which was organized by
5.281,35.969,new women New Yorkers and NY and that's,new women New Yorkers and NY and that's
4.02,39.69,how we become friends yes,how we become friends yes
5.46,41.25,and I see over the over the period of,and I see over the over the period of
7.11,43.71,time you have you have grown up in terms,time you have you have grown up in terms
6.57,46.71,of your academic career right so that's,of your academic career right so that's
5.64,50.82,exactly what what we want to talk about,exactly what what we want to talk about
5.97,53.28,today so as an adjunct assistant,today so as an adjunct assistant
4.349,56.46,professor at Lehman College who do you,professor at Lehman College who do you
2.01,59.25,teach and what is the subject that you,teach and what is the subject that you
4.17,60.809,teach,teach
5.34,61.26,so I teach undergrads people who are in,so I teach undergrads people who are in
4.411,64.979,sociology major because I'm a,sociology major because I'm a
5.309,66.6,sociologist by training and also all,sociologist by training and also all
4.229,69.39,other students who are interested in,other students who are interested in
6.451,71.909,liberal arts because the courses are,liberal arts because the courses are
7.201,73.619,usually open so then I've had psychology,usually open so then I've had psychology
5.7,78.36,majors Social Work majors sometimes,majors Social Work majors sometimes
6.96,80.82,Business Administration English majors,Business Administration English majors
5.91,84.06,so it's very the range of people in,so it's very the range of people in
5.97,87.78,terms of majors in terms of training,terms of majors in terms of training
6.48,89.97,it's very you know broad so I teach,it's very you know broad so I teach
6.09,93.75,beginners I have all sociology theory,beginners I have all sociology theory
5.669,96.45,courses and I teach also social,courses and I teach also social
4.83,99.84,movements which is what I have done for,movements which is what I have done for
5.101,102.119,my PhD research and because of that I'm,my PhD research and because of that I'm
5.43,104.67,now opening up to this to more other,now opening up to this to more other
5.82,107.22,courses in social inequality right and,courses in social inequality right and
6.6,110.1,they're very also teacher in Brazil in,they're very also teacher in Brazil in
6.27,113.04,Brazil I was teaching more sociology,Brazil I was teaching more sociology
4.08,116.7,courses sociological theory courses and,courses sociological theory courses and
4.29,119.31,what are the major differences you found,what are the major differences you found
4.71,120.78,teaching in Brazil versus teaching in,teaching in Brazil versus teaching in
5.01,123.6,u.s. or especially in New York City I,u.s. or especially in New York City I
5.46,125.49,think here there is a stronger concern,think here there is a stronger concern
5.04,128.61,with applicability in making a,with applicability in making a
4.86,130.95,connection between,connection between
6.24,133.65,the concepts and what you see in your,the concepts and what you see in your
6.6,135.81,real life so here we are much more,real life so here we are much more
4.56,139.89,trained here we aren't expected to,trained here we aren't expected to
4.049,142.41,deliver to students a discussion like,deliver to students a discussion like
5.67,144.45,okay so how can you understand your,okay so how can you understand your
6.241,146.459,world around you and sometimes the,world around you and sometimes the
5.729,150.12,concepts they become much more of a tool,concepts they become much more of a tool
5.34,152.7,to understand what happens to you,to understand what happens to you
4.92,155.849,whereas sometimes in Brazil especially,whereas sometimes in Brazil especially
4.35,158.04,when you are teaching sociology majors,when you are teaching sociology majors
3.631,160.769,when you are talking with social,when you are talking with social
4.02,162.39,scientists that they have their,scientists that they have their
4.559,164.4,expectations to manage the concepts more,expectations to manage the concepts more
4.32,166.41,freely you know so I think the scope and,freely you know so I think the scope and
3.84,168.959,the focus of the classes should be,the focus of the classes should be
3.78,170.73,different and as a consequence the,different and as a consequence the
3.75,172.799,entire organization of the class is,entire organization of the class is
4.319,174.51,different I am here I'm much especially,different I am here I'm much especially
4.41,176.549,a Lehman College which is a teaching,a Lehman College which is a teaching
5.94,178.829,focused institution I'm much more,focused institution I'm much more
10.381,180.959,expected not only delivered lectures but,expected not only delivered lectures but
10.351,184.769,also doing more the group discussions,also doing more the group discussions
6.959,191.34,the student presentations they have like,the student presentations they have like
4.8,195.12,more visual resources I cannot go to a,more visual resources I cannot go to a
4.47,198.299,class and speak for three hours for,class and speak for three hours for
4.86,199.92,example you know I cannot do this,example you know I cannot do this
4.021,202.769,so as you navigate your way as you,so as you navigate your way as you
3.539,204.78,navigating your way towards academic,navigating your way towards academic
3.779,206.79,career especially when it comes to,career especially when it comes to
5.0,208.319,teaching is there someone you look up to,teaching is there someone you look up to
5.73,210.569,like who has been guiding you how to,like who has been guiding you how to
4.331,213.319,design your curriculum one of the things,design your curriculum one of the things
4.56,216.299,that I noticed throughout this five,that I noticed throughout this five
4.739,217.65,years that not only for academics but,years that not only for academics but
4.201,220.859,for everybody you should not have one,for everybody you should not have one
5.91,222.389,single mentor one person that is going,single mentor one person that is going
5.22,225.06,to be your go to the person who's gonna,to be your go to the person who's gonna
5.91,228.299,solve all your problems so throughout,solve all your problems so throughout
7.019,230.28,this years I have reached out to,this years I have reached out to
5.581,234.209,different people depending on the moment,different people depending on the moment
9.211,237.299,and depending on the kind of advice that,and depending on the kind of advice that
9.0,239.79,I needed so I've had I I have some great,I needed so I've had I I have some great
5.4,246.51,contacts here like people who can who,contacts here like people who can who
6.509,248.79,helped me out a lot in my research so,helped me out a lot in my research so
4.949,251.91,defining exactly what Israel having this,defining exactly what Israel having this
4.291,255.299,you know perception was this is very,you know perception was this is very
4.111,256.859,relevant this is not relevant or this is,relevant this is not relevant or this is
3.12,259.59,very interesting this is something that,very interesting this is something that
3.78,260.97,it might flourish here this is something,it might flourish here this is something
2.48,262.71,you can get some audience for this you,you can get some audience for this you
1.85,264.75,know kind,know kind
5.34,265.19,discussion but this discussion maybe,discussion but this discussion maybe
6.69,266.6,it's not that interesting there are,it's not that interesting there are
5.88,270.53,people that can help me out when I need,people that can help me out when I need
5.52,273.29,to think about my classes in the,to think about my classes in the
4.32,276.41,specifics so oh so what kind of,specifics so oh so what kind of
4.77,278.81,literature do you think is gonna it's,literature do you think is gonna it's
4.71,280.73,important for this course so what do you,important for this course so what do you
5.07,283.58,think you know do you know any court any,think you know do you know any court any
5.31,285.44,topic or any reading that I can you know,topic or any reading that I can you know
3.69,288.65,discuss this and this in this topic so,discuss this and this in this topic so
4.61,290.75,there are different people throughout,there are different people throughout
5.79,292.34,the years you know who helped me,the years you know who helped me
6.09,295.36,sometimes also like peers now it doesn't,sometimes also like peers now it doesn't
6.81,298.13,need to be necessarily like a senior,need to be necessarily like a senior
6.31,301.45,professor like senior professors or and,professor like senior professors or and
6.24,304.94,have been very important to me but my,have been very important to me but my
6.42,307.76,peers have also been you know extremely,peers have also been you know extremely
4.74,311.18,necessary before because sometimes you,necessary before because sometimes you
4.05,314.18,need someone to read your papers to like,need someone to read your papers to like
4.59,315.92,comment on your drafts or sometimes you,comment on your drafts or sometimes you
5.34,318.23,need an advice in terms of oh okay so if,need an advice in terms of oh okay so if
