Duration,Start,Automated,Manual
4.69,2.83,hey guys welcome to another episode of,hey guys welcome to another episode of
4.56,5.48,our weekly podcast at the end of the day,our weekly podcast at the end of the day
5.91,7.52,my name is deepika Resta and i am honest,my name is deepika Resta and i am honest
6.269,10.04,Appa and with us today is Serena privacy,Appa and with us today is Serena privacy
5.34,13.43,the CEO of WaterAid America talking a,the CEO of WaterAid America talking a
5.041,16.309,little about Serena she is originally,little about Serena she is originally
4.53,18.77,from Nepal she is a mother of two small,from Nepal she is a mother of two small
2.52,21.35,children she finished her high school in,children she finished her high school in
3.09,23.3,Nepal,Nepal
5.64,23.87,she did her BA in economics from Smith,she did her BA in economics from Smith
4.56,26.39,College Northam tanea two sets and she,College Northam tanea two sets and she
4.41,29.51,did her Masters of Science in,did her Masters of Science in
6.24,30.95,Development Studies so today we want to,Development Studies so today we want to
5.509,33.92,talk to Serena about her journey in the,talk to Serena about her journey in the
4.649,37.19,International Development profession and,International Development profession and
4.511,39.429,some of the key advice that she would,some of the key advice that she would
3.81,41.839,like to give to the new generations who,like to give to the new generations who
4.439,43.94,went who want to make a career in,went who want to make a career in
4.59,45.649,international development and are in the,international development and are in the
5.07,48.379,u.s. for those who do not know what,u.s. for those who do not know what
3.42,50.239,water it is what is water it great thank,water it is what is water it great thank
2.671,53.449,you,you
5.781,53.659,water eat is a global organization that,water eat is a global organization that
6.449,56.12,focuses on domestic clean drinking water,focuses on domestic clean drinking water
5.17,59.44,sanitation hygiene those are the things,sanitation hygiene those are the things
5.401,62.569,that are the basic foundations of life,that are the basic foundations of life
6.51,64.61,without which you can't have well-being,without which you can't have well-being
4.98,67.97,health it's the first step of getting,health it's the first step of getting
7.32,71.12,out of poverty so that's what we focus,out of poverty so that's what we focus
6.72,72.95,on right and as a CEO I see you know one,on right and as a CEO I see you know one
4.11,78.44,of the things that I love about my job,of the things that I love about my job
7.35,79.67,is that it can be very different there,is that it can be very different there
7.29,82.55,is no sort of set routine day okay so I,is no sort of set routine day okay so I
5.13,87.02,could have a day where I'm doing a lot,could have a day where I'm doing a lot
5.61,89.84,of meetings with external stakeholders I,of meetings with external stakeholders I
5.58,92.15,could be meeting with you know donors or,could be meeting with you know donors or
3.93,95.45,board members or I could be very lucky,board members or I could be very lucky
4.95,97.73,and be actually in one of the countries,and be actually in one of the countries
6.42,99.38,where we are doing the work so most,where we are doing the work so most
4.62,102.68,recently I was in Colombia where you,recently I was in Colombia where you
3.27,105.8,know I have the privilege of meeting,know I have the privilege of meeting
3.42,107.3,with the communities that were helping,with the communities that were helping
5.48,109.07,and understanding with them how the,and understanding with them how the
6.9,110.72,water and sanitation situation is going,water and sanitation situation is going
7.45,114.55,yeah so I sometimes I'm meeting with our,yeah so I sometimes I'm meeting with our
6.48,117.62,team members and helping them so I get,team members and helping them so I get
5.94,122.0,have a lot of variety in my day which I,have a lot of variety in my day which I
6.96,124.1,enjoy how where did you start your,enjoy how where did you start your
4.45,127.94,career in what role my professional,career in what role my professional
2.98,131.06,career in Internet,career in Internet
4.98,132.39,development I would say started with an,development I would say started with an
5.43,134.04,internship like most people do yeah an,internship like most people do yeah an
5.16,137.37,internship in Washington DC I had just,internship in Washington DC I had just
4.95,139.47,graduated from college I was trying to,graduated from college I was trying to
4.23,142.53,figure out what I was gonna do next,figure out what I was gonna do next
3.93,144.42,and I had an internship with an,and I had an internship with an
5.85,146.76,organization called action against,organization called action against
6.96,148.35,hunger that was the very beginning my,hunger that was the very beginning my
6.51,152.61,first actual job was I was the bus,first actual job was I was the bus
5.34,155.31,monitor in my school bus and my job was,monitor in my school bus and my job was
3.35,159.12,to make sure that all the kids didn't,to make sure that all the kids didn't
4.62,160.65,put their hands outside of the windows,put their hands outside of the windows
5.53,162.47,they behaved and that everybody listened,they behaved and that everybody listened
6.39,165.27,to the bus driver and that was my first,to the bus driver and that was my first
7.019,168.0,job that I got paid for writing dancing,job that I got paid for writing dancing
5.76,171.66,what it paid on how was that it had a,what it paid on how was that it had a
5.101,175.019,modest stipend no I don't think I could,modest stipend no I don't think I could
5.069,177.42,call it paid okay but I did get,call it paid okay but I did get
4.53,180.12,something yeah it helped me with maybe,something yeah it helped me with maybe
5.701,182.489,my transportation and maybe a little bit,my transportation and maybe a little bit
5.73,184.65,of food allowance at the time I lived in,of food allowance at the time I lived in
5.67,188.19,Washington DC in a house that I shared,Washington DC in a house that I shared
5.52,190.38,with five roommates oh and you know now,with five roommates oh and you know now
3.75,193.86,I look back on it it was like one of the,I look back on it it was like one of the
7.71,195.9,best times of life but at that time,best times of life but at that time
8.27,197.61,maybe I would but that was the beginning,maybe I would but that was the beginning
5.61,203.61,and it was like how many many people in,and it was like how many many people in
5.889,205.88,this profession start they start with an,this profession start they start with an
7.109,209.22,internship with you know sometimes paid,internship with you know sometimes paid
5.431,211.769,sometimes not paid and a lot of it was,sometimes not paid and a lot of it was
3.181,216.329,learning by doing,learning by doing
5.19,217.2,uh-huh you know you study something but,uh-huh you know you study something but
5.31,219.51,in particularly in this line of work I,in particularly in this line of work I
5.37,222.39,feel like you study and that gives you a,feel like you study and that gives you a
4.65,224.82,theoretical basis but a lot of the job,theoretical basis but a lot of the job
4.28,227.76,you you learn on the job and you learn,you you learn on the job and you learn
6.57,229.47,from other people who are kind enough to,from other people who are kind enough to
5.59,232.04,teach you or take you with them or you,teach you or take you with them or you
3.18,236.04,know just take you under their wing and,know just take you under their wing and
2.76,237.63,you you learned along the way,you you learned along the way
3.48,239.22,good job has given you the best,good job has given you the best
4.59,240.39,experience so far off getting that,experience so far off getting that
5.67,242.7,opportunity to learn and grow in the job,opportunity to learn and grow in the job
