Duration,Start,Automated,Manual
5.29,1.85,hi I'm Nora Mirren currently I work for,hi I'm Nora Mirren currently I work for
4.53,5.279,the United Nations Development Program,the United Nations Development Program
5.19,7.14,here in New York originally from,here in New York originally from
4.921,9.809,Bangladesh I moved to the United States,Bangladesh I moved to the United States
5.61,12.33,about two two-and-a-half years back,about two two-and-a-half years back
6.48,14.73,since then I've been working here today,since then I've been working here today
4.98,17.94,I'm with anujan Topeka in the podcast at,I'm with anujan Topeka in the podcast at
3.42,21.21,the end of the day all right thank you,the end of the day all right thank you
3.81,22.92,so much for being in the podcast my,so much for being in the podcast my
4.17,24.63,pleasure thanks for having yeah and,pleasure thanks for having yeah and
4.35,26.73,you're just a new mother new mom you,you're just a new mother new mom you
4.919,28.8,just had a baby congratulations on that,just had a baby congratulations on that
5.639,31.08,as well I think you so much how does it,as well I think you so much how does it
6.27,33.719,feel to be your mother it's a beautiful,feel to be your mother it's a beautiful
5.941,36.719,beautiful madness a lot of it is so,beautiful madness a lot of it is so
4.5,39.989,unpredictable and of course you're,unpredictable and of course you're
4.2,42.66,experiencing everything everything,experiencing everything everything
5.57,44.489,there's a it's its first for everything,there's a it's its first for everything
5.4,46.86,that the baby does very unpredictable,that the baby does very unpredictable
4.421,50.059,unpredictable but I wouldn't trade it,unpredictable but I wouldn't trade it
3.75,52.26,for anything else in the world it's been,for anything else in the world it's been
3.93,54.48,a beautiful couple of months every,a beautiful couple of months every
4.5,56.01,morning I would give the baby we named,morning I would give the baby we named
4.32,58.41,him is on so I would just give it unto,him is on so I would just give it unto
5.64,60.51,my mom and catch up on some sleep it,my mom and catch up on some sleep it
5.37,62.73,wasn't ideal I wasn't getting my seven,wasn't ideal I wasn't getting my seven
3.93,66.15,to eight hours sleep which I usually am,to eight hours sleep which I usually am
4.8,68.1,very strict about like I like to get my,very strict about like I like to get my
5.64,70.08,hours of sleep but things are things are,hours of sleep but things are things are
5.46,72.9,better now what does a son mean well we,better now what does a son mean well we
4.77,75.72,got it out of the Quran in in context in,got it out of the Quran in in context in
4.71,78.36,the Quranic context it means someone who,the Quranic context it means someone who
5.309,80.49,who follows is I mean someone who's,who follows is I mean someone who's
4.53,83.07,obedient to allah and prophet in the,obedient to allah and prophet in the
3.21,85.799,introduction you said that you have been,introduction you said that you have been
3.3,87.6,here for nearly two and half years in,here for nearly two and half years in
3.811,89.009,the US and still you were already in the,the US and still you were already in the
5.25,90.9,UN job how did you crack that job I,UN job how did you crack that job I
5.909,92.82,actually moved here with the job okay so,actually moved here with the job okay so
5.64,96.15,after my graduate studies I studied in,after my graduate studies I studied in
6.39,98.729,London I went back to Bangladesh it's,London I went back to Bangladesh it's
6.0,101.79,actually a pretty funny story it just it,actually a pretty funny story it just it
5.36,105.119,just happened to be so that I was,just happened to be so that I was
5.82,107.79,visiting my brewer here in New York and,visiting my brewer here in New York and
5.381,110.479,I just thought of taking the opportunity,I just thought of taking the opportunity
4.56,113.61,to meet a few people from my University,to meet a few people from my University
5.1,115.86,a few of my alumni to see what they're,a few of my alumni to see what they're
4.739,118.17,doing and the university I went to I was,doing and the university I went to I was
5.13,120.96,there hundred and first batch which,there hundred and first batch which
5.201,122.909,meant we had a lot of alumni who were,meant we had a lot of alumni who were
3.76,126.09,already in New York or in the United,already in New York or in the United
5.01,128.11,it's so hunting people on LinkedIn,it's so hunting people on LinkedIn
5.31,129.85,actually happened to bump into a few who,actually happened to bump into a few who
5.7,133.12,were with UNDP who had done the same,were with UNDP who had done the same
5.37,135.16,program as me so I had I had a target at,program as me so I had I had a target at
3.21,138.82,that point I was already job hunting and,that point I was already job hunting and
3.99,140.53,my target was to reach out to as many,my target was to reach out to as many
4.68,142.03,people as I could but of course after a,people as I could but of course after a
3.66,144.52,while I realized just blankly doing it,while I realized just blankly doing it
3.93,146.71,didn't make sense they had to be a,didn't make sense they had to be a
4.47,148.18,common connection and I settled for,common connection and I settled for
4.98,150.64,either at the Bangladeshi connection or,either at the Bangladeshi connection or
9.18,152.65,ii was an alum of the universities i've,ii was an alum of the universities i've
7.77,155.62,been - okay and i ended up writing to a,been - okay and i ended up writing to a
4.92,161.83,person who's a very good friend of mine,person who's a very good friend of mine
5.22,163.39,and a colleague at this point and i,and a colleague at this point and i
3.989,166.75,wanted to meet him for coffee to just,wanted to meet him for coffee to just
4.62,168.61,hear about the work he does and to be,hear about the work he does and to be
4.591,170.739,very honest unity peace huge idea i had,very honest unity peace huge idea i had
5.46,173.23,very little idea of what this department,very little idea of what this department
5.4,175.33,does was very lucky to meet him we had,does was very lucky to meet him we had
4.29,178.69,coffee we had a chat about what he does,coffee we had a chat about what he does
4.92,180.73,so he was doing policy work at UNDP at,so he was doing policy work at UNDP at
4.68,182.98,that point and we kept in touch we kept,that point and we kept in touch we kept
3.96,185.65,in touch I had already gone back to,in touch I had already gone back to
3.69,187.66,Bangladesh this one morning I woke up,Bangladesh this one morning I woke up
4.439,189.61,and I got a whatsapp message for him,and I got a whatsapp message for him
4.38,191.35,saying his his team would be including I,saying his his team would be including I
5.401,194.049,said if you're still interested look,said if you're still interested look
6.35,195.73,look at the open positions so that's how,look at the open positions so that's how
5.37,199.45,I ended up applying for the job and,I ended up applying for the job and
5.469,202.08,eventually making it here so it was it,eventually making it here so it was it
6.66,204.82,was a bit of incidence and but I guess,was a bit of incidence and but I guess
6.931,207.549,for me the lesson from this was you,for me the lesson from this was you
7.069,211.48,really don't know who will be able to,really don't know who will be able to
6.33,214.48,help you but I think what's important is,help you but I think what's important is
4.121,218.549,asking for help is always very difficult,asking for help is always very difficult
3.3,220.81,and this is something that began I have,and this is something that began I have
4.26,222.67,chatted about it's very difficult,chatted about it's very difficult
5.07,224.11,something sometimes it affects your,something sometimes it affects your
6.15,226.93,sense of self respect it's you don't,sense of self respect it's you don't
5.49,229.18,want to go and annoy people true but at,want to go and annoy people true but at
4.68,233.08,the same time there are a lot of people,the same time there are a lot of people
5.67,234.67,out there who who like to mentor young,out there who who like to mentor young
6.03,237.76,people there's this mentorship angle in,people there's this mentorship angle in
5.31,240.34,a lot of people so I think it's it's,a lot of people so I think it's it's
4.46,243.79,useful to find a common connection and,useful to find a common connection and
6.059,245.65,reach out to people and just to even,reach out to people and just to even
5.32,248.25,invest in like a coffee for an hour with,invest in like a coffee for an hour with
4.111,251.709,the person even if you don't end up,the person even if you don't end up
4.409,253.57,getting that job you have you build a,getting that job you have you build a
4.52,255.82,connection and that's always good for me,connection and that's always good for me
3.701,257.979,that's how I think my move to New York,that's how I think my move to New York
5.24,260.34,fortunately has,fortunately has
7.29,261.68,quite easy I have bumped into people,quite easy I have bumped into people
6.149,265.58,where it's bit it required months of,where it's bit it required months of
4.319,268.97,searching for a job it wasn't always,searching for a job it wasn't always
3.631,271.729,because they didn't have the right skill,because they didn't have the right skill
3.75,273.289,set it was probably that the matchup,set it was probably that the matchup
3.779,275.36,didn't happen I think they probably had,didn't happen I think they probably had
4.5,277.039,aspirational roles that they wanted and,aspirational roles that they wanted and
4.021,279.139,people some people are very strict about,people some people are very strict about
4.47,281.539,it like they would only move to a job,it like they would only move to a job
5.46,283.16,because that's what they want to do for,because that's what they want to do for
6.931,286.009,me I think it was it was a coincidence,me I think it was it was a coincidence
6.21,288.62,it happened to work out and yeah I've,it happened to work out and yeah I've
4.14,292.94,been I've moved here for the job and,been I've moved here for the job and
