Duration,Start,Automated,Manual
5.249,2.85,hi i'm wendy garcia and i'm the new york,hi i'm wendy garcia and i'm the new york
4.159,5.52,city's chief diversity officer for new,city's chief diversity officer for new
4.86,8.099,york city comptroller Scott stringer,york city comptroller Scott stringer
5.801,9.679,today I am with the new SH and Topeka on,today I am with the new SH and Topeka on
5.491,12.959,the podcast at the end of the day when,the podcast at the end of the day when
6.48,15.48,I'm really curious to know when you say,I'm really curious to know when you say
5.669,18.45,you are the chief diversity officer what,you are the chief diversity officer what
5.549,21.96,do you actually do that is a great,do you actually do that is a great
5.341,24.119,question you know my position the reason,question you know my position the reason
4.471,27.509,that's a good question is because my,that's a good question is because my
5.16,29.46,position is actually a new position it,position is actually a new position it
4.04,31.98,was it is a role that was created by the,was it is a role that was created by the
4.29,34.62,New York City controller Scott stringer,New York City controller Scott stringer
5.65,36.02,about five years ago and the concept,about five years ago and the concept
5.52,38.91,behind it is to ask one hard question,behind it is to ask one hard question
5.76,41.67,how is the city doing with women and,how is the city doing with women and
5.429,44.43,minorities across the board are we doing,minorities across the board are we doing
4.89,47.43,business with them are we hiring them,business with them are we hiring them
4.5,49.859,are we making sure that our rules and,are we making sure that our rules and
4.86,52.32,our regulations and then the policies,our regulations and then the policies
3.901,54.359,that we pass are reflective of New York,that we pass are reflective of New York
4.05,57.18,City mm-hmm,City mm-hmm
4.799,58.26,so what we did when we came in is that,so what we did when we came in is that
5.07,61.23,the controller sat us down and said look,the controller sat us down and said look
5.7,63.059,I want to answer the question I want to,I want to answer the question I want to
5.4,66.3,look at city agencies and see whether,look at city agencies and see whether
6.36,68.759,they are doing business with women and,they are doing business with women and
6.12,71.7,minorities okay so you know we we took a,minorities okay so you know we we took a
5.401,75.119,bunch of agencies there were about 32 of,bunch of agencies there were about 32 of
4.89,77.82,them and we started grading them on,them and we started grading them on
6.05,80.52,whether they were doing business with,whether they were doing business with
6.24,82.71,what we call mwbes we use that language,what we call mwbes we use that language
4.99,86.57,women and minority-owned business,women and minority-owned business
4.739,88.95,enterprises yes a lot of what we did is,enterprises yes a lot of what we did is
5.4,91.56,that every year now we put out a,that every year now we put out a
6.661,93.689,publication that highlights whether,publication that highlights whether
6.299,96.96,these 32 city agencies are doing,these 32 city agencies are doing
5.1,100.35,business and out of the city's 19,business and out of the city's 19
7.261,103.259,billion dollars we found that only five,billion dollars we found that only five
8.099,105.45,percent was going to mwbes to women and,percent was going to mwbes to women and
7.349,110.52,minority enterprises now in a city where,minority enterprises now in a city where
6.78,113.549,eighty percent of New York is women and,eighty percent of New York is women and
5.191,117.869,minority and only five percent are,minority and only five percent are
5.091,120.329,getting contracts mm-hmm what do you,getting contracts mm-hmm what do you
4.62,123.06,think that highlights a major,think that highlights a major
5.89,125.42,discrimination gaps and I think for the,discrimination gaps and I think for the
6.63,127.68,listeners wondering how do you create a,listeners wondering how do you create a
5.13,131.31,role like this how do you do this job,role like this how do you do this job
4.53,134.31,and really hold people,and really hold people
4.32,136.44,unableto what we're doing is making sure,unableto what we're doing is making sure
4.35,138.84,that we use the powers of the,that we use the powers of the
4.77,140.76,controllers office not just to push this,controllers office not just to push this
5.45,143.19,issue but to hold the city accountable,issue but to hold the city accountable
5.07,145.53,around it we graded the agencies and,around it we graded the agencies and
4.27,148.64,they got a degrade,they got a degrade
4.65,150.6,what does those grading signify to,what does those grading signify to
5.13,152.91,agencies if they are degraded what does,agencies if they are degraded what does
7.38,155.25,that entail well um a little bit of,that entail well um a little bit of
7.26,158.04,embarrass eyes that know I actually Oh,embarrass eyes that know I actually Oh
5.07,162.63,joke society what it entails for our,joke society what it entails for our
4.83,165.3,office what we do is that we look at,office what we do is that we look at
5.58,167.7,every single check that the city,every single check that the city
6.27,170.13,produces we take that and we asked one,produces we take that and we asked one
6.33,173.28,question did that check go to a women a,question did that check go to a women a
5.49,176.4,woman enterprise or did it go to was,woman enterprise or did it go to was
5.55,179.61,categorized as a minority okay in the,categorized as a minority okay in the
5.64,181.89,city we take that and then we put it up,city we take that and then we put it up
4.26,185.16,against the city's rules and regulations,against the city's rules and regulations
3.81,187.53,what already exists and we say hey,what already exists and we say hey
4.74,189.42,there's this law that exists that's,there's this law that exists that's
4.23,191.34,called local law one you have certain,called local law one you have certain
3.93,194.16,percentages that you have to do with,percentages that you have to do with
6.66,195.57,African Americans with Hispanics with,African Americans with Hispanics with
6.869,198.09,Asians with women if we have these,Asians with women if we have these
4.89,202.23,percentages that already exist then the,percentages that already exist then the
5.041,204.959,main question is are we meeting those,main question is are we meeting those
5.25,207.12,goals so there's a legislation now that,goals so there's a legislation now that
4.08,210.0,says you have to have an X percent with,says you have to have an X percent with
4.589,212.37,a specific industry within a specific,a specific industry within a specific
6.09,214.08,and ethnicity and then we take all that,and ethnicity and then we take all that
5.071,216.959,data we run it together and what we find,data we run it together and what we find
4.08,220.17,is that they're not meeting the goals,is that they're not meeting the goals
6.239,222.03,and they're not meeting the goals with,and they're not meeting the goals with
6.209,224.25,any ethnicity and so the the truth,any ethnicity and so the the truth
4.201,228.269,behind this is is that pervasive,behind this is is that pervasive
5.461,230.459,discrimination has happened way before,discrimination has happened way before
5.88,232.47,we were all born in the context of,we were all born in the context of
6.24,235.92,racialized America I think we can all,racialized America I think we can all
5.43,238.35,agree that systemic racism doesn't just,agree that systemic racism doesn't just
5.46,242.16,happen when you're walking in the street,happen when you're walking in the street
6.81,243.78,it happens inside of the halls of,it happens inside of the halls of
6.03,247.62,government and you know my role is to,government and you know my role is to
5.01,250.59,make sure that that there is racial,make sure that that there is racial
6.48,253.65,equity inside of the halls of government,equity inside of the halls of government
6.63,255.6,and that anything anything outside of,and that anything anything outside of
4.23,260.13,that should not be able to exist so we,that should not be able to exist so we
5.34,262.23,have to reform language to make sure,have to reform language to make sure
4.97,264.36,that city agencies can not only do,that city agencies can not only do
4.58,267.57,business better with,business better with
6.03,269.33,mwbes with women and minority,mwbes with women and minority
6.449,272.15,enterprises but that MW bees have access,enterprises but that MW bees have access
6.989,275.36,to government because we're the majority,to government because we're the majority
6.06,278.599,of the city it is a very challenging,of the city it is a very challenging
4.44,282.349,task that you are entrusted with and as,task that you are entrusted with and as
5.73,284.659,a child of an immigrant family from,a child of an immigrant family from
5.551,286.789,Dominican Republic if you were born in,Dominican Republic if you were born in
4.731,290.389,the u.s. you were brought up in the US,the u.s. you were brought up in the US
6.93,292.34,but as a child of an immigrant family,but as a child of an immigrant family
6.37,295.12,now working as chief diversity officer,now working as chief diversity officer
4.26,299.27,you know like this transition it is very,you know like this transition it is very
3.929,301.49,interesting to me how do you feel about,interesting to me how do you feel about
8.669,303.53,that what does this mean to you oh you,that what does this mean to you oh you
10.351,305.419,know I'm dominicana and I was born and,know I'm dominicana and I was born and
5.97,312.199,raised in Washington Heights and that,raised in Washington Heights and that
4.619,315.77,for many New Yorkers means that you're,for many New Yorkers means that you're
3.84,318.169,Dominican you're American you're,Dominican you're American you're
3.0,320.389,Dominican you're American and there's,Dominican you're American and there's
4.891,322.009,this constant back and forth from,this constant back and forth from
5.821,323.389,whether you're either or or both I I am,whether you're either or or both I I am
5.34,326.9,just as much Dominican as I am American,just as much Dominican as I am American
7.109,329.21,I think most first-generation immigrants,I think most first-generation immigrants
5.729,332.24,feel that way as well and I think most,feel that way as well and I think most
3.481,336.319,people who come from other countries,people who come from other countries
4.44,337.969,feel that way right you come to this,feel that way right you come to this
4.56,339.8,country and you love this country just,country and you love this country just
3.361,342.409,as much as you love the country that you,as much as you love the country that you
4.619,344.36,were born and I don't think I think,were born and I don't think I think
6.63,345.77,that's the human story behind the beauty,that's the human story behind the beauty
6.541,348.979,of participating in democracies and,of participating in democracies and
