Duration,Start,Automated,Manual
5.17,2.81,hi guys welcome to yet another episode,hi guys welcome to yet another episode
4.981,5.339,of our weekly podcast at the end of the,of our weekly podcast at the end of the
4.5,7.98,day and for those who are very new this,day and for those who are very new this
4.71,10.32,is a weekly guide for the newly arriving,is a weekly guide for the newly arriving
5.79,12.48,immigrants in the US and we bring you,immigrants in the US and we bring you
6.06,15.03,new episode every Sunday so as always I,new episode every Sunday so as always I
6.24,18.27,am the PCAST Rasta and I am aa newstapa,am the PCAST Rasta and I am aa newstapa
5.429,21.09,and with us today is alias guru alias,and with us today is alias guru alias
2.82,24.51,welcome to our podcast thank you thank,welcome to our podcast thank you thank
4.68,26.519,you for having me,you for having me
6.6,27.33,so areas is from Ethiopia and he is the,so areas is from Ethiopia and he is the
6.811,31.199,co-owner of cafe Bunny and booney coffee,co-owner of cafe Bunny and booney coffee
6.059,33.93,in Manhattan in New York and areas has,in Manhattan in New York and areas has
4.83,38.01,been in the US for the last 7 and 1/2,been in the US for the last 7 and 1/2
5.521,39.989,years we will be talking about how Elias,years we will be talking about how Elias
5.94,42.84,has introduced Ethiopian coffee culture,has introduced Ethiopian coffee culture
6.36,45.51,in the u.s. in New York specifically and,in the u.s. in New York specifically and
6.48,48.78,how he is using this culture from,how he is using this culture from
3.869,51.87,Ethiopia to create a business in New,Ethiopia to create a business in New
2.67,55.26,York,York
4.951,55.739,in an interview to The Guardian food you,in an interview to The Guardian food you
5.49,57.93,said everyone knows it Opia for famine,said everyone knows it Opia for famine
6.03,60.69,and starvation but you wanted to change,and starvation but you wanted to change
6.18,63.42,people's mind by introducing European,people's mind by introducing European
4.92,66.72,coffee so what exactly you know maybe,coffee so what exactly you know maybe
3.96,69.6,you realize that you could start selling,you realize that you could start selling
3.9,71.64,European coffee in New York you know,European coffee in New York you know
6.11,73.56,people about it yet they when they hear,people about it yet they when they hear
7.8,75.54,this like in the Western media what they,this like in the Western media what they
4.21,79.67,famine in the problem you know civil,famine in the problem you know civil
3.569,83.34,wars,wars
5.64,83.88,all those kind of things but of course,all those kind of things but of course
6.53,86.909,those are reality you can see that right,those are reality you can see that right
7.62,89.52,but we will see also the country also,but we will see also the country also
5.981,93.439,the beautiful side actually it's like,the beautiful side actually it's like
4.619,97.14,you know much better side of that that,you know much better side of that that
5.01,99.42,one but the problem is we don't have,one but the problem is we don't have
5.581,101.759,enough people or maybe we are not good,enough people or maybe we are not good
5.91,104.43,enough to express that and take out and,enough to express that and take out and
5.43,107.34,tell that the truth in the reality the,tell that the truth in the reality the
7.099,110.34,beauty of the country when you plan to,beauty of the country when you plan to
8.879,112.77,move to the US me and Serena my wife we,move to the US me and Serena my wife we
7.21,117.439,we said you know we should do something,we said you know we should do something
4.47,121.649,about it European and I know I mean it's,about it European and I know I mean it's
3.15,124.649,not a new thing about like you know to,not a new thing about like you know to
3.87,126.119,bring it European coffee and sell it to,bring it European coffee and sell it to
4.191,127.799,the US market but at least you know I,the US market but at least you know I
4.581,129.989,can do something my part,can do something my part
4.83,131.99,I do that if I trying to tell like you,I do that if I trying to tell like you
3.69,134.57,know this is if you coffee you know the,know this is if you coffee you know the
3.42,136.82,finest coffee in the or let the,finest coffee in the or let the
4.83,138.26,birthplace of coffee you know there is,birthplace of coffee you know there is
5.01,140.24,with coffees like you know comes from,with coffees like you know comes from
4.41,143.09,the beginning and that's the idea of,the beginning and that's the idea of
6.12,145.25,like you know this small coffee shops,like you know this small coffee shops
