Duration,Start,Automated,Manual
6.93,2.78,hi I'm avi Nosa I'm from Nepal I came to,hi I'm avi Nosa I'm from Nepal I came to
5.431,6.529,this country in 2015 June currently I am,this country in 2015 June currently I am
5.58,9.71,working as a a drunk assistant professor,working as a a drunk assistant professor
6.27,11.96,at York College the City University of,at York College the City University of
6.239,15.29,New York today I'm here with a news and,New York today I'm here with a news and
5.4,18.23,Deepika in their podcast at the end of,Deepika in their podcast at the end of
4.221,21.529,the day thank you so much Dean for this,the day thank you so much Dean for this
5.93,23.63,wonderful introduction thank you so much,wonderful introduction thank you so much
7.18,25.75,and talking more about being UDT a PhD,and talking more about being UDT a PhD
5.499,29.56,in India and again you came here and did,in India and again you came here and did
3.84,32.93,your masters like I don't understand,your masters like I don't understand
4.711,35.059,this help help us understand and when I,this help help us understand and when I
5.129,36.77,came here in 2015 so after that he still,came here in 2015 so after that he still
5.25,39.77,I was thinking like I need to develop my,I was thinking like I need to develop my
6.18,41.899,career in academic line here also so,career in academic line here also so
5.34,45.02,immediately what I what I third are what,immediately what I what I third are what
4.89,48.079,I suggested like there is a one way like,I suggested like there is a one way like
4.859,50.36,you could teach in high school so I,you could teach in high school so I
4.921,52.969,process for that one and I work as a,process for that one and I work as a
5.281,55.219,substitute teacher for Department of,substitute teacher for Department of
5.25,57.89,Education and I taught through academic,Education and I taught through academic
4.47,60.5,year in the Quincy schools and at the,year in the Quincy schools and at the
5.49,63.14,mean time I was applying for other jobs,mean time I was applying for other jobs
6.12,64.97,and I was fortunately like I was called,and I was fortunately like I was called
4.86,68.63,for one interview and in that interview,for one interview and in that interview
5.04,71.09,like and they told me like you have lots,like and they told me like you have lots
4.14,73.49,of experiences everything but only one,of experiences everything but only one
5.099,76.13,thing is missing that is like you know,thing is missing that is like you know
5.01,77.63,we didn't see any academic culture like,we didn't see any academic culture like
3.511,81.229,on the understanding of all the,on the understanding of all the
4.71,82.64,experiences of academic culture in the,experiences of academic culture in the
4.65,84.74,United States so after us yeah because,United States so after us yeah because
3.39,87.35,like this it like precisely there they,like this it like precisely there they
4.08,89.39,say like like for example how the,say like like for example how the
4.379,90.74,classes goes on and most important thing,classes goes on and most important thing
4.53,93.47,is like how do you take the examination,is like how do you take the examination
4.621,95.119,like probably like you are from Nepal,like probably like you are from Nepal
3.659,98.0,that means you might have a centralized,that means you might have a centralized
4.379,99.74,examination system so you may see that,examination system so you may see that
3.931,101.659,in further like the one exam at the end,in further like the one exam at the end
4.981,104.119,of the year but we don't have these,of the year but we don't have these
5.76,105.59,things and they suggested me to go to,things and they suggested me to go to
4.949,109.1,the CUNY professionally state school and,the CUNY professionally state school and
5.46,111.35,take like sort courses of like one,take like sort courses of like one
4.86,114.049,semester of nine credit like and what I,semester of nine credit like and what I
4.32,116.81,thought after that if I have to go to,thought after that if I have to go to
4.35,118.909,school that means why not I should take,school that means why not I should take
3.449,121.13,one academic degree that means like if I,one academic degree that means like if I
3.631,123.259,have at least at the end of the year I,have at least at the end of the year I
3.421,124.579,have I would have one academic degree,have I would have one academic degree
3.959,126.89,right so that counts,right so that counts
5.58,128.0,so I joined that one was there any kind,so I joined that one was there any kind
5.491,130.849,of hesitation because you were in India,of hesitation because you were in India
4.83,133.58,Chemical your be on master's degree,Chemical your be on master's degree
4.44,136.34,I didn't feel like that because what I,I didn't feel like that because what I
4.26,138.41,did is like here like we didn't have,did is like here like we didn't have
4.14,140.78,such types of reseed like a master's,such types of reseed like a master's
3.78,142.67,program here because like most of my,program here because like most of my
5.46,144.92,colleagues like they were the PhD,colleagues like they were the PhD
5.97,146.45,scholar so and the classes classes also,scholar so and the classes classes also
4.05,150.38,like we can choose the classes so what I,like we can choose the classes so what I
3.899,152.42,did is like this class is what I don't,did is like this class is what I don't
4.139,154.43,know about the things for example I,know about the things for example I
4.411,156.319,studied like urban power public policy,studied like urban power public policy
5.341,158.569,of the United States similarly like the,of the United States similarly like the
5.43,160.73,American social and cultural theories,American social and cultural theories
4.5,163.91,such types of classes like I choose so,such types of classes like I choose so
4.38,166.16,that which are really new for example I,that which are really new for example I
4.26,168.41,took one classes of sociology of New,took one classes of sociology of New
4.11,170.54,York City in the same way like my,York City in the same way like my
4.95,172.67,classes were diverse and particular it,classes were diverse and particular it
5.04,174.65,you they are focusing on the,you they are focusing on the
5.67,177.62,socio-economic and political situation,socio-economic and political situation
6.75,179.69,or so other sociological perception of,or so other sociological perception of
5.37,183.29,all these urban and the pop or run,all these urban and the pop or run
3.57,186.44,places of the United States so like it,places of the United States so like it
3.21,188.66,was quite interesting because though I,was quite interesting because though I
3.57,190.01,am taking and the classes of master's,am taking and the classes of master's
3.63,191.87,degree but I didn't feel because I'm,degree but I didn't feel because I'm
3.42,193.58,just always what I am feeling is I'm,just always what I am feeling is I'm
4.739,195.5,learning more about the United States,learning more about the United States
5.34,197.0,interesting so all those times you're,interesting so all those times you're
5.101,200.239,just trying to find a way yeah exactly,just trying to find a way yeah exactly
5.97,202.34,exactly because always like what I'm,exactly because always like what I'm
5.85,205.34,thinking like I have to work in the,thinking like I have to work in the
5.01,208.31,academic line so how could I go how,academic line so how could I go how
3.93,211.19,could I for example like most of the,could I for example like most of the
3.66,213.32,people this is like the degrees from the,people this is like the degrees from the
