Duration,Start,Automated,Manual
4.99,3.14,hi guys welcome to yet another episode,hi guys welcome to yet another episode
4.919,5.64,of our weekly podcast at the end of the,of our weekly podcast at the end of the
5.129,8.13,day this is a weekly guide for the newly,day this is a weekly guide for the newly
4.981,10.559,arriving immigrants in the US and I am,arriving immigrants in the US and I am
5.461,13.259,the PCAST roster and I am on a stop on,the PCAST roster and I am on a stop on
5.79,15.54,with us today we have David came on he,with us today we have David came on he
5.04,18.72,is a cloud system engineer at cloud,is a cloud system engineer at cloud
4.11,21.33,reach company David welcome to our,reach company David welcome to our
2.13,23.76,podcast thank you thank you for having,podcast thank you thank you for having
4.83,25.44,me,me
7.349,25.89,so David is 23 years old and David his,so David is 23 years old and David his
5.04,30.27,family is actually from Belarus tell us,family is actually from Belarus tell us
3.891,33.239,briefly about what is the office to what,briefly about what is the office to what
4.47,35.31,cause muslims engineers do is basically,cause muslims engineers do is basically
4.75,37.13,modernize IT infrastructure to be,modernize IT infrastructure to be
3.83,39.78,consult for companies that want to have,consult for companies that want to have
4.92,41.88,a piece of this modernization,a piece of this modernization
5.28,43.61,revolutionary and we help them adopt,revolutionary and we help them adopt
4.47,46.8,transform and modernize their,transform and modernize their
4.24,48.89,infrastructure right and by the way he,infrastructure right and by the way he
4.2,51.27,was telling me that he attended one of,was telling me that he attended one of
4.5,53.13,the one of the I think it was a panel,the one of the I think it was a panel
3.96,55.47,discussion organized by this,discussion organized by this
4.74,57.63,organization called find spark this is,organization called find spark this is
5.759,59.43,actually what made me approach you for,actually what made me approach you for
5.489,62.37,this podcast you told as a,this podcast you told as a
4.021,65.189,first-generation immigrant I went,first-generation immigrant I went
4.8,67.859,through the phase where I did not know,through the phase where I did not know
5.219,69.21,who to ask for so this quote that you,who to ask for so this quote that you
4.651,72.659,stated during the panel discussion is,stated during the panel discussion is
4.8,74.429,what touched me so actually just walk us,what touched me so actually just walk us
4.229,77.31,through your experience yes that yeah,through your experience yes that yeah
4.35,79.229,it's definitely a challenge you know,it's definitely a challenge you know
3.9,81.539,especially when you're a trailblazer,especially when you're a trailblazer
3.54,83.579,especially when you you your parents,especially when you you your parents
3.24,85.439,don't know what's going on right it's,don't know what's going on right it's
3.84,87.119,one thing to have your parents go into,one thing to have your parents go into
4.23,88.679,University and don't like taking exams,University and don't like taking exams
4.29,90.959,and all that kind of stuff and schooling,and all that kind of stuff and schooling
4.23,92.909,in in in the Soviet Union and pelorus,in in in the Soviet Union and pelorus
5.61,95.249,was very very different you know you,was very very different you know you
4.951,97.139,have 11 grades first of all you you have,have 11 grades first of all you you have
3.661,100.859,different everyone knows each other,different everyone knows each other
5.909,102.09,right this is a city of 8 million people,right this is a city of 8 million people
5.61,104.52,but bubblers for from much less much,but bubblers for from much less much
3.271,107.999,smaller than that I think the whole,smaller than that I think the whole
4.29,110.13,country has less than 8 million to,country has less than 8 million to
4.65,111.27,people um so it's it's definitely a,people um so it's it's definitely a
3.659,114.42,challenge if you don't have to rely on,challenge if you don't have to rely on
4.559,115.92,people anymore that's the thing that is,people anymore that's the thing that is
5.34,118.079,so amazing about technology is the,so amazing about technology is the
3.851,120.479,internet connects computers and,internet connects computers and
2.381,123.419,information,information
3.54,124.33,and the informations out there you just,and the informations out there you just
5.61,125.8,have to be confident confident with,have to be confident confident with
5.16,127.87,looking at looking it up I say for one,looking at looking it up I say for one
3.69,131.41,thing my mother is more confident,thing my mother is more confident
3.81,133.03,comfortable asking people she calls her,comfortable asking people she calls her
3.36,135.1,friends like what do we do where do we,friends like what do we do where do we
3.33,136.84,live you know where are you going to,live you know where are you going to
5.34,138.46,vacation things like that,vacation things like that
5.52,140.17,my generation you're more likely to go,my generation you're more likely to go
3.81,143.8,on the internet ask Google like what's a,on the internet ask Google like what's a
3.87,145.69,good vacation spot,good vacation spot
3.84,147.61,you know who's going to this school like,you know who's going to this school like
4.95,149.56,using social media to figure out you,using social media to figure out you
5.4,151.45,know what kind of what exams you need to,know what kind of what exams you need to
5.58,154.51,take to get into certain high schools or,take to get into certain high schools or
6.66,156.85,universities so it's it's it's,universities so it's it's it's
5.25,160.09,definitely it's definitely a change and,definitely it's definitely a change and
3.96,163.51,where you get your information from and,where you get your information from and
4.29,165.34,I was lucky enough to be born into the,I was lucky enough to be born into the
5.54,167.47,information age right you know the,information age right you know the
5.34,169.63,dot-com boom and bust in 2000 and,dot-com boom and bust in 2000 and
3.64,173.01,computers started getting more really,computers started getting more really
3.66,174.97,available I remember going to the,available I remember going to the
4.38,176.65,library to you know look up you know,library to you know look up you know
5.22,178.63,books I needed to read for a certain for,books I needed to read for a certain for
4.94,181.03,middle school looking up the textbooks I,middle school looking up the textbooks I
5.19,183.85,would have to look at more information,would have to look at more information
4.39,185.97,outside of you know the things that are,outside of you know the things that are
4.38,189.04,written in the books that will have to,written in the books that will have to
5.28,190.36,read so finding information just takes a,read so finding information just takes a
3.36,193.42,little bit of extra steps like going to,little bit of extra steps like going to
3.47,195.64,the library if you don't have access to,the library if you don't have access to
5.76,196.78,a computer or good broadband internet,a computer or good broadband internet
6.31,199.11,investing in Internet is a big thing,investing in Internet is a big thing
4.25,202.54,I mean it's really important to be able,I mean it's really important to be able
3.45,205.42,to have access to all this information,to have access to all this information
3.669,206.79,for example even the simplest things,for example even the simplest things
3.839,208.87,like you know how do you apply for a,like you know how do you apply for a
3.931,210.459,Social Security benefits how do you,Social Security benefits how do you
3.601,212.709,apply for a green card how do you apply,apply for a green card how do you apply
3.599,214.39,for such there food stamps I mean also,for such there food stamps I mean also
3.959,216.31,this information is there,this information is there
5.011,217.989,people just have to go look at it and,people just have to go look at it and
4.921,220.269,you know even though some people feel,you know even though some people feel
4.5,223.0,confident or comfortable asking people,confident or comfortable asking people
4.11,225.19,you don't always have to rely on that,you don't always have to rely on that
2.81,227.5,you had there's more sources of,you had there's more sources of
2.84,229.3,information out there,information out there
4.47,230.31,and they've been has there been any,and they've been has there been any
4.83,232.14,incidents where you couldn't find,incidents where you couldn't find
3.929,234.78,anything on Google because Google is a,anything on Google because Google is a
