Duration,Start,Automated,Manual
3.46,2.51,everyone this is on the label with,everyone this is on the label with
3.54,4.41,immigration my podcast I am an,immigration my podcast I am an
4.35,5.97,immigration activist storyteller a,immigration activist storyteller a
5.01,7.95,mentor and a package producer and I am,mentor and a package producer and I am
4.529,10.32,here today with news typica from the,here today with news typica from the
3.96,12.96,podcast acting of the day we're all,podcast acting of the day we're all
4.68,14.849,doing a lot of great work on immigration,doing a lot of great work on immigration
5.43,16.92,and storytelling and thank you so much,and storytelling and thank you so much
5.971,19.529,for being in our podcast thank you and I,for being in our podcast thank you and I
5.88,22.35,really appreciate your on a podcaster a,really appreciate your on a podcaster a
5.039,25.5,storyteller a mentor you seem to be a,storyteller a mentor you seem to be a
4.259,28.23,young guy who everyone wants to be today,young guy who everyone wants to be today
3.751,30.539,in today's would like every young one,in today's would like every young one
4.081,32.489,every young guy wants to be a person,every young guy wants to be a person
4.38,34.29,like you a mentor a storyteller because,like you a mentor a storyteller because
5.489,36.57,that sounds really cool I really,that sounds really cool I really
8.31,38.67,appreciate that compliment so handle,appreciate that compliment so handle
7.291,42.059,let's start this interview with a short,let's start this interview with a short
4.98,46.98,intro about your podcast so what is your,intro about your podcast so what is your
7.4,49.35,part is about so my podcast is called,part is about so my podcast is called
9.93,51.96,immigration Mike I started I started in,immigration Mike I started I started in
6.85,56.75,2015 2016 and it's really about people,2015 2016 and it's really about people
7.14,61.89,telling their stories their personal,telling their stories their personal
8.07,63.6,stories and you know what the anecdote,stories and you know what the anecdote
4.44,69.03,the anecdotes that they want to share,the anecdotes that they want to share
2.67,71.67,when it comes to the fight for,when it comes to the fight for
3.0,73.47,immigration,immigration
6.209,74.34,now I know you know in listening to your,now I know you know in listening to your
11.6,76.47,podcast and I believe you guys have done,podcast and I believe you guys have done
9.841,80.549,well in 68 be cool yes but the thing is,well in 68 be cool yes but the thing is
5.259,88.07,you know in listening to your podcast,you know in listening to your podcast
5.13,90.39,like I hear the complexities I hear you,like I hear the complexities I hear you
4.891,93.329,know the passion that people have the,know the passion that people have the
5.19,95.52,Entrepreneurship and so I believe that,Entrepreneurship and so I believe that
4.88,98.22,your podcast focuses on a different part,your podcast focuses on a different part
5.339,100.71,of the immigration system in my focus,of the immigration system in my focus
4.99,103.1,and so when I found you guys on LinkedIn,and so when I found you guys on LinkedIn
4.021,106.049,I thought you must have an immigration,I thought you must have an immigration
