Duration,Start,Automated,Manual
6.85,2.73,hi my name is I come rubus vez I'm from,hi my name is I come rubus vez I'm from
7.5,6.79,Bangladesh I would prefer to call me cam,Bangladesh I would prefer to call me cam
7.59,9.58,I have moved to America in 2013 today,I have moved to America in 2013 today
4.16,14.29,I'm here to speak to some wonderful,I'm here to speak to some wonderful
3.53,17.17,people so I would like to introduce,people so I would like to introduce
4.66,18.45,Deepika and,Deepika and
4.3,20.7,thank you so much oh my god there are,thank you so much oh my god there are
9.629,23.11,such a great introduction to our podcast,such a great introduction to our podcast
10.649,25.0,and tell us when did you come to America,and tell us when did you come to America
6.241,32.739,well I moved from my mother's to America,well I moved from my mother's to America
5.461,35.649,in June 2013 mm-hmm,in June 2013 mm-hmm
4.23,38.98,and then what were you doing in,and then what were you doing in
4.5,41.11,Bangladesh during those times back home,Bangladesh during those times back home
4.97,43.21,I was actually working for another Asian,I was actually working for another Asian
5.12,45.61,company who is apparently the biggest,company who is apparently the biggest
6.73,48.18,telecommunication provider in Bangladesh,telecommunication provider in Bangladesh
6.04,50.73,that was called Grameen Phone and the,that was called Grameen Phone and the
3.96,54.91,parent company was called Telenor you,parent company was called Telenor you
3.87,56.77,came here in 2013 and when did you get,came here in 2013 and when did you get
3.75,58.87,here first professional job as a banker,here first professional job as a banker
6.81,60.64,which you are doing right now I started,which you are doing right now I started
7.47,62.62,my career in banking in 2015 I think yes,my career in banking in 2015 I think yes
6.06,67.45,that was 2015 that actually I started my,that was 2015 that actually I started my
6.36,70.09,journey as a professional banker when I,journey as a professional banker when I
7.35,73.51,first moved out here I was doing,first moved out here I was doing
7.83,76.45,different jobs here and there but that,different jobs here and there but that
6.06,80.86,was just to start with and as you know,was just to start with and as you know
4.68,84.28,that those are jobs not a career the,that those are jobs not a career the
3.54,86.92,surviving jobs so the surviving which we,surviving jobs so the surviving which we
5.31,88.96,all you guys go through right absolutely,all you guys go through right absolutely
8.159,90.46,so in my in my mind I always wanted a,so in my in my mind I always wanted a
6.72,94.27,career not a job so I wanted to find out,career not a job so I wanted to find out
6.091,98.619,something that is actually related to my,something that is actually related to my
6.69,100.99,previous work experience and as a new,previous work experience and as a new
4.56,104.71,immigrant in this country there was a,immigrant in this country there was a
2.759,107.68,lot of challenges that we had to go,lot of challenges that we had to go
3.54,109.27,through like all of us who are,through like all of us who are
3.841,110.439,immigrants here we all know that we have,immigrants here we all know that we have
4.11,112.81,to go through there are so many barriers,to go through there are so many barriers
4.11,114.28,like your your language is one your,like your your language is one your
3.059,116.92,previous work experience and,previous work experience and
5.03,118.39,synchronizing all these with the,synchronizing all these with the
6.18,119.979,requirements of these current employers,requirements of these current employers
7.269,123.42,it's it's a big challenge but apparently,it's it's a big challenge but apparently
6.42,126.159,I guess I went through damn how many job,I guess I went through damn how many job
3.38,130.689,interviews did you go through before you,interviews did you go through before you
4.19,132.579,got into this,got into this
6.54,134.069,particular job that well in that case I,particular job that well in that case I
5.761,136.769,would have to say I was lucky it was my,would have to say I was lucky it was my
3.901,140.609,first interview that they really liked,first interview that they really liked
2.879,142.53,me and they offered me the position what,me and they offered me the position what
3.209,144.51,held you back,held you back
4.681,145.409,you came in 2039 you who got this job in,you came in 2039 you who got this job in
5.011,147.719,2015 what was holding you back in,2015 what was holding you back in
5.069,150.09,between well moving into a new country,between well moving into a new country
4.56,152.73,getting to know the environment the,getting to know the environment the
3.961,155.159,requirements that job fails it's,requirements that job fails it's
5.009,157.29,especially Bangladesh being a,especially Bangladesh being a
4.92,159.12,third-world country we have all those,third-world country we have all those
6.3,162.299,social media brought everything together,social media brought everything together
7.199,164.04,but at the same time you know the the,but at the same time you know the the
6.06,168.599,background the way you present yourself,background the way you present yourself
4.98,171.239,the way you switch from one place to,the way you switch from one place to
4.2,174.659,another one getting to know the,another one getting to know the
4.2,176.219,requirement the trends all these were,requirement the trends all these were
3.99,178.859,holding me back and at the same time,holding me back and at the same time
4.621,180.419,when I was doing some jobs I actually,when I was doing some jobs I actually
6.09,182.849,prepared myself I used to look at,prepared myself I used to look at
6.809,185.04,different employment opportunities that,different employment opportunities that
4.47,188.939,actually inspired me to mold myself,actually inspired me to mold myself
3.47,191.849,according to requirements of this,according to requirements of this
5.491,193.409,country can you be more specific about,country can you be more specific about
6.07,195.319,the preparation you did you know to in,the preparation you did you know to in
5.519,198.9,order to get this job in my life I have,order to get this job in my life I have
5.34,201.389,set for many in a real job areas and I,set for many in a real job areas and I
7.891,204.419,have taken all so many job interviews so,have taken all so many job interviews so
7.29,206.729,my basic training I would say it's,my basic training I would say it's
3.09,212.31,actually not for me I was suggested to,actually not for me I was suggested to
3.571,214.019,anyone who's like sitting for job,anyone who's like sitting for job
4.079,215.4,interview is when you're sitting for a,interview is when you're sitting for a
5.369,217.59,job interview you make sure that you,job interview you make sure that you
5.76,219.479,read the requirements very well like,read the requirements very well like
5.37,222.959,what are they actually asking for and,what are they actually asking for and
5.31,225.239,then you correlate that with your,then you correlate that with your
5.101,228.329,experience the experience that you have,experience the experience that you have
6.44,230.549,I mean for me I used to work in sales,I mean for me I used to work in sales
6.239,233.43,and now I'm a banker I mean this is,and now I'm a banker I mean this is
5.17,236.989,absolutely like a flip side of the coin,absolutely like a flip side of the coin
5.49,239.669,you can say but this big career switch,you can say but this big career switch
5.271,242.159,happened only because I could relate my,happened only because I could relate my
4.26,245.159,experience previous experiences and,experience previous experiences and
3.639,247.43,correlate them with with the,correlate them with with the
4.74,249.419,requirements of the financial institute,requirements of the financial institute
5.681,251.069,and that actually helped me out like if,and that actually helped me out like if
5.89,254.159,you if you have to give an example,you if you have to give an example
5.4,256.75,like demonstrate what what are some of,like demonstrate what what are some of
4.051,260.049,the transferable skills that you had,the transferable skills that you had
3.99,262.15,back there in sales profession right,back there in sales profession right
