Duration,Start,Automated,Manual
5.02,2.82,hey everyone welcome to another episode,hey everyone welcome to another episode
3.69,5.59,of our podcast at the end of the day,of our podcast at the end of the day
3.78,7.84,this is me on newstapa,this is me on newstapa
4.44,9.28,and this is me deepika truster this is,and this is me deepika truster this is
3.81,11.62,this podcast is a weekly guide for the,this podcast is a weekly guide for the
5.37,13.72,newly arriving immigrants in the u.s.,newly arriving immigrants in the u.s.
5.88,15.43,and with us today is Carlos P Beltran,and with us today is Carlos P Beltran
3.99,19.09,Carlos welcome to our podcast thank you,Carlos welcome to our podcast thank you
3.63,21.31,carlos has produced stories for major,carlos has produced stories for major
3.539,23.08,media outlets like the National,media outlets like the National
5.31,24.94,Geographic Discovery Communications,Geographic Discovery Communications
5.881,26.619,al-jazeera Univision MSNBC and many more,al-jazeera Univision MSNBC and many more
5.46,30.25,and right now he produces stories for,and right now he produces stories for
6.03,32.5,NBC left field which is NBC universes,NBC left field which is NBC universes
4.47,35.71,documentary unit so Carlos is a,documentary unit so Carlos is a
4.02,38.53,multimedia journalist and he is,multimedia journalist and he is
3.87,40.18,originally from Caracas Venezuela you,originally from Caracas Venezuela you
3.39,42.55,studied journalism and mass,studied journalism and mass
4.41,44.05,communications from the University of,communications from the University of
3.93,45.94,Kansas 2009 right and then you were here,Kansas 2009 right and then you were here
3.66,48.46,for a while and then you went back home,for a while and then you went back home
3.99,49.87,and now you have been working in the,and now you have been working in the
3.42,52.12,journalism profession in the US for the,journalism profession in the US for the
3.66,53.86,last three years yeah great,last three years yeah great
6.3,55.54,so in today's podcast we are going to,so in today's podcast we are going to
6.18,57.52,talk about how to get inspired by I,talk about how to get inspired by I
3.179,61.84,believe that our conversation will be,believe that our conversation will be
3.209,63.7,really helpful to the aspiring,really helpful to the aspiring
4.561,65.019,journalists in the US and by the way,journalists in the US and by the way
4.801,66.909,color the region why we chose this topic,color the region why we chose this topic
4.05,69.58,is we were researching about you,is we were researching about you
5.1,71.71,obviously that's what is only stew and,obviously that's what is only stew and
5.7,73.63,then we stumbled upon a blog on your,then we stumbled upon a blog on your
5.19,76.81,blog site which was titled how to get,blog site which was titled how to get
5.789,79.33,inspired right I was in Brooklyn and my,inspired right I was in Brooklyn and my
5.7,82.0,favorite dive bar close to like 5 or 6,favorite dive bar close to like 5 or 6
5.101,85.119,p.m. and I think it must have been,p.m. and I think it must have been
4.14,87.7,around that time and I was looking for,around that time and I was looking for
3.93,90.22,stories I was looking for stories I was,stories I was looking for stories I was
4.349,91.84,at that time doing stories for the New,at that time doing stories for the New
5.789,94.15,York Post about three years ago I think,York Post about three years ago I think
6.421,96.189,and I had spent the day just walking,and I had spent the day just walking
4.441,99.939,around Bushwick and Brooklyn high just,around Bushwick and Brooklyn high just
3.54,102.61,around the Brooklyn area trying to find,around the Brooklyn area trying to find
3.54,104.38,interesting characters and all the,interesting characters and all the
4.859,106.15,sudden I just stopped for a beer at this,sudden I just stopped for a beer at this
4.98,107.92,place and it just I don't know I guess I,place and it just I don't know I guess I
3.451,111.009,was pushing myself to try and see well,was pushing myself to try and see well
3.87,112.9,what else can I do to actually find this,what else can I do to actually find this
5.519,114.46,story and then very soon I heard people,story and then very soon I heard people
7.11,116.77,talking and one of them was a an artist,talking and one of them was a an artist
7.611,119.979,a a guy who made a living from drawing,a a guy who made a living from drawing
5.939,123.88,the covers of many of the cheesiest,the covers of many of the cheesiest
4.119,127.59,romantic novels that you find on the,romantic novels that you find on the
5.31,129.819,airport or whatnot so I met that guy,airport or whatnot so I met that guy
4.951,131.709,there so again that and I thought well I,there so again that and I thought well I
3.631,135.129,have so many people asking me how its,have so many people asking me how its
3.93,136.66,get inspired I'm not saying to go get,get inspired I'm not saying to go get
3.3,138.76,drunk at a bar at 5:00 you know on a,drunk at a bar at 5:00 you know on a
4.14,140.59,Friday night or out of Thursday and,Friday night or out of Thursday and
4.26,142.06,Thursday afternoon but just listening to,Thursday afternoon but just listening to
4.79,144.73,be bought a place where they're you know,be bought a place where they're you know
7.02,146.32,just talking you know inhibit Lee I,just talking you know inhibit Lee I
6.13,149.52,thought that was pretty funny and then,thought that was pretty funny and then
4.68,153.34,that same I think in that blog I tell,that same I think in that blog I tell
4.17,155.65,people to go for a run they do the,people to go for a run they do the
3.36,158.02,opposite either go for a run and I'll,opposite either go for a run and I'll
3.12,159.82,get things moving in your head and,get things moving in your head and
3.69,161.38,that's great for ideas I find some of my,that's great for ideas I find some of my
4.38,162.94,best ideas over there but if not just go,best ideas over there but if not just go
3.81,165.07,to a bar as I have to be in Brooklyn and,to a bar as I have to be in Brooklyn and
3.6,167.32,then just you know have a drink and,then just you know have a drink and
4.56,168.88,listen to people I'd usually strike up,listen to people I'd usually strike up
4.77,170.92,conversations very easily with people at,conversations very easily with people at
3.84,173.44,bars it's just very unpretentious it,bars it's just very unpretentious it
4.14,175.69,just flows and then you can ask people,just flows and then you can ask people
3.99,177.28,can tell people I'm a journalist for,can tell people I'm a journalist for
3.24,179.83,stories you know and then they'll,stories you know and then they'll
3.03,181.27,everybody has a story they'll want to,everybody has a story they'll want to
3.57,183.07,tell you about this friend of a friend,tell you about this friend of a friend
3.57,184.3,of a friend who does something and maybe,of a friend who does something and maybe
2.64,186.64,if you're lucky they'll have a story,if you're lucky they'll have a story
3.42,187.87,that you can just grasp onto and tell,that you can just grasp onto and tell
4.08,189.28,how do you start the conversation,how do you start the conversation
4.11,191.29,they are very I mean the thing is also,they are very I mean the thing is also
3.39,193.36,depends on your personality right like,depends on your personality right like
2.73,195.4,the first thing that I say is not ham a,the first thing that I say is not ham a
2.19,196.75,journalist I'm looking for stories,journalist I'm looking for stories
4.38,198.13,what's your story,what's your story
5.76,198.94,I mean I've I think last time before,I mean I've I think last time before
4.68,202.51,then I started a conversation with with,then I started a conversation with with
4.59,204.7,a veteran it was Veterans Day and you,a veteran it was Veterans Day and you
3.66,207.19,know the guy had a patch and you know,know the guy had a patch and you know
2.91,209.29,I'm like well thank you for you know,I'm like well thank you for you know
2.76,210.85,your service and everything can I buy,your service and everything can I buy
3.3,212.2,your next beer although thank you like,your next beer although thank you like
3.78,213.61,and then he asks me a question and then,and then he asks me a question and then
3.63,215.5,very soon strike up a conversation I,very soon strike up a conversation I
3.15,217.39,mean it just again it's very difficult,mean it just again it's very difficult
3.39,219.13,for me to tell you how to begin a,for me to tell you how to begin a
4.29,220.54,conversation with a stranger to a bar,conversation with a stranger to a bar
6.0,222.52,because there's no formula if you are an,because there's no formula if you are an
6.27,224.83,amicable nice you know you know friendly,amicable nice you know you know friendly
5.1,228.52,human being then most likely you know,human being then most likely you know
6.27,231.1,it'll happen you know very natural but,it'll happen you know very natural but
5.67,233.62,yeah yeah most of the times you have,yeah yeah most of the times you have
