Duration,Start,Automated,Manual
5.199,2.86,hi guys welcome to yet another episode,hi guys welcome to yet another episode
5.401,5.779,of our weekly podcast at the end of the,of our weekly podcast at the end of the
5.281,8.059,day as you know this is a guide this,day as you know this is a guide this
4.529,11.18,podcast is a guide for the recently,podcast is a guide for the recently
5.34,13.34,arriving immigrants in the US and we,arriving immigrants in the US and we
5.881,15.709,bring you new episodes every Sunday so,bring you new episodes every Sunday so
4.86,18.68,as always this is me deepika Resta and i,as always this is me deepika Resta and i
4.35,21.59,am a newstapa and we are right now,am a newstapa and we are right now
5.46,23.54,recording this podcast in new jersey and,recording this podcast in new jersey and
4.8,25.94,if we have with us mr. Chetan J so Mia,if we have with us mr. Chetan J so Mia
3.239,29.0,welcome to the show Chetan thank you,welcome to the show Chetan thank you
4.38,30.74,thank you for having me Jayden is,thank you for having me Jayden is
6.66,32.239,originally from Mumbai India and he has,originally from Mumbai India and he has
6.029,35.12,been here since 2008 Jayden is working,been here since 2008 Jayden is working
4.98,38.899,in clinical research as the director of,in clinical research as the director of
4.771,41.149,regulatory affairs as Sanofi Chetan tell,regulatory affairs as Sanofi Chetan tell
4.53,43.879,us what Sanofi is and what your role is,us what Sanofi is and what your role is
4.47,45.92,in the company it's a multinational,in the company it's a multinational
3.481,48.409,pharmaceutical company with more than,pharmaceutical company with more than
3.689,50.39,hundred and thirty thousand employees,hundred and thirty thousand employees
4.14,51.89,it's a fifth largest prescription based,it's a fifth largest prescription based
4.5,54.079,pharmaceutical company my role is to,pharmaceutical company my role is to
3.779,56.03,develop global regulatory strategies for,develop global regulatory strategies for
3.78,58.579,the drugs which are currently in their,the drugs which are currently in their
5.611,59.809,development which are not yet marketed,development which are not yet marketed
5.701,62.359,and sometimes for the marketed drugs as,and sometimes for the marketed drugs as
4.17,65.42,well in order to have a different,well in order to have a different
3.27,68.06,perspective on the drugs like a,perspective on the drugs like a
3.57,69.59,different indications or different,different indications or different
3.39,71.33,dosage forms and so on so that's where I,dosage forms and so on so that's where I
4.02,73.16,come into picture learning is a,come into picture learning is a
3.96,74.72,never-ending process right and you,never-ending process right and you
4.05,77.18,always got to go and expand your,always got to go and expand your
4.92,78.68,knowledge for your career growth since,knowledge for your career growth since
4.11,81.23,this podcast is for newly arriving,this podcast is for newly arriving
5.16,83.6,immigrants in this country it's really,immigrants in this country it's really
5.82,85.34,how to navigate studies and work at the,how to navigate studies and work at the
3.63,88.76,same time but you did your MBA right,same time but you did your MBA right
3.84,91.16,correct while you are working a,correct while you are working a
4.62,92.39,full-time job correct in the US so how,full-time job correct in the US so how
4.11,95.0,do you navigate it and how what advice,do you navigate it and how what advice
4.98,97.01,do you give to other newly arriving,do you give to other newly arriving
5.16,99.11,immigrants it's tough but it's rewarding,immigrants it's tough but it's rewarding
4.53,101.99,it is rewarding in a way that once you,it is rewarding in a way that once you
4.32,104.27,complete it you know you get a sense of,complete it you know you get a sense of
4.95,106.52,achievement that you have completed that,achievement that you have completed that
4.71,108.59,and then you know that also helps you to,and then you know that also helps you to
2.58,111.47,grow in your career profession and to,grow in your career profession and to
3.0,113.3,gain knowledge,gain knowledge
4.11,114.05,what was your schedule like when you,what was your schedule like when you
4.859,116.3,were working full time and it's studying,were working full time and it's studying
4.77,118.16,how Duff you Jean was I used to have,how Duff you Jean was I used to have
3.421,121.159,choose the classes which were offered on,choose the classes which were offered on
5.279,122.93,the weekends I wish to be living in,the weekends I wish to be living in
7.95,124.58,Jersey City New Jersey and my school was,Jersey City New Jersey and my school was
6.491,128.209,in Virginia so it's a very good commute,in Virginia so it's a very good commute
4.12,132.53,for the people who don't know it's like,for the people who don't know it's like
4.8,134.7,I would say six to seven hours at least,I would say six to seven hours at least
4.08,136.65,of commute each way six or seven the,of commute each way six or seven the
4.83,139.5,morning the bus,morning the bus
6.68,140.73,I should take a bus that you that leaves,I should take a bus that you that leaves
6.75,144.33,from a common place in Jersey City,from a common place in Jersey City
5.799,147.41,reaches Virginia immediately as soon as,reaches Virginia immediately as soon as
3.72,151.08,it reaches the school used to directly,it reaches the school used to directly
3.961,153.209,attend the classes the classes used to,attend the classes the classes used to
3.93,154.8,be for most for three hours just to take,be for most for three hours just to take
3.51,157.17,the second class on the same day just to,the second class on the same day just to
4.259,158.73,optimize the time because I'm traveling,optimize the time because I'm traveling
5.91,160.68,so much you want to make sure and then,so much you want to make sure and then
5.911,162.989,take the bus back almost 9:00 9:00 in,take the bus back almost 9:00 9:00 in
4.86,166.59,the night come back to Jersey City 1:00,the night come back to Jersey City 1:00
5.46,168.9,or 2:00 in the morning of Sunday morning,or 2:00 in the morning of Sunday morning
5.21,171.45,and then do the assignments on Sunday,and then do the assignments on Sunday
5.129,174.36,sometimes it used to be a two-day thing,sometimes it used to be a two-day thing
4.87,176.66,most of the rate used to arrive Sunday,most of the rate used to arrive Sunday
5.161,179.489,1:00 or 2:00 in the morning reach home,1:00 or 2:00 in the morning reach home
