Duration,Start,Automated,Manual
5.74,2.83,hi guys welcome to yet another episode,hi guys welcome to yet another episode
5.43,5.51,of our podcast at the end of the day and,of our podcast at the end of the day and
5.46,8.57,this is a podcast that guides the new,this is a podcast that guides the new
6.0,10.94,immigrants in the US and we renew new,immigrants in the US and we renew new
6.93,14.03,episode every Sunday so this is me,episode every Sunday so this is me
8.07,16.94,Deepika so with us today is renew sharma,Deepika so with us today is renew sharma
6.87,20.96,sup Kota welcome to our so Renu talking,sup Kota welcome to our so Renu talking
6.6,25.01,a little more about Renu she is from,a little more about Renu she is from
5.94,27.83,Nepal and she came to the u.s. in 2004,Nepal and she came to the u.s. in 2004
4.62,31.61,back home she was working in the,back home she was working in the
5.339,33.77,nonprofit sector and currently Renu you,nonprofit sector and currently Renu you
6.12,36.23,are the director at the logistic company,are the director at the logistic company
6.3,39.109,called S&S logistics incorporation yes,called S&S logistics incorporation yes
4.799,42.35,you have Billy er on professional career,you have Billy er on professional career
3.81,45.409,and you are handling three kids at the,and you are handling three kids at the
4.561,47.149,same time so the focus of our podcast,same time so the focus of our podcast
4.05,49.219,today is going to be this topic so we,today is going to be this topic so we
3.809,51.71,want to learn from your experience tell,want to learn from your experience tell
4.98,53.269,us about your beginning days as a mother,us about your beginning days as a mother
6.511,55.519,as a new immigrant I was 30 when I came,as a new immigrant I was 30 when I came
6.571,58.249,here so we moved in here it was very,here so we moved in here it was very
5.13,62.03,difficult changes are always difficult,difficult changes are always difficult
4.71,64.82,to accept and that's a general process,to accept and that's a general process
4.77,67.16,right so when I came and go I was,right so when I came and go I was
4.8,69.53,educated I know everything in Nepal but,educated I know everything in Nepal but
5.67,71.93,when I came in here huge cultural,when I came in here huge cultural
5.58,74.33,difference and it is different because,difference and it is different because
5.7,77.6,when there is night it's D here right it,when there is night it's D here right it
8.34,79.91,lately different so I didn't know how to,lately different so I didn't know how to
7.68,83.3,swipe in MetroCard how to get it and,swipe in MetroCard how to get it and
5.64,88.25,then in metro train in New York I got,then in metro train in New York I got
3.81,90.98,lost so many times but I learned after,lost so many times but I learned after
3.15,93.89,getting lost,getting lost
3.9,94.79,basically all small small thing which,basically all small small thing which
3.96,97.04,you might have gone through right,you might have gone through right
4.02,98.69,similarly I have gone through - so how,similarly I have gone through - so how
4.91,101.0,did you bump into this logic stick,did you bump into this logic stick
7.74,102.71,company so one of my friend told me that,company so one of my friend told me that
7.0,105.91,the owner of this company is gem so you,the owner of this company is gem so you
4.86,110.45,go there you will never get disappointed,go there you will never get disappointed
5.46,112.91,because she worked here before okay and,because she worked here before okay and
5.05,115.31,they were in need of new hiring so she,they were in need of new hiring so she
4.27,118.37,sent me there and I went,sent me there and I went
3.99,120.36,and how did you pitch yourself to the to,and how did you pitch yourself to the to
4.02,122.64,that person when you were there for a,that person when you were there for a
4.95,124.35,job interview so in job interview he was,job interview so in job interview he was
5.55,126.66,like what you can do for this company I,like what you can do for this company I
4.89,129.3,said give me an opportunity then you,said give me an opportunity then you
5.58,132.21,will see what I can do for this company,will see what I can do for this company
5.52,134.19,understand me so it it is like that's,understand me so it it is like that's
4.35,137.79,what I am Telling that wherever you go,what I am Telling that wherever you go
4.83,139.71,you have to love that job if you see,you have to love that job if you see
5.13,142.14,there is an opportunity and room of,there is an opportunity and room of
4.83,144.54,growth then you should excel there and,growth then you should excel there and
4.95,147.27,you were handling here two daughters at,you were handling here two daughters at
5.55,149.37,the same time so walk us through that it,the same time so walk us through that it
5.94,152.22,was very tough I had a babysitter who,was very tough I had a babysitter who
5.46,154.92,take care of my girls after school come,take care of my girls after school come
5.76,158.16,back from school then go through all the,back from school then go through all the
6.42,160.38,homeworks with them cook dinner feed,homeworks with them cook dinner feed
