Duration,Start,Automated,Manual
5.349,2.55,hello everybody welcome to another,hello everybody welcome to another
5.13,4.87,episode of our podcasts and thank you so,episode of our podcasts and thank you so
5.49,7.899,much for giving your valuable feedback,much for giving your valuable feedback
5.639,10.0,to our first podcast this topic and this,to our first podcast this topic and this
4.321,13.389,is me the peakers rester we really,is me the peakers rester we really
4.741,15.639,appreciate you taking out your time your,appreciate you taking out your time your
4.68,17.71,8 minutes of your life and taking out,8 minutes of your life and taking out
4.289,20.38,your time to watch our podcast on,your time to watch our podcast on
4.77,22.39,YouTube and listen to our podcast on,YouTube and listen to our podcast on
4.851,24.669,various platforms today is the second,various platforms today is the second
5.099,27.16,official and we are talking about,official and we are talking about
4.6,29.52,comfort zone the thing is we are from,comfort zone the thing is we are from
3.811,32.259,Nepal and when we came to New York for,Nepal and when we came to New York for
3.06,34.12,the first time in 2014 and we were so,the first time in 2014 and we were so
1.65,36.07,fortunate that there were a lot of,fortunate that there were a lot of
3.3,37.18,Nepalese,Nepalese
5.73,37.72,living in New York City so which kind of,living in New York City so which kind of
6.18,40.48,helped us to do lot of stuff like our,helped us to do lot of stuff like our
5.49,43.45,community helped us to make Social,community helped us to make Social
4.08,46.66,Security card they helped us to get a,Security card they helped us to get a
4.05,48.94,driving license we are fortunate in that,driving license we are fortunate in that
4.92,50.74,regard but the thing is if you want to,regard but the thing is if you want to
5.73,52.99,learn new things and new experience new,learn new things and new experience new
4.5,55.66,opportunities you have to go well beyond,opportunities you have to go well beyond
3.84,58.72,your community that's what we are,your community that's what we are
5.06,60.16,talking about today yes how do we start,talking about today yes how do we start
7.25,62.56,first yes that is always a big question,first yes that is always a big question
8.95,65.22,you know we work in different places and,you know we work in different places and
6.34,69.81,we because we are in a place so diverse,we because we are in a place so diverse
3.54,74.17,like for example this is New York so,like for example this is New York so
3.78,76.15,this is very diverse place as you know,this is very diverse place as you know
4.05,77.71,so no matter where you work you would,so no matter where you work you would
3.72,79.93,always come across people from other,always come across people from other
3.66,81.76,countries so that is the first place,countries so that is the first place
4.5,83.65,where you can make friends right with,where you can make friends right with
4.83,85.42,them right why don't you invite them to,them right why don't you invite them to
4.11,88.15,your home to your apartment to your room,your home to your apartment to your room
3.93,90.25,and then they invite you you should go,and then they invite you you should go
3.75,92.26,to that's that's what I think in the,to that's that's what I think in the
5.1,94.18,apartment that you leave or in your,apartment that you leave or in your
5.73,96.01,neighborhood community they sometimes,neighborhood community they sometimes
4.86,99.28,also organize port clock events,also organize port clock events
