Duration,Start,Automated,Manual
5.16,2.73,my name is Peter Ortega I'm a journalism,my name is Peter Ortega I'm a journalism
5.039,5.31,I'm a historian from Cuba Havana,I'm a historian from Cuba Havana
4.709,7.89,I have been living in us for six years,I have been living in us for six years
5.49,10.349,and I have been working mostly on,and I have been working mostly on
5.011,12.599,Spanish TV stations and I'm here now in,Spanish TV stations and I'm here now in
3.661,15.839,the podcast at the end of the day with a,the podcast at the end of the day with a
4.71,17.61,nose and deepika thank you so much Peter,nose and deepika thank you so much Peter
4.5,19.5,for coming to our podcast thank you for,for coming to our podcast thank you for
4.11,22.32,having me yeah why we are quick,having me yeah why we are quick
4.8,24.0,disclosure for the audience who are,disclosure for the audience who are
5.22,26.43,listening and watching us peter and i we,listening and watching us peter and i we
4.59,28.8,went to school together at Craig Craig,went to school together at Craig Craig
3.09,31.65,Newmark Graduate School of Journalism it,Newmark Graduate School of Journalism it
5.52,33.39,used to be CUNY Graduate School of,used to be CUNY Graduate School of
6.92,34.74,Journalism get confused enough I'm just,Journalism get confused enough I'm just
7.08,38.91,curious how many classes together I,curious how many classes together I
7.99,41.66,don't think so I think we then go to any,don't think so I think we then go to any
6.27,45.99,class together yeah we've met in some,class together yeah we've met in some
15.6,49.65,projects especially 360 video yeah and,projects especially 360 video yeah and
15.809,52.26,Peter had me doing some projects yeah,Peter had me doing some projects yeah
6.139,65.25,I'm trying to remember all those 360,I'm trying to remember all those 360
3.32,68.069,videos that you made that I'm proud of,videos that you made that I'm proud of
5.67,72.229,I was so addicted that I decided I have,I was so addicted that I decided I have
20.219,75.06,to have my own camera,to have my own camera
19.871,77.899,and I have use me all the time I'm so,and I have use me all the time I'm so
4.741,95.279,glad to be meeting you because you are a,glad to be meeting you because you are a
5.519,97.77,journalist right now your background is,journalist right now your background is
6.869,100.02,so interesting you are from Cuba and you,so interesting you are from Cuba and you
6.12,103.289,are a professional art critic well that,are a professional art critic well that
4.23,106.889,is actually what you were doing right,is actually what you were doing right
4.44,109.409,before you got into journalism,before you got into journalism
5.79,111.119,I came to the US studied journalism and,I came to the US studied journalism and
4.98,113.849,right now you are doing journalism but,right now you are doing journalism but
6.111,116.909,then you also plan to get back to art,then you also plan to get back to art
7.77,118.829,yeah that's I have been all the time,yeah that's I have been all the time
6.489,123.02,divided between those feelings art and,divided between those feelings art and
4.681,126.599,journalism and because me bought my,journalism and because me bought my
4.531,129.509,bachelor's degree was in our history I,bachelor's degree was in our history I
4.12,131.28,have three publish books on Cuban,have three publish books on Cuban
4.54,134.04,contemporary art,contemporary art
7.08,135.4,I have been doing like more than 30,I have been doing like more than 30
6.84,138.58,exhibitions on Cuban art and I love art,exhibitions on Cuban art and I love art
6.75,142.48,too much but in Cuba the moment in which,too much but in Cuba the moment in which
6.84,145.42,I started blowing TV was by accident,I started blowing TV was by accident
6.36,149.23,because in Cuba I was working as an art,because in Cuba I was working as an art
6.119,152.26,critic and a TV producer told me I wanna,critic and a TV producer told me I wanna
5.069,155.59,do a show on art on TV once a week,do a show on art on TV once a week
4.561,158.379,well I don't want a journalist I want an,well I don't want a journalist I want an
4.41,160.659,art historian to be in front of a camera,art historian to be in front of a camera
5.07,162.94,talking about are in the galleries,talking about are in the galleries
4.53,165.069,museums I want you to be that person I,museums I want you to be that person I
5.99,168.01,told him but I have never been on camera,told him but I have never been on camera
7.621,169.599,and he told me is easier for me to teach,and he told me is easier for me to teach
9.22,174.0,and a historian how to be on camera than,and a historian how to be on camera than
9.48,177.22,to teach a journalist our history and,to teach a journalist our history and
5.489,183.22,that phrase okay and he told me in one,that phrase okay and he told me in one
4.58,186.7,week it will be enough for me to teach,week it will be enough for me to teach
6.301,188.709,you how to be on camera and he did it in,you how to be on camera and he did it in
7.42,191.28,one week I was able to read it how the,one week I was able to read it how the
5.789,195.01,body movement how to project my boys how,body movement how to project my boys how
4.439,198.7,to look at the camera how to use the,to look at the camera how to use the
5.071,200.799,hands and I started doing that problem,hands and I started doing that problem
4.38,203.139,for four years four years it was a,for four years four years it was a
8.009,205.87,stable an art critic in front of the,stable an art critic in front of the
8.61,207.519,camera yeah in 2013,camera yeah in 2013
3.26,213.879,I moved from Cuba to Miami they what,I moved from Cuba to Miami they what
5.48,216.129,took you to Miami,took you to Miami
8.111,217.139,that's a good question I think because,that's a good question I think because
8.621,221.609,the economic situation in Cuba is not so,the economic situation in Cuba is not so
8.19,225.25,good and I go thinking about improving,good and I go thinking about improving
8.25,230.23,my career world so thinking economically,my career world so thinking economically
7.68,233.44,right because in Cuba in that TV show,right because in Cuba in that TV show
5.369,238.48,for example I got 15 dollars among nice,for example I got 15 dollars among nice
4.32,241.12,when you convert human pesos to that's,when you convert human pesos to that's
4.53,243.849,what you get and that's not enough to,what you get and that's not enough to
5.87,245.44,live you sure and well I think it was,live you sure and well I think it was
5.911,248.379,that but when I get go to Miami mm-hmm I,that but when I get go to Miami mm-hmm I
5.049,251.31,decided well I have to make a choice,decided well I have to make a choice
8.34,254.29,mm-hmm would I continue in their world,mm-hmm would I continue in their world
8.251,256.359,or if I love TV where I do journalism um,or if I love TV where I do journalism um
5.49,262.63,I start thinking and thinking and,I start thinking and thinking and
6.029,264.61,researching and talking to our friends,researching and talking to our friends
5.67,268.12,and I realize that it's very hard to,and I realize that it's very hard to
5.821,270.639,live by doing our criticism here in the,live by doing our criticism here in the
5.73,273.79,US when you see what the magazines and,US when you see what the magazines and
7.53,276.46,newspapers pay when you write a review,newspapers pay when you write a review
4.95,279.52,of art they can pay $60 100 you can live,of art they can pay $60 100 you can live
2.91,283.99,with that,with that
7.169,284.47,and I decided on TV I'm gonna make more,and I decided on TV I'm gonna make more
6.0,286.9,money like it right I'm I say well I'm,money like it right I'm I say well I'm
5.071,291.639,gonna study my master's degree in,gonna study my master's degree in
6.84,292.9,journalism I'm not in our history so but,journalism I'm not in our history so but
5.519,296.71,at what point of time did you decide to,at what point of time did you decide to
5.46,299.74,study journalism because you came to,study journalism because you came to
6.481,302.229,Miami in you came to the u.s. in 2013,Miami in you came to the u.s. in 2013
8.279,305.2,right so when did you decide to that was,right so when did you decide to that was
7.74,308.71,a very hard process because going to,a very hard process because going to
6.421,313.479,Miami in 2013 was very hard I didn't,Miami in 2013 was very hard I didn't
8.88,316.45,have family Miami I went to Miami with,have family Miami I went to Miami with
7.17,319.9,$100 in my bar no money no family think,$100 in my bar no money no family think
3.649,325.33,you know where I'm gonna leave what I'm,you know where I'm gonna leave what I'm
6.84,327.07,gonna sleep next week,gonna sleep next week
7.75,328.979,it was way for me was very brave to take,it was way for me was very brave to take
5.46,333.91,that decision so I started working as a,that decision so I started working as a
3.991,336.729,waiter no the evening was not quite at,waiter no the evening was not quite at
4.2,339.37,the beginning I was starting in my,the beginning I was starting in my
