Duration,Start,Automated,Manual
7.63,2.94,hello everyone Emily Sandra I'm from,hello everyone Emily Sandra I'm from
5.431,7.359,Cuba I came to the United States three,Cuba I came to the United States three
7.2,10.57,years ago of the bad baby from,years ago of the bad baby from
10.409,12.79,journalism Cuba and a digital content,journalism Cuba and a digital content
9.239,17.77,producer Univision now and I'm very,producer Univision now and I'm very
6.211,23.199,happy to be here with a new Santa pika,happy to be here with a new Santa pika
3.571,27.009,post cars at the MV thank you so much,post cars at the MV thank you so much
3.15,29.41,lissandra for this wonderful,lissandra for this wonderful
5.07,30.58,introduction and you know what whenever,introduction and you know what whenever
10.5,32.56,we invite journalists in our podcast I,we invite journalists in our podcast I
10.23,35.65,get really excited I didn't know that,get really excited I didn't know that
6.23,43.06,you were a journalist and I mean to meet,you were a journalist and I mean to meet
6.2,45.88,colleagues and you know extend or,colleagues and you know extend or
6.64,49.29,professional networks are very you know,professional networks are very you know
7.36,52.08,great so I'm very happy - thank you so,great so I'm very happy - thank you so
7.77,55.93,laSandra tell me about your Cuban,laSandra tell me about your Cuban
8.489,59.44,journalism background well in Cuba well,journalism background well in Cuba well
8.599,63.7,I was exciting and I work for me yes,I was exciting and I work for me yes
11.281,67.929,well I work for TV stations I work for,well I work for TV stations I work for
9.88,72.299,newspapers magazines but I I mean I love,newspapers magazines but I I mean I love
8.329,79.21,to like investigation journalism and I,to like investigation journalism and I
9.661,82.179,love to work with this magazine in a big,love to work with this magazine in a big
8.201,87.539,publishing company the magazine is I,publishing company the magazine is I
9.12,91.84,went to Technica is fine and and it was,went to Technica is fine and and it was
5.85,95.74,amazing because as part of my thesis to,amazing because as part of my thesis to
6.0,100.96,get ready,get ready
8.819,101.59,I wrote this articles about the,I wrote this articles about the
6.96,106.96,pollution in Havana and you know all the,pollution in Havana and you know all the
6.39,110.409,people that double living in those,people that double living in those
5.699,113.92,environments and and it was very cool,environments and and it was very cool
5.67,116.799,because a lot of people in Havana know,because a lot of people in Havana know
4.531,119.619,know every every know a lot of people,know every every know a lot of people
6.841,122.469,know that by,know that by
8.37,124.15,lives like in in houses that they built,lives like in in houses that they built
5.31,129.31,by the self and they know legally in,by the self and they know legally in
5.37,132.52,Havana in the Capitol and that's an,Havana in the Capitol and that's an
5.64,134.62,issue and in the city they don't have,issue and in the city they don't have
5.73,137.89,houses I mean they live as an immigrants,houses I mean they live as an immigrants
6.9,140.26,in documenting immigrants in their own,in documenting immigrants in their own
9.53,143.62,countries and that's and and it was,countries and that's and and it was
10.37,147.16,great to try those articles because a,great to try those articles because a
6.16,153.15,year ago a few months ago I knew that,year ago a few months ago I knew that
4.93,157.53,they go for me,they go for me
8.31,159.31,after you know a lot of people really my,after you know a lot of people really my
8.4,162.46,my story gave them houses and a places,my story gave them houses and a places
6.39,167.62,to live oh and it was awesome because I,to live oh and it was awesome because I
