Duration,Start,Automated,Manual
3.37,2.0,hello everyone my name is viktoria,hello everyone my name is viktoria
4.021,4.589,Chewbacca,Chewbacca
5.309,5.37,I am proud Ukrainian citizen I moved to,I am proud Ukrainian citizen I moved to
3.989,8.61,New York six years ago and I just,New York six years ago and I just
5.581,10.679,graduated from Baruch College where I,graduated from Baruch College where I
6.121,12.599,currently work full time I am today with,currently work full time I am today with
4.5,16.26,a news and Deepika I'm super excited to,a news and Deepika I'm super excited to
4.44,18.72,be at their podcast at the end of the,be at their podcast at the end of the
4.019,20.76,day Victoria thank you so much for being,day Victoria thank you so much for being
3.779,23.16,in my podcast thank you so much for,in my podcast thank you so much for
4.231,24.779,having me this is very exciting yes and,having me this is very exciting yes and
4.231,26.939,I am so excited for you because you just,I am so excited for you because you just
4.5,29.01,graduated a couple of days back it's,graduated a couple of days back it's
5.43,31.17,very true and I'm excited myself it's a,very true and I'm excited myself it's a
3.75,33.51,wonderful feeling of freedom freedom,wonderful feeling of freedom freedom
2.7,36.6,from what,from what
6.08,37.26,freedom from school and accomplishment,freedom from school and accomplishment
6.239,39.3,freedom from homework obviously and then,freedom from homework obviously and then
3.699,43.34,interesting fact this is your second,interesting fact this is your second
5.401,45.539,master's degree so this is a second,master's degree so this is a second
6.68,47.039,graduation yes graduates program so how,graduation yes graduates program so how
5.88,50.94,was the experience of attending the,was the experience of attending the
4.93,53.719,convocation ceremony in New York City it,convocation ceremony in New York City it
4.35,56.82,was something else,was something else
4.741,58.649,I have never I haven't gone to school in,I have never I haven't gone to school in
4.08,61.17,the United States so it was all very new,the United States so it was all very new
3.51,63.39,to me and I did not know what to expect,to me and I did not know what to expect
4.17,65.25,obviously I've seen a bunch of movies,obviously I've seen a bunch of movies
4.649,66.9,about you know the confetti falling on,about you know the confetti falling on
4.29,69.42,you from the sky and everyone is excited,you from the sky and everyone is excited
5.281,71.549,and happy so I kind of had a general,and happy so I kind of had a general
5.01,73.71,idea but I never in my wildest dreams a,idea but I never in my wildest dreams a
3.99,76.83,few years ago could have imagined that,few years ago could have imagined that
5.31,78.72,it will have anything to do with me so I,it will have anything to do with me so I
6.6,80.82,got a little emotional there because I,got a little emotional there because I
6.51,84.03,felt that I actually graduated from,felt that I actually graduated from
5.73,87.42,school in New York which was difficult,school in New York which was difficult
5.939,90.54,but incredibly interesting and it's just,but incredibly interesting and it's just
6.149,93.15,a very good feeling of getting something,a very good feeling of getting something
5.701,96.479,significant done right and Vic you know,significant done right and Vic you know
4.951,99.299,why did you do another master cuz you,why did you do another master cuz you
4.53,102.18,already had of my sister your first,already had of my sister your first
4.97,104.25,master's was in linguistics yes in,master's was in linguistics yes in
4.86,106.71,Ukraine yes so I graduated from school,Ukraine yes so I graduated from school
4.84,109.22,from high school decided to go to,from high school decided to go to
4.589,111.57,college because that's apparently what,college because that's apparently what
6.36,114.06,you should do you know like that's your,you should do you know like that's your
7.021,116.159,net natural path so I decided to get a,net natural path so I decided to get a
6.479,120.42,degree in linguistics for no particular,degree in linguistics for no particular
5.34,123.18,reason to be honest with you but it was,reason to be honest with you but it was
3.871,126.899,very helpful I worked as a journalist,very helpful I worked as a journalist
4.17,128.52,back home so my previous degree,back home so my previous degree
2.97,130.77,definitely was incredibly useful it,definitely was incredibly useful it
4.68,132.69,taught me how to,taught me how to
7.08,133.74,right not in the literal meaning but how,right not in the literal meaning but how
5.01,137.37,to write thoughtful texts how to have,to write thoughtful texts how to have
4.8,140.82,some structure when you're writing how,some structure when you're writing how
6.84,142.38,to read and actually be able to pick the,to read and actually be able to pick the
8.58,145.62,main issues the main the subjects and it,main issues the main the subjects and it
7.95,149.22,kind of was very very useful in my,kind of was very very useful in my
5.4,154.2,journalism and in my previous career as,journalism and in my previous career as
5.19,157.17,a press secretary and all the other,a press secretary and all the other
8.37,159.6,things for my past life so this degree,things for my past life so this degree
6.9,162.36,was kind of more intentional because I,was kind of more intentional because I
3.42,167.97,you would have to tell what is the,you would have to tell what is the
4.71,169.26,degree that you just accomplished oh yes,degree that you just accomplished oh yes
9.36,171.39,might I just assume that the whole world,might I just assume that the whole world
9.93,173.97,I probably will never get rid of the,I probably will never get rid of the
